"County","Density"
"BeaverheadCounty",0.8
"BigHornCounty",1.9
"BlaineCounty",1.5
"BroadwaterCounty",4.7
"CarbonCounty",4.9
"CarterCounty",0.3
"CascadeCounty",6
"ChouteauCounty",1.5
"CusterCounty",0.6
"DanielsCounty",1.2
"DawsonCounty",1
"DeerLodgeCounty",4.3
"FallonCounty",1.8
"FergusCounty",1.3
"FlatheadCounty",9.2
"GallatinCounty",11.7
"GarfieldCounty",0.3
"GlacierCounty",2
"GoldenValleyCounty",0.8
"GraniteCounty",1.8
"HillCounty",2.2
"JeffersonCounty",6.9
"JudithBasinCounty",1.1
"LakeCounty",16.1
"LewisandClarkCounty",5.3
"LibertyCounty",1.6
"LincolnCounty",4.4
"McConeCounty",0.7
"MadisonCounty",2.1
"MeagherCounty",0.8
"MineralCounty",3.5
"MissoulaCounty",9.6
"MusselshellCounty",2.4
"ParkCounty",2.7
"PetroleumCounty",0.3
"PhillipsCounty",0.8
"PonderaCounty",2.2
"PowderRiverCounty",0.5
"PowellCounty",1.6
"PrairieCounty",0.7
"RavalliCounty",14.3
"RichlandCounty",2.1
"RooseveltCounty",1.8
"RosebudCounty",1.8
"SandersCounty",4.1
"SheridanCounty",2
"SilverBowCounty",5.6
"StillwaterCounty",5.1
"SweetGrassCounty",2
"TetonCounty",2.7
"TooleCounty",1.2
"TreasureCounty",0.7
"ValleyCounty",0.8
"WheatlandCounty",1.5
"WibauxCounty",1.1
"YellowstoneCounty",9.6
