"SCTG","PctEmpty","N"
1,0.358837929533399,33
2,0.467469696847172,265
3,0.503223637960434,79
4,0.46391214943512,58
5,0.199516035193507,2
6,0.207755228768538,3
7,0.413827975806178,10
8,0.209453973305391,5
9,0.220797674677544,0
10,0.345868222703136,1
11,0.406653723247503,6
12,0.450063472875024,104
13,0.382289317879428,6
14,0.330631811974,1
15,0.394477968299597,0
16,0.411406611770122,0
17,0.405256894636644,3
18,0.365590634273995,16
19,0.377439890993081,11
20,0.319153846071907,2
21,0.163003296356002,0
22,0.304798191228349,22
23,0.329297413853261,5
24,0.259173648542417,0
25,0.48822871860306,34
26,0.408656978473517,25
27,0.207833893632727,1
28,0.216947168869503,0
29,0.142965266998763,1
30,0.150707615637309,1
31,0.401656609711328,42
32,0.217604044021483,6
33,0.0940758097232117,41
34,0.270113948303816,36
35,0.159588441529491,3
36,0.387028951724512,17
37,0.179037995207116,5
38,0.253528170079209,3
39,0.198651658784435,7
40,0.145739382915926,162
41,0.328552868137568,52
43,0.100308087937445,10
99,0.290965202149156,23
