County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
AlamanceCounty,29421,11100,19332,51281,17916,22081
AlexanderCounty,6934,2380,3977,13334,4946,5627
AlleghanyCounty,1817,679,1033,3553,1769,2304
AnsonCounty,4818,1808,3509,9480,3467,3866
AsheCounty,4417,1426,2701,9008,4228,5501
AveryCounty,2453,1111,2324,6341,2471,3097
BeaufortCounty,8722,2910,4711,15160,7474,8782
BertieCounty,3568,1379,2609,7107,2963,3656
BladenCounty,6647,2330,3869,11635,5228,5481
BrunswickCounty,16778,5289,10282,32521,19535,23026
BuncombeCounty,40340,14288,30628,82297,32669,38096
BurkeCounty,16225,6962,10051,30883,12118,14673
CabarrusCounty,40621,12341,19674,66427,18863,20085
CaldwellCounty,15306,5568,8438,29537,11364,12816
CamdenCounty,2080,706,865,3850,1196,1283
CarteretCounty,10189,3746,7055,22133,10687,12659
CaswellCounty,3949,1462,2463,8458,3632,3755
CatawbaCounty,30409,10322,17247,54791,19816,21773
ChathamCounty,11663,3383,5810,21558,9460,11631
CherokeeCounty,4307,1535,2284,8295,4739,6284
ChowanCounty,2717,900,1480,4525,2263,2908
ClayCounty,1634,545,898,3123,1889,2498
ClevelandCounty,18692,7305,11012,33235,13157,14677
ColumbusCounty,11143,3851,6961,19493,7820,8830
CravenCounty,20428,6555,17153,31203,12356,15810
CumberlandCounty,72090,23484,58828,104008,30821,30200
CurrituckCounty,4507,1604,2301,9003,3091,3041
DareCounty,5597,1784,3642,12384,5346,5167
DavidsonCounty,32049,10656,17185,58674,20926,23388
DavieCounty,7974,2723,3548,14408,5758,6829
DuplinCounty,12536,3804,7074,19506,7290,8295
DurhamCounty,51320,17952,48576,95506,28116,26117
EdgecombeCounty,11266,4077,6767,18521,7817,8104
ForsythCounty,71159,25058,47040,120439,41463,45511
FranklinCounty,12384,4096,6702,22010,7749,7678
GastonCounty,40649,14066,24140,74104,25833,27294
GatesCounty,2318,882,1243,4270,1653,1831
GrahamCounty,1596,522,895,2791,1315,1742
GranvilleCounty,10839,4186,6727,23124,7599,7441
GreeneCounty,4147,1317,2781,7820,2632,2665
GuilfordCounty,94674,37290,72802,167411,56106,60123
HalifaxCounty,10174,3918,6151,17996,7616,8836
HarnettCounty,26930,8540,16055,39597,11609,11947
HaywoodCounty,9375,3429,5663,19291,8862,12416
HendersonCounty,18397,5533,10096,33644,15205,23865
HertfordCounty,4254,1949,3034,8096,3438,3898
HokeCounty,12286,3005,7402,16557,4219,3483
HydeCounty,893,288,738,2150,866,875
IredellCounty,33292,11361,17290,58177,18872,20445
JacksonCounty,5961,3819,7773,11341,5293,6084
JohnstonCounty,39622,11399,18301,63719,18578,17259
JonesCounty,1806,640,1143,3258,1550,1756
LeeCounty,12401,3883,7144,19662,6839,7937
LenoirCounty,11623,4224,6538,19386,8210,9514
LincolnCounty,15160,5196,7967,29122,10459,10361
McDowellCounty,8113,2685,4805,15742,6274,7377
MaconCounty,5344,1957,3370,9734,5448,8069
MadisonCounty,3394,1435,2228,6859,3182,3666
MartinCounty,4412,1646,2431,7941,3778,4297
MecklenburgCounty,196856,60887,142312,348660,89800,81113
MitchellCounty,2472,871,1521,5133,2322,3260
MontgomeryCounty,5506,1862,3085,9132,3849,4364
MooreCounty,15872,5008,8154,27086,12141,19986
NashCounty,18754,6675,10692,33348,12978,13393
NewHanoverCounty,33766,13536,34401,67733,25139,28092
NorthamptonCounty,3696,1430,2286,6969,3382,4336
OnslowCounty,39199,14056,49970,48261,13024,13262
OrangeCounty,22930,12483,26400,43754,15345,12889
PamlicoCounty,1915,710,1301,4094,2267,2857
PasquotankCounty,7667,3209,6190,13383,4699,5513
PenderCounty,9717,3467,5612,18293,7242,7886
PerquimansCounty,2257,788,1328,4083,2110,2887
PersonCounty,7476,2628,4007,13943,5417,5993
PittCounty,31701,15443,34631,52582,17172,16619
PolkCounty,3181,1181,1600,6201,3354,4993
RandolphCounty,28751,9441,15611,50183,17817,19949
RichmondCounty,9398,3334,5575,15541,6100,6691
RobesonCounty,29845,11044,18490,44087,15624,15078
RockinghamCounty,16893,6071,9630,32807,13071,15171
RowanCounty,27288,9415,16977,47442,17313,19993
RutherfordCounty,12447,4484,6732,22714,9707,11726
SampsonCounty,13505,4317,7247,21487,7831,9044
ScotlandCounty,7400,2740,4265,11915,4923,4914
StanlyCounty,11251,4234,7137,20526,7930,9507
StokesCounty,8453,3194,4495,17054,6630,7575
SurryCounty,14092,4935,7452,25180,9764,12250
SwainCounty,2700,959,1549,4508,1944,2321
TransylvaniaCounty,4759,2025,3257,9383,5127,8539
TyrrellCounty,660,250,609,1596,550,742
UnionCounty,51024,15042,19090,76434,20236,19466
VanceCounty,9422,3480,5291,14889,5919,6421
WakeCounty,197706,61816,129158,347167,88597,76549
WarrenCounty,3429,1315,2359,6625,3283,3961
WashingtonCounty,2507,875,1292,4072,2068,2414
WataugaCounty,5773,6100,14478,12642,5757,6329
WayneCounty,25399,8473,17468,40769,14436,16078
WilkesCounty,12817,4242,6981,23856,9666,11778
WilsonCounty,16565,5711,9773,27085,10583,11517
YadkinCounty,7321,2540,3849,13435,5020,6241
YanceyCounty,2899,1031,1608,5823,2785,3672
