County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
AdamsCounty,6203,2588,4261,9624,3850,4838
AntelopeCounty,1297,403,597,1971,1013,1404
ArthurCounty,104,29,30,141,62,94
BannerCounty,125,39,55,212,123,136
BlaineCounty,90,36,19,169,69,95
BooneCounty,1043,383,484,1711,720,1164
BoxButteCounty,2336,765,1095,3710,1689,1713
BoydCounty,354,128,141,605,314,557
BrownCounty,553,183,243,940,469,757
BuffaloCounty,9229,3843,8747,13751,4954,5578
BurtCounty,1261,414,540,2057,1001,1585
ButlerCounty,1689,559,696,2726,1122,1603
CassCounty,5213,1749,2374,8786,3516,3603
CedarCounty,1820,627,748,2728,1125,1804
ChaseCounty,800,221,400,1209,526,810
CherryCounty,1026,344,513,1857,783,1190
CheyenneCounty,2011,599,1133,3403,1260,1592
ClayCounty,1342,477,578,2077,900,1168
ColfaxCounty,2588,756,1375,3317,1051,1428
CumingCounty,1878,588,799,2823,1150,1901
CusterCounty,2107,697,882,3424,1546,2283
DakotaCounty,5270,1643,2858,6634,2210,2391
DawesCounty,1410,1029,1875,2348,1020,1500
DawsonCounty,5797,1819,2819,7672,2846,3373
DeuelCounty,348,91,134,625,283,460
DixonCounty,1259,412,551,1865,843,1070
DodgeCounty,7252,2402,4406,11448,4443,6740
DouglasCounty,113752,35363,82533,174939,55648,54875
DundyCounty,364,114,147,619,303,461
FillmoreCounty,1081,443,445,1774,831,1316
FranklinCounty,566,193,234,983,477,772
FrontierCounty,479,244,332,791,387,523
FurnasCounty,923,332,358,1456,763,1127
GageCounty,4213,1371,2244,7212,2945,4326
GardenCounty,305,121,164,622,285,560
GarfieldCounty,335,136,137,578,308,555
GosperCounty,369,123,159,634,328,431
GrantCounty,99,36,57,204,99,119
GreeleyCounty,497,151,221,735,349,585
HallCounty,13446,3981,7482,19231,6617,7850
HamiltonCounty,1876,674,769,3055,1251,1499
HarlanCounty,581,216,228,1040,553,805
HayesCounty,167,70,79,306,154,191
HitchcockCounty,498,163,243,884,455,665
HoltCounty,1971,677,854,3312,1478,2143
HookerCounty,124,47,44,211,117,193
HowardCounty,1240,427,522,2058,852,1175
JeffersonCounty,1334,421,678,2294,1159,1661
JohnsonCounty,828,244,598,1988,640,919
KearneyCounty,1278,436,564,2143,881,1187
KeithCounty,1503,460,717,2620,1296,1772
KeyaPahaCounty,134,47,39,258,135,211
KimballCounty,694,240,360,1149,534,844
KnoxCounty,1741,522,647,2570,1242,1979
LancasterCounty,55797,21186,54997,91066,31260,31101
LincolnCounty,7601,2405,4135,11645,4854,5648
LoganCounty,158,42,68,244,112,139
LoupCounty,115,33,53,192,102,137
McPhersonCounty,129,27,41,175,70,97
MadisonCounty,7252,2659,4773,11015,4053,5124
MerrickCounty,1557,564,752,2483,1073,1416
MorrillCounty,1014,306,449,1598,694,981
NanceCounty,731,230,333,1172,557,712
NemahaCounty,1271,626,1034,2039,975,1303
NuckollsCounty,775,236,333,1339,643,1174
OtoeCounty,3103,1002,1513,5148,2003,2971
PawneeCounty,479,186,175,798,415,720
PerkinsCounty,614,168,277,889,420,602
PhelpsCounty,1868,569,897,2892,1216,1746
PierceCounty,1516,522,652,2392,880,1304
PlatteCounty,7068,2303,3654,10558,3852,4802
PolkCounty,1077,327,381,1722,830,1069
RedWillowCounty,2092,810,1269,3420,1392,2072
RichardsonCounty,1432,549,702,2579,1185,1916
RockCounty,266,60,123,463,259,355
SalineCounty,2855,1279,1923,4508,1560,2075
SarpyCounty,38625,10893,22866,57350,15562,13544
SaundersCounty,4384,1450,1872,7138,2716,3220
ScottsBluffCounty,7598,2604,4493,11261,4799,6215
SewardCounty,3243,1561,2190,5170,2041,2545
SheridanCounty,1056,321,464,1564,852,1212
ShermanCounty,572,187,219,947,491,736
SiouxCounty,241,73,110,398,209,280
StantonCounty,1392,421,654,2038,759,865
ThayerCounty,905,315,357,1515,789,1347
ThomasCounty,119,37,47,195,114,135
ThurstonCounty,2105,605,808,1931,666,825
ValleyCounty,777,238,347,1274,618,1006
WashingtonCounty,4098,1594,1997,6943,2761,2841
WayneCounty,1521,1208,2145,2436,970,1315
WebsterCounty,692,258,291,1174,495,902
WheelerCounty,155,55,77,245,131,155
YorkCounty,2486,945,1673,4249,1823,2489
