County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
AdamsCounty,18202,7507,11757,34466,13521,15954
AlleghenyCounty,196379,79935,173931,405339,162705,205059
ArmstrongCounty,11408,4314,6854,23831,9847,12687
BeaverCounty,28152,11007,18331,57406,23983,31660
BedfordCounty,8753,3066,4780,16916,6771,9476
BerksCounty,80076,31785,50639,139482,49902,59558
BlairCounty,22048,9237,14482,41377,17418,22527
BradfordCounty,11605,4062,6292,20684,8827,11152
BucksCounty,116139,41724,66559,225771,83837,91219
ButlerCounty,33468,13543,20090,64465,24443,27853
CambriaCounty,22947,9681,16433,46823,20724,27071
CameronCounty,754,329,439,1616,861,1086
CarbonCounty,11116,3759,6562,22958,9210,11644
CentreCounty,20189,16135,43236,42094,14970,17366
ChesterCounty,101772,36401,57607,177659,61572,63875
ClarionCounty,6286,3609,6352,12067,5108,6566
ClearfieldCounty,13122,5054,9152,29133,10923,14258
ClintonCounty,6735,3356,6142,11796,4859,6350
ColumbiaCounty,10163,6355,10533,20754,8679,10811
CrawfordCounty,16125,6658,10047,28774,12449,14712
CumberlandCounty,39979,16888,31742,79281,30771,36745
DauphinCounty,50590,18191,34419,92691,35368,36841
DelawareCounty,105555,44245,73685,188392,67376,79726
ElkCounty,5331,1907,2853,11310,4479,6066
ErieCounty,51836,22305,39559,90604,35438,40824
FayetteCounty,22376,8382,14831,46611,19826,24580
ForestCounty,637,498,1349,2733,1081,1418
FranklinCounty,29504,10140,16741,49882,18672,24679
FultonCounty,2816,950,1487,5088,1960,2544
GreeneCounty,6244,2720,4837,13492,5462,5931
HuntingdonCounty,7602,3057,5668,15921,6207,7458
IndianaCounty,13748,8599,14995,26204,11390,13944
JeffersonCounty,7982,3082,4790,15083,6008,8255
JuniataCounty,4906,1598,2657,8214,3127,4134
LackawannaCounty,35733,14865,27441,69858,28645,37895
LancasterCounty,106520,38100,66530,168523,61992,77780
LawrenceCounty,15683,6140,9668,29708,12781,17128
LebanonCounty,25444,8731,15191,44105,17368,22729
LehighCounty,67548,24710,42266,120888,42481,51604
LuzerneCounty,52308,22008,38505,107467,43035,57595
LycomingCounty,19748,8585,15417,37899,15350,19112
McKeanCounty,7436,3074,5025,14889,5645,7381
MercerCounty,20092,8724,13152,37414,15700,21556
MifflinCounty,8911,2907,4849,15174,6198,8643
MonroeCounty,31958,14706,19303,60366,21808,21701
MontgomeryCounty,150188,51581,92271,285155,99952,120727
MontourCounty,3125,1135,2029,6032,2551,3395
NorthamptonCounty,52863,21897,35841,102122,38406,46606
NorthumberlandCounty,15795,5664,10683,31672,13198,17516
PerryCounty,8587,3272,4931,16227,6658,6294
PhiladelphiaCounty,282520,118297,282327,496745,160808,185309
PikeCounty,10497,4339,4906,20283,8041,9303
PotterCounty,3112,1189,1674,5478,2601,3403
SchuylkillCounty,24246,8715,16175,51982,20343,26828
SnyderCounty,7347,3280,5303,12633,4995,6144
SomersetCounty,12247,4548,8295,27034,11187,14431
SullivanCounty,741,502,631,1932,1065,1557
SusquehannaCounty,7326,2902,4121,14713,6449,7845
TiogaCounty,6933,3339,5269,13128,5750,7562
UnionCounty,6787,3584,7016,15837,5069,6654
VenangoCounty,9547,3600,5494,18290,8169,9884
WarrenCounty,6996,2655,4078,13945,6301,7840
WashingtonCounty,34796,13799,22654,70279,29926,36366
WayneCounty,7911,3236,5079,18391,8177,10028
WestmorelandCounty,58239,23378,36543,124141,53991,68877
WyomingCounty,4914,2018,3137,9522,4157,4528
YorkCounty,83681,29507,50038,154916,55773,61057
