"County","Density"
"ArkansasCounty",6.7
"AshleyCounty",12.3
"BaxterCounty",50.3
"BentonCounty",77.3
"BooneCounty",39.6
"BradleyCounty",8.9
"CalhounCounty",8.5
"CarrollCounty",32
"ChicotCounty",10
"ClarkCounty",14.5
"ClayCounty",14.9
"CleburneCounty",35.7
"ClevelandCounty",14.5
"ColumbiaCounty",18.6
"ConwayCounty",27.4
"CraigheadCounty",47
"CrawfordCounty",56.1
"CrittendenCounty",18.1
"CrossCounty",16.6
"DallasCounty",6.4
"DeshaCounty",5.4
"DrewCounty",11
"FaulknerCounty",72.8
"FranklinCounty",24.7
"FultonCounty",18.4
"GarlandCounty",56.8
"GrantCounty",21.3
"GreeneCounty",31.3
"HempsteadCounty",17.5
"HotSpringCounty",35.9
"HowardCounty",15.9
"IndependenceCounty",33.3
"IzardCounty",23.6
"JacksonCounty",18.6
"JeffersonCounty",28.7
"JohnsonCounty",27.9
"LafayetteCounty",14.5
"LawrenceCounty",19
"LeeCounty",11
"LincolnCounty",25.2
"LittleRiverCounty",17.1
"LoganCounty",22.6
"LonokeCounty",41.3
"MadisonCounty",18.8
"MarionCounty",27.9
"MillerCounty",28.7
"MississippiCounty",19
"MonroeCounty",9.3
"MontgomeryCounty",12.2
"NevadaCounty",10.1
"NewtonCounty",10.1
"OuachitaCounty",20.4
"PerryCounty",18.9
"PhillipsCounty",15.1
"PikeCounty",18.8
"PoinsettCounty",23.2
"PolkCounty",17.8
"PopeCounty",42.5
"PrairieCounty",13.4
"PulaskiCounty",80.8
"RandolphCounty",18.7
"StFrancisCounty",23.2
"SalineCounty",58.3
"ScottCounty",8.9
"SearcyCounty",12.3
"SebastianCounty",54.9
"SevierCounty",19.3
"SharpCounty",23.1
"StoneCounty",20.4
"UnionCounty",22.2
"VanBurenCounty",24.4
"WashingtonCounty",59.8
"WhiteCounty",41.7
"WoodruffCounty",12.4
"YellCounty",18.9
