"FAFZone","ArkansasCounty","AshleyCounty","BaxterCounty","BentonCounty","BooneCounty","BradleyCounty","CalhounCounty","CarrollCounty","ChicotCounty","ClarkCounty","ClayCounty","CleburneCounty","ClevelandCounty","ColumbiaCounty","ConwayCounty","CraigheadCounty","CrawfordCounty","CrittendenCounty","CrossCounty","DallasCounty","DeshaCounty","DrewCounty","FaulknerCounty","FranklinCounty","FultonCounty","GarlandCounty","GrantCounty","GreeneCounty","HempsteadCounty","HotSpringCounty","HowardCounty","IndependenceCounty","IzardCounty","JacksonCounty","JeffersonCounty","JohnsonCounty","LafayetteCounty","LawrenceCounty","LeeCounty","LincolnCounty","LittleRiverCounty","LoganCounty","LonokeCounty","MadisonCounty","MarionCounty","MillerCounty","MississippiCounty","MonroeCounty","MontgomeryCounty","NevadaCounty","NewtonCounty","OuachitaCounty","PerryCounty","PhillipsCounty","PikeCounty","PoinsettCounty","PolkCounty","PopeCounty","PrairieCounty","PulaskiCounty","RandolphCounty","StFrancisCounty","SalineCounty","ScottCounty","SearcyCounty","SebastianCounty","SevierCounty","SharpCounty","StoneCounty","UnionCounty","VanBurenCounty","WashingtonCounty","WhiteCounty","WoodruffCounty","YellCounty"
"11",375.82,350.33,457,606.3,507.61,383.73,409.06,532.81,313.13,471.45,374.07,406.27,401.5,473.41,444.27,330.7,541.04,278.36,312.93,423.79,354.815,351.18,426.72,518.51,422.03,454.91,423.77,354.77,506.2,445.8,527.73,380.51,425.45,353.05,396.365,495.04,510.65,362.2,318.77,373.155,555.32,511.23,376.04,561.45,479.73,526.285,322.63,346.29,495.2,496.46,529.92,471.55,441.59,326.28,503.88,314.62,542.84,469.12,353.63,397.34,375.33,305.2,425.23,532.12,465.08,557.92,543.495,406.01,419.05,437.18,461.4,578.74,371.2,341.05,480.03
"12",417.95,350.45,597.55,672.35,601.85,399.95,431.5,627.05,330.35,481.45,530.85,526.45,414.25,418.85,510.35,471.25,607.15,418.95,453.5,459.85,371.05,368.45,492.8,584.55,562.6,489.6,443.05,495.05,471.95,472.85,507.35,521.05,566.05,493.65,413.55,561.15,455.1,502.75,405.15,389.35,512.05,577.35,462.45,627.55,595,477.3,463.2,425.75,539.35,453.05,596,430.75,504.75,395.85,504.1,455.2,571.2,535.2,494.2,461.85,515.9,445.75,482.05,585.3,558.95,624,537,546.55,559.65,391.85,527.45,644.85,511.75,481.65,543.2
"19",403.961818181818,380.403636363637,500.163636363636,647.747272727273,550.8,416.290909090909,450.305454545455,575.992727272727,345.165454545455,496.325454545455,420.02,449.441818181818,424.497272727273,468.770909090909,485.736363636364,373.872727272727,582.52,321.532727272727,356.096363636364,457.083636363636,384.59,383.248181818182,468.176363636364,559.965454545454,465.2,490.985454545455,454.140909090909,397.503636363636,504.598181818182,479.621818181818,533.678181818182,423.672727272727,468.623636363636,396.223636363636,418.943636363636,536.507272727273,500.761818181818,405.372727272727,355.172727272727,402.410909090909,549.460909090909,552.709090909091,419.212727272727,602.930909090909,522.914545454545,519.774545454545,365.812727272727,379.481818181818,531.109090909091,490.567272727273,571.396363636364,467.972727272727,482.890909090909,353.938181818182,524.658181818182,357.778181818182,574.403636363636,510.581818181818,396.810909090909,438.721818181818,418.492727272727,348.370909090909,464.687272727273,570.225454545455,508.254545454545,599.381818181818,556.588181818182,449.170909090909,462.223636363636,437.941818181818,502.858181818182,620.22,414.372727272727,384.232727272727,521.332727272727
"20",1203.50689655172,1238.13103448276,1089.2724137931,1044.40344827586,1067.85172413793,1221.22068965517,1214.1,1058.89655172414,1241.41034482759,1195.1275862069,1166.40344827586,1130.38965517241,1198.95517241379,1231.54482758621,1152.5,1159.9275862069,1086.32413793103,1195.47931034483,1181.56896551724,1203.93793103448,1223.3,1219.78965517241,1135.44137931034,1102.78275862069,1116.3,1183.64482758621,1180.08275862069,1160.19310344828,1204.34137931034,1183.76551724138,1190.53793103448,1148.59310344828,1116.13793103448,1163.24482758621,1185.61034482759,1117.77586206897,1231.4275862069,1136.74827586207,1206.28965517241,1205.71379310345,1198.99310344828,1121.08965517241,1169.00344827586,1075.34827586207,1078.8,1213.75862068966,1206.65172413793,1202.2275862069,1154.63448275862,1209.84827586207,1080.75517241379,1226.4,1164.33103448276,1230.59655172414,1179.66896551724,1172.95517241379,1149.34482758621,1136.11724137931,1182.54482758621,1155.04827586207,1140.55172413793,1200.29310344828,1183.78620689655,1124.53793103448,1091.02068965517,1100.36551724138,1176.01379310345,1121.46551724138,1115.28620689655,1233.59655172414,1113.97586206897,1059.4,1156.72413793103,1184.14482758621,1141.5724137931
"41",1412.15,1389.25,1334.65,1204.9,1285.35,1370.05,1347.9,1258.05,1417.25,1302.9,1477.25,1344.65,1361.9,1290.6,1285.25,1434.15,1189.85,1474.55,1439.5,1342.3,1435.775,1389.9,1302.5,1209.35,1374,1333.85,1355,1454.95,1266.4,1326,1276.4,1383.75,1393.05,1389.65,1374.1,1232.25,1274.4,1430.85,1440.75,1404.8,1239.6,1230.25,1367.7,1238.75,1315.65,1244.5,1520.45,1418.95,1279.55,1290,1296.25,1314.8,1303.3,1462.25,1317.9,1423.95,1263.7,1260.25,1388.9,1347.55,1445.5,1439.7,1338.4,1233.6,1320.75,1196.7,1253.35,1417.1,1361.15,1329.2,1319.55,1204.15,1349.85,1385.85,1259.6
"42",1354.5,1311.1,1318.775,1189.05,1269.475,1291.85,1269.7,1242.25,1339.05,1224.7,1473.7,1363.75,1283.7,1212.35,1269.4,1430.6,1173.975,1425.65,1403.3,1264.05,1371.45,1311.65,1322.8,1193.5,1358.15,1267,1275.85,1451.4,1188.15,1247.8,1204.05,1394.15,1377.2,1386.05,1305.7,1216.4,1196.2,1427.3,1391.85,1336.35,1161.4,1214.35,1318.2,1222.95,1299.75,1166.3,1471.5,1370.05,1256.95,1211.8,1280.35,1236.6,1317.55,1413.3,1239.7,1420.35,1223.6,1244.35,1340,1299.15,1441.9,1390.8,1275.9,1217.75,1304.85,1180.85,1180.1,1435.2,1345.275,1251,1303.75,1188.275,1346.3,1382.25,1243.75
"49",1339.1,1348.65454545455,1284.04090909091,1154.31363636363,1234.73181818182,1326.42727272727,1309.43636363636,1207.49545454546,1366.2,1239.37272727273,1428.08181818182,1301.66363636364,1304.62727272727,1227,1234.65909090909,1384.99090909091,1139.23181818182,1399.10909090909,1358.30909090909,1299.29090909091,1364.50454545454,1334.68181818182,1259.81818181818,1158.76818181818,1323.41818181818,1263.30909090909,1285.37272727273,1405.8,1202.8,1276.43636363636,1206.17272727273,1338.39090909091,1342.46818181819,1340.44545454545,1303.98181818182,1181.64090909091,1210.87272727273,1381.7,1365.33636363636,1334.65454545455,1190.68181818182,1179.62272727273,1292.39090909091,1188.18636363637,1265.02272727272,1180.90909090909,1445,1343.50909090909,1225.15454545455,1226.47272727273,1245.62272727273,1251.21818181818,1258.98181818182,1386.8,1236.03636363636,1374.78181818182,1185.80909090909,1209.63181818182,1313.47272727273,1271.90909090909,1396.32727272727,1364.27272727273,1267.30909090909,1182.99545454546,1270.12272727273,1146.11363636364,1183.20909090909,1373.82727272727,1310.54090909091,1266.3,1268.98636363637,1153.54090909091,1300.7,1336.64545454545,1208.99545454546
"61",1730.04,1764.37,1662.8,1533.06,1613.52,1747.52,1724.9,1586.24,1781.61,1657.84,1805.42,1672.82,1718.7,1645.46,1613.42,1762.32,1518.02,1783.72,1735.9,1716.94,1760.28,1749.74,1630.66,1537.52,1702.18,1660.92,1694.32,1783.14,1621.26,1692.98,1609.02,1711.92,1721.22,1717.8,1702.74,1560.42,1629.34,1759.04,1749.92,1733.42,1607.38,1558.4,1677.4,1566.92,1643.8,1599.36,1829.6,1728.12,1607.7,1644.94,1624.4,1669.66,1631.46,1771.4,1638.64,1752.12,1563.98,1588.4,1698.06,1656.1,1773.68,1748.86,1661.16,1561.76,1648.9,1524.86,1586.82,1745.26,1689.3,1684.7,1647.72,1532.3,1678.04,1714.02,1587.76
"62",2074.78571428571,2127.64285714286,1978.31428571429,1878.3,1939.7,2101.84285714286,2090.95714285714,1920.22857142857,2132.65714285714,1990.84285714286,2103.14285714286,2017.55714285714,2067.85714285714,1978.45714285714,1958.15714285714,2087.65714285714,1862.75714285714,2122.54285714286,2078.51428571429,2075.45714285714,2105.04285714286,2099.65714285714,1975.4,1882.25714285714,2023.22857142857,2005.67142857143,2039.05714285714,2092.95714285714,1954.25714285714,2044.65714285714,1953.75714285714,2050.78571428571,2027.97142857143,2059.02857142857,2047.47142857143,1905.15714285714,1962.34285714286,2057.58571428571,2094.65714285714,2078.15714285714,1959.7,1903.14285714286,2022.14285714286,1910.52857142857,1961.44285714286,1932.35714285714,2153.38571428571,2072.85714285714,1952.44285714286,1977.94285714286,1957.01428571429,2002.67142857143,1976.2,2116.14285714286,1978.75714285714,2090.55714285714,1908.72857142857,1933.15714285714,2042.8,2000.84285714286,2065.9,2093.61428571429,2005.91428571429,1906.5,1975.07142857143,1869.61428571429,1931.58571428571,2037.35714285714,2016.71428571429,2018.54285714286,1988.2,1877.38571428571,2022.77142857143,2058.75714285714,1932.5
"63",1746,1702.65,1696.9,1567.2,1647.7,1683.4,1661.2,1620.4,1730.55,1616.2,1839.6,1707,1675.2,1603.9,1647.6,1796.5,1552.2,1817.2,1770,1655.6,1762.95,1703.2,1664.8,1571.7,1736.3,1658.5,1667.4,1817.3,1579.7,1639.3,1595.6,1746.1,1755.4,1751.9,1697.2,1594.6,1587.7,1793.2,1783.4,1727.9,1552.9,1592.5,1709.7,1601.1,1677.9,1557.8,1863,1761.6,1641.8,1603.3,1658.5,1628.1,1665.6,1804.8,1631.2,1786.3,1615.1,1622.6,1731.5,1690.7,1807.8,1782.3,1667.4,1595.9,1683,1559,1571.6,1779.4,1723.4,1642.5,1681.9,1566.4,1712.2,1748.2,1621.9
"64",2027.20833333333,2080.05,1959.95,1830.23333333333,1910.65,2054.24166666667,2043.4,1883.40833333333,2085.075,1943.24166666667,2102.6,1969.975,2020.26666666667,1930.875,1910.575,2059.50833333333,1815.15,2080.85833333333,2033.03333333333,2027.88333333333,2057.43333333333,2052.075,1927.81666666667,1834.69166666667,1999.33333333333,1958.1,1991.46666666667,2080.3,1906.69166666667,1997.09166666667,1906.15833333333,2009.09166666667,2018.375,2014.95,1999.90833333333,1857.55833333333,1914.74166666667,2056.20833333333,2047.075,2030.59166666667,1912.125,1855.54166666667,1974.54166666667,1864.1,1940.93333333333,1884.79166666667,2126.74166666667,2025.26666666667,1904.83333333333,1930.33333333333,1921.53333333333,1955.1,1928.625,2068.55,1931.16666666667,2049.29166666667,1861.13333333333,1885.55,1995.23333333333,1953.24166666667,2070.83333333333,2046.01666666667,1958.33333333333,1858.91666666667,1946.03333333333,1822.01666666667,1884,2042.43333333333,1986.45,1970.93333333333,1944.9,1829.45,1975.20833333333,2011.15833333333,1884.91666666667
"65",1885.2,1938.05,1817.95,1688.2,1768.65,1912.2,1901.4,1741.4,1943.05,1801.2,1960.6,1827.95,1878.25,1788.9,1768.55,1917.5,1673.15,1938.85,1891,1885.9,1915.4,1910.05,1785.8,1692.65,1857.3,1816.1,1849.45,1938.3,1764.65,1855.05,1764.15,1867.05,1876.35,1872.95,1857.9,1715.55,1772.7,1914.2,1905.05,1888.55,1770.1,1713.55,1832.55,1722.1,1798.95,1742.8,1984.7,1883.25,1762.85,1788.35,1779.5,1813.1,1786.6,1926.55,1789.15,1907.3,1719.1,1743.55,1853.2,1811.2,1928.8,1904,1816.3,1716.9,1804,1680,1742,1900.4,1844.45,1828.95,1802.9,1687.45,1833.2,1869.15,1742.9
