County,Region,Msa
RandolphCounty,,NA
StFrancisCounty,,NA
SalineCounty,,LittleRock
ScottCounty,,NA
ArkansasCounty,,NA
AshleyCounty,,NA
BaxterCounty,,NA
BentonCounty,,FayettevilleSpringdaleRogers
BooneCounty,,NA
BradleyCounty,,NA
WhiteCounty,,NA
CalhounCounty,,NA
CarrollCounty,,NA
ChicotCounty,,NA
ClarkCounty,,NA
VanBurenCounty,,NA
ClayCounty,,NA
CleburneCounty,,NA
ClevelandCounty,,NA
ColumbiaCounty,,NA
ConwayCounty,,NA
CraigheadCounty,,Jonesboro
CrawfordCounty,,FortSmith
CrittendenCounty,,Memphis
CrossCounty,,NA
YellCounty,,NA
DeshaCounty,,NA
DrewCounty,,NA
FaulknerCounty,,Conway
SearcyCounty,,NA
FultonCounty,,NA
GarlandCounty,,HotSprings
GrantCounty,,NA
DallasCounty,,NA
GreeneCounty,,NA
HempsteadCounty,,NA
SebastianCounty,,FortSmith
HowardCounty,,NA
IndependenceCounty,,NA
IzardCounty,,NA
FranklinCounty,,NA
JeffersonCounty,,PineBluff
SevierCounty,,NA
WoodruffCounty,,NA
LafayetteCounty,,NA
LawrenceCounty,,NA
LeeCounty,,NA
LincolnCounty,,NA
WashingtonCounty,,FayettevilleSpringdaleRogers
LittleRiverCounty,,NA
LoganCounty,,NA
LonokeCounty,,LittleRock
MadisonCounty,,NA
UnionCounty,,NA
MarionCounty,,NA
MillerCounty,,TexarkanaTexarkana
MississippiCounty,,NA
JohnsonCounty,,NA
StoneCounty,,NA
SharpCounty,,NA
MontgomeryCounty,,NA
MonroeCounty,,NA
NewtonCounty,,NA
JacksonCounty,,NA
OuachitaCounty,,NA
NevadaCounty,,NA
PerryCounty,,NA
PhillipsCounty,,NA
PikeCounty,,NA
PoinsettCounty,,NA
PolkCounty,,NA
PopeCounty,,NA
PrairieCounty,,NA
HotSpringCounty,,HotSprings
PulaskiCounty,,LittleRock
