Msa,DvmtFactor
HotSprings,0.75
FortSmith,0.75
Memphis,0.75
FayettevilleSpringdaleRogers,0.85
Conway,0.75
TexarkanaTexarkana,0.75
Jonesboro,0.75
PineBluff,0.75
LittleRock,0.90
