County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
AdairCounty,5276,1752,2630,7482,2609,2934
AlfalfaCounty,822,276,487,2170,745,1142
AtokaCounty,2756,953,1738,4611,1838,2286
BeaverCounty,1210,391,560,1824,779,872
BeckhamCounty,4554,1356,3434,7577,2385,2813
BlaineCounty,2150,675,1880,4204,1310,1724
BryanCounty,8256,3117,6308,12992,5063,6680
CaddoCounty,6172,2072,3764,9743,3506,4343
CanadianCounty,26044,7780,14377,41626,13138,12576
CarterCounty,10191,3190,5537,15737,5824,7078
CherokeeCounty,9314,4066,7639,14119,5511,6338
ChoctawCounty,3114,935,1634,4675,2088,2759
CimarronCounty,527,147,222,684,365,530
ClevelandCounty,49832,19436,48159,84543,27608,26177
CoalCounty,1247,420,579,1828,798,1053
ComancheCounty,26171,9663,23646,40358,11558,12702
CottonCounty,1237,458,622,2008,817,1051
CraigCounty,2790,998,1625,5084,1911,2621
CreekCounty,14315,4913,7600,23348,9316,10475
CusterCounty,5365,2356,5553,7667,2857,3671
DelawareCounty,7597,2657,3940,12448,6309,8536
DeweyCounty,1003,309,433,1494,613,958
EllisCounty,853,252,348,1260,646,792
GarfieldCounty,12684,3777,8427,19242,7154,9296
GarvinCounty,5624,1767,3162,8814,3451,4758
GradyCounty,10971,3648,6333,17816,6501,7162
GrantCounty,819,309,380,1446,611,962
GreerCounty,1026,328,927,2162,712,1084
HarmonCounty,623,210,309,889,385,506
HarperCounty,773,245,402,1131,448,686
HaskellCounty,2691,859,1421,3860,1696,2242
HughesCounty,2551,918,1662,4675,1786,2411
JacksonCounty,5738,1969,3915,8483,2918,3423
JeffersonCounty,1304,417,646,1993,873,1239
JohnstonCounty,2215,818,1293,3379,1433,1819
KayCounty,9767,3357,5321,14274,5911,7932
KingfisherCounty,3300,1074,1616,5035,1752,2257
KiowaCounty,1808,623,992,2986,1303,1734
LatimerCounty,2176,927,1306,3383,1418,1944
LeFloreCounty,10341,3572,6121,16266,6443,7641
LincolnCounty,7125,2466,3529,11374,4527,5252
LoganCounty,8667,3605,5156,13862,5265,5293
LoveCounty,1914,580,1053,2974,1284,1618
McClainCounty,7657,2351,3601,12147,4184,4566
McCurtainCounty,7105,2399,3661,10599,4247,5140
McIntoshCounty,3460,1217,1877,6145,3108,4445
MajorCounty,1453,460,765,2395,1006,1448
MarshallCounty,3125,989,1568,4848,2159,3151
MayesCounty,8625,2983,4528,13333,5319,6471
MurrayCounty,2720,826,1470,4291,1818,2363
MuskogeeCounty,14646,4957,9208,22985,8786,10408
NobleCounty,2419,705,1207,3819,1479,1932
NowataCounty,2066,737,1064,3394,1382,1893
OkfuskeeCounty,2317,814,1365,4159,1502,2034
OklahomaCounty,153421,47674,114340,236932,79909,86357
OkmulgeeCounty,8160,3059,4904,12556,5056,6334
OsageCounty,9502,3219,4899,15963,6611,7278
OttawaCounty,6542,2484,3747,9711,3946,5418
PawneeCounty,3351,1152,1658,5412,2281,2723
PayneCounty,12413,7658,21789,20443,6986,8061
PittsburgCounty,8374,2824,5603,14819,6181,8036
PontotocCounty,7348,2841,6075,11358,4300,5570
PottawatomieCounty,14439,5183,9176,22514,8195,9935
PushmatahaCounty,2137,762,1139,3578,1618,2338
RogerMillsCounty,776,217,396,1115,498,645
RogersCounty,18568,6587,9902,29899,10340,11609
SeminoleCounty,5447,1880,2860,7950,3248,4097
SequoyahCounty,8954,3085,4589,14090,5344,6329
StephensCounty,9064,2852,5043,14413,5878,7798
TexasCounty,5052,1607,3274,6558,2034,2115
TillmanCounty,1618,572,883,2486,1019,1414
TulsaCounty,129269,41675,87626,203809,68168,72856
WagonerCounty,16270,5011,8165,25262,9238,9139
WashingtonCounty,9870,3409,5916,16049,6649,9083
WashitaCounty,2521,747,1322,3693,1359,1987
WoodsCounty,1411,702,1856,2407,979,1523
WoodwardCounty,4113,1205,2817,6908,2190,2848
