Area,Fuel,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
DenverAurora,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
DenverAurora,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
DenverAurora,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
DenverAurora,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
GrandJunction,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
GrandJunction,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
GrandJunction,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
GrandJunction,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Pueblo,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Pueblo,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Pueblo,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Pueblo,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
