"SCTG","Payload","N"
1,12.2468285097997,5
2,14.8214660132791,22
3,8.92687568692924,23
4,11.2798150119434,8
5,15.3568767024241,0
6,7.85693462057059,17
7,10.2940854578171,20
8,6.81461054769325,10
9,12.5303662811142,0
10,12.7559630168912,2
11,14.7601763932821,4
12,14.1098909412677,43
13,14.57148120894,9
14,19.7343283246373,0
15,21.9759244651015,3
16,14.0428921341034,0
17,24.3515448152176,2
18,11.7399553387464,5
19,9.3205966594687,8
20,14.6935220971178,5
21,5.12434471305138,0
22,9.93234871988097,5
23,12.2174191704086,5
24,9.66549316294252,3
25,12.7359963237652,22
26,9.27912685224362,15
27,16.5382555630002,4
28,13.1552492378572,3
29,5.51350467372506,2
30,10.307661585523,8
31,15.8121602942773,27
32,13.798409792817,14
33,2.88349838774488,26
34,10.4026591889984,25
35,6.91185118160956,7
36,9.4301733094685,40
37,17.1134794135312,5
38,4.51852664992441,0
39,2.02973205245721,17
40,8.62555540838104,182
41,7.07053704029738,43
43,16.4806998659455,67
99,10.8934974922361,2
