County,Region,Msa
LoudonCounty,,Knoxville
McMinnCounty,,Cleveland
McNairyCounty,,NA
MaconCounty,,NA
MadisonCounty,,Jackson
MarionCounty,,NA
MarshallCounty,,NA
MauryCounty,,NA
MeigsCounty,,NA
MonroeCounty,,NA
MontgomeryCounty,,Clarksville
MooreCounty,,NA
MorganCounty,,Knoxville
ObionCounty,,NA
OvertonCounty,,NA
PerryCounty,,NA
PickettCounty,,NA
PolkCounty,,NA
PutnamCounty,,NA
RheaCounty,,NA
RoaneCounty,,Knoxville
RobertsonCounty,,NashvilleDavidson
RutherfordCounty,,NashvilleDavidson
ScottCounty,,NA
SequatchieCounty,,Chattanooga
SevierCounty,,Knoxville
ShelbyCounty,,Memphis
SmithCounty,,NA
StewartCounty,,NA
SullivanCounty,,JohnsonCity
SumnerCounty,,NashvilleDavidson
TiptonCounty,,NA
TrousdaleCounty,,NA
UnicoiCounty,,JohnsonCity
UnionCounty,,NA
VanBurenCounty,,NA
WarrenCounty,,NA
WashingtonCounty,,JohnsonCity
WayneCounty,,NA
WeakleyCounty,,NA
WhiteCounty,,NA
WilliamsonCounty,,NashvilleDavidson
WilsonCounty,,NashvilleDavidson
AndersonCounty,,Knoxville
BedfordCounty,,NA
BentonCounty,,NA
BledsoeCounty,,NA
BlountCounty,,Knoxville
BradleyCounty,,Cleveland
CampbellCounty,,NA
CannonCounty,,NA
CarrollCounty,,NA
CarterCounty,,JohnsonCity
CheathamCounty,,NA
ChesterCounty,,NA
ClaiborneCounty,,NA
ClayCounty,,NA
CockeCounty,,NA
CoffeeCounty,,NA
CrockettCounty,,NA
CumberlandCounty,,NA
DavidsonCounty,,NashvilleDavidson
DecaturCounty,,NA
DeKalbCounty,,NA
DicksonCounty,,NA
DyerCounty,,NA
FayetteCounty,,Memphis
FentressCounty,,NA
FranklinCounty,,NA
GibsonCounty,,NA
GilesCounty,,NA
GraingerCounty,,NA
GreeneCounty,,NA
GrundyCounty,,NA
HamblenCounty,,Morristown
HamiltonCounty,,Chattanooga
HancockCounty,,NA
HardemanCounty,,NA
HardinCounty,,NA
HawkinsCounty,,JohnsonCity
HaywoodCounty,,NA
HendersonCounty,,NA
HenryCounty,,NA
HickmanCounty,,NA
HoustonCounty,,NA
HumphreysCounty,,NA
JacksonCounty,,NA
JeffersonCounty,,Morristown
JohnsonCounty,,NA
KnoxCounty,,Knoxville
LakeCounty,,NA
LauderdaleCounty,,NA
LawrenceCounty,,NA
LewisCounty,,NA
LincolnCounty,,NA
