Msa,DvmtFactor
Morristown,0.75
Knoxville,1.00
Clarksville,0.80
Jackson,0.75
NashvilleDavidson,1.00
Cleveland,0.75
Memphis,0.95
Chattanooga,0.85
JohnsonCity,0.90
