"County","AndersonCounty","BedfordCounty","BentonCounty","BledsoeCounty","BlountCounty","BradleyCounty","CampbellCounty","CannonCounty","CarrollCounty","CarterCounty","CheathamCounty","ChesterCounty","ClaiborneCounty","ClayCounty","CockeCounty","CoffeeCounty","CrockettCounty","CumberlandCounty","DavidsonCounty","DecaturCounty","DeKalbCounty","DicksonCounty","DyerCounty","FayetteCounty","FentressCounty","FranklinCounty","GibsonCounty","GilesCounty","GraingerCounty","GreeneCounty","GrundyCounty","HamblenCounty","HamiltonCounty","HancockCounty","HardemanCounty","HardinCounty","HawkinsCounty","HaywoodCounty","HendersonCounty","HenryCounty","HickmanCounty","HoustonCounty","HumphreysCounty","JacksonCounty","JeffersonCounty","JohnsonCounty","KnoxCounty","LakeCounty","LauderdaleCounty","LawrenceCounty","LewisCounty","LincolnCounty","LoudonCounty","McMinnCounty","McNairyCounty","MaconCounty","MadisonCounty","MarionCounty","MarshallCounty","MauryCounty","MeigsCounty","MonroeCounty","MontgomeryCounty","MooreCounty","MorganCounty","ObionCounty","OvertonCounty","PerryCounty","PickettCounty","PolkCounty","PutnamCounty","RheaCounty","RoaneCounty","RobertsonCounty","RutherfordCounty","ScottCounty","SequatchieCounty","SevierCounty","ShelbyCounty","SmithCounty","StewartCounty","SullivanCounty","SumnerCounty","TiptonCounty","TrousdaleCounty","UnicoiCounty","UnionCounty","VanBurenCounty","WarrenCounty","WashingtonCounty","WayneCounty","WeakleyCounty","WhiteCounty","WilliamsonCounty","WilsonCounty"
"AndersonCounty",9.6,198.7,259.9,90.7,38.3,91.1,27.3,140.3,291.5,144.2,197.3,307.1,56.4,122.8,85.7,146.7,322.4,62.3,170.8,273.5,126.2,217.6,347,354,75.2,186.3,328.2,242.5,68.8,97.5,139.4,68.4,115.6,85,336.4,296.6,108.8,329.4,285.6,283.1,222.6,241.9,240.9,117.9,59.5,173.2,22.1,369.8,353.9,254.2,248.8,185.1,41,71,320.6,157.8,306.3,146.7,212.1,215.5,75.8,64.3,218.5,168.4,34.5,345.4,98.1,264.1,103.8,111.9,95.8,66.6,31.5,195.4,170.9,43.4,112.6,59.2,375.6,128.2,254.1,126.9,170.4,359,146.9,134.6,39,109.1,120.2,122,273.8,318.7,91.4,190.2,146.1
"BedfordCounty",198.7,11.2,136,104.5,207.4,138.5,216.6,43.5,167.7,321.5,78.8,151.3,245.7,128.2,263,32.1,198.6,117.3,54.1,117.7,60.8,93.7,223.1,230.2,149.7,33.7,204.3,52,238.1,274.8,76.5,245.7,121.1,281.9,180.5,127,286.2,205.5,129.5,166.4,80,119.3,117.1,105.8,236.9,350.5,204.2,245.9,230.1,74,83.4,31.8,194.1,165.9,147.2,96.1,182.4,81.1,26.3,47.3,160.2,182.4,101.8,32.2,163.2,221.6,128.5,99.9,147.6,157,108.4,129.9,169,84,31,184.1,107,236,251.8,81.1,137.4,304.2,76.6,235.2,79.7,312,228.6,84.9,58.1,299.3,104.2,194.8,86.9,51.4,53.8
"BentonCounty",259.9,136,10.7,200.2,268.6,246.9,277.8,135.9,23.6,382.7,72.9,68.6,306.9,176.5,324.2,148.4,83.9,201.7,87.7,35,149.8,49.2,84.4,115.5,210.9,175.1,54.3,120.3,299.2,336,185,306.9,229.6,343.1,97.9,71.9,347.3,90.8,47,24.8,60.1,45.2,24.3,166.9,298,411.7,265.4,102.7,115.4,109.8,71.5,145.7,255.3,274.4,82.1,145.3,67.8,189.5,111.3,87.4,249,265.9,66.5,163.2,224.3,76.4,189.6,48.8,208.8,265.5,169.6,233.5,230.2,97.4,112.5,245.3,194.9,297.1,137.1,142.2,53.3,365.4,117.7,120.5,132.4,373.1,289.8,180.6,153.8,360.5,86.2,49.6,180.2,82.8,115
"BledsoeCounty",90.7,104.5,200.2,10.4,99.4,47.3,119,66.7,231.9,213.5,142.9,247.4,148.1,90.7,155,73.1,262.7,29.8,118.2,213.8,61.9,157.9,287.3,294.3,61.9,91.2,268.5,140.8,130,166.8,49.4,137.7,55.8,173.9,276.7,218.8,178.1,269.7,225.9,230.5,162.5,183.4,181.2,75.4,128.8,242.5,96.2,310.1,294.2,176.4,171,111.4,86.1,69,239,115.3,246.6,46.7,125.1,137.7,54,70.9,165.9,94.7,75.3,285.8,66,189.8,89.8,68.1,55,26.1,61,152.9,89.6,96.3,22.6,127.9,315.9,85.7,201.5,196.2,127.9,299.3,104.4,203.9,120.6,28.1,46.5,191.3,196,259,37.4,119.4,103.7
"BlountCounty",38.3,207.4,268.6,99.4,12.2,81.9,59.1,149.1,300.3,133.7,206,315.9,67.3,131.5,62.5,155.5,331.1,71,179.5,282.3,134.9,226.3,355.7,362.7,102.7,177.1,336.9,236.2,51.9,87,144.6,59.6,106.4,94.1,345.1,305.3,98.4,338.1,294.3,291.8,231.3,250.6,249.6,126.6,49.1,162.7,18.8,378.5,362.6,262.9,257.5,206.9,22.4,45.9,329.3,166.5,315,137.5,220.8,224.2,66.6,29.8,227.2,177.1,53.7,354.2,106.8,272.8,130.6,76.4,104.5,72.8,40.2,204.1,179.7,75.3,117.8,31.6,384.3,136.9,262.9,116.4,179.1,367.8,155.6,124.2,44.4,117.8,128.9,111.5,282.5,327.4,100.1,198.9,154.9
"BradleyCounty",91.1,138.5,246.9,47.3,81.9,9.4,121.6,125.8,278.6,199.8,189.7,294.2,129.8,132.1,141.3,105.6,309.5,71.1,165,260.6,108.6,204.6,334,341.1,103.2,100.9,315.2,160,116.4,153.1,85.4,124,30.2,160.2,298.9,237.4,164.5,316.4,272.6,277.3,209.3,230.2,227.9,127.1,115.2,228.8,82.5,356.8,341,185.1,217.8,130.7,57.2,33.3,274.4,167,293.3,61.3,159.1,184.4,31.6,49.7,212.7,126.2,101.8,332.5,107.4,236.5,131.1,22.1,105,35.9,70.8,194.9,141.9,137.8,63.6,114.3,362.7,137.5,248.3,182.5,187.5,346.1,156.1,190.3,106.9,74.7,93.2,177.6,214.6,305.7,84,166.1,164.7
"CampbellCounty",27.3,216.6,277.8,119,59.1,121.6,11.5,167.1,309.4,157.5,215.2,325,33,119.7,99,175,340.3,90.6,188.7,291.4,144.1,235.4,364.9,371.9,67,216.8,346.1,260.4,72.6,110.7,167.7,81.7,146.1,67.3,354.3,314.5,88.6,347.3,303.5,301,240.5,259.8,258.8,123.8,72.8,186.4,41.9,387.6,371.8,272.1,266.7,213.4,71.4,101.5,338.5,152.1,324.2,177.2,230,233.4,106.3,86.2,236.4,196.7,63.4,363.3,97.6,282,95.6,142.4,113.7,94.9,59.8,213.3,188.8,36.4,140.8,72.5,393.5,146.1,272,140.1,188.3,376.9,164.8,147.9,52.3,137.4,148.5,135.3,291.6,336.5,119.7,208.1,164
"CannonCounty",140.3,43.5,135.9,66.7,149.1,125.8,167.1,8.4,167.6,263.1,78.7,183.2,196.3,87.3,204.6,27.2,198.5,79.4,54,149.6,24.9,93.6,223,230.1,100.3,53.9,204.2,100.5,179.7,216.4,58.9,187.3,108.4,223.5,212.5,154.5,227.8,205.4,161.6,166.3,98.3,119.2,117,64.2,178.5,292.1,145.8,245.8,230,112.2,106.8,65.6,135.7,153.3,174.7,69.7,182.3,68.4,70.1,73.5,119.9,136.8,101.7,48.8,113.7,221.5,79,125.6,98.1,144.3,58.9,92,110.6,83.9,25.3,134.6,61.3,177.6,251.7,40.2,137.3,245.8,68.8,235.1,58.9,253.6,170.2,47,20.3,240.9,131.7,194.7,49,55.1,44.6
"CarrollCounty",291.5,167.7,23.6,231.9,300.3,278.6,309.4,167.6,12.6,414.4,91.8,53.8,338.5,208.1,355.9,180,50.7,233.3,119.4,45.2,181.5,68.1,61.5,88.6,242.6,206.7,31.4,134.2,330.9,367.6,216.6,338.5,261.2,374.7,71,69.4,379,63.9,27.8,26.9,76.7,64.1,43.2,198.6,329.7,443.3,297,80.4,86.8,120,81.7,165.3,286.9,306.1,67.2,176.9,40.8,221.2,130.9,108.4,280.6,297.5,85.4,182.7,256,54.2,221.3,59,240.4,297.1,201.2,265.2,261.8,116.4,144.1,276.9,226.5,328.8,110.2,173.9,57.2,397,149.3,93.6,164,404.8,321.4,212.2,185.5,392.1,96.3,27.4,211.8,114.5,146.6
"CarterCounty",144.2,321.5,382.7,213.5,133.7,199.8,157.5,263.1,414.4,9.6,320.1,429.9,111.6,245.6,74.3,269.5,445.2,185.1,293.6,396.3,249,340.4,469.8,476.8,204.2,295,451,365.3,94.4,43.7,262.2,77.6,224.3,89.7,459.2,419.4,58.7,452.2,408.4,405.9,345.4,364.7,363.7,240.7,88.3,29.9,119.6,492.6,476.7,377,371.6,324.8,149.7,179.7,443.4,280.6,429.1,255.4,334.9,338.3,184.5,162.4,341.3,291.2,163.4,468.3,220.9,386.9,232.8,220.6,218.6,190.6,154.3,318.2,293.8,173.6,235.4,110.5,498.4,251,376.9,25,293.2,481.8,269.7,24.4,125.2,231.9,243,18.5,396.6,441.5,214.2,313,269
