"County","FIPS","StateFIPS","CountyFIPS"
"AndersonCounty",47001,47,1
"BedfordCounty",47003,47,3
"BentonCounty",47005,47,5
"BledsoeCounty",47007,47,7
"BlountCounty",47009,47,9
"BradleyCounty",47011,47,11
"CampbellCounty",47013,47,13
"CannonCounty",47015,47,15
"CarrollCounty",47017,47,17
"CarterCounty",47019,47,19
"CheathamCounty",47021,47,21
"ChesterCounty",47023,47,23
"ClaiborneCounty",47025,47,25
"ClayCounty",47027,47,27
"CockeCounty",47029,47,29
"CoffeeCounty",47031,47,31
"CrockettCounty",47033,47,33
"CumberlandCounty",47035,47,35
"DavidsonCounty",47037,47,37
"DecaturCounty",47039,47,39
"DeKalbCounty",47041,47,41
"DicksonCounty",47043,47,43
"DyerCounty",47045,47,45
"FayetteCounty",47047,47,47
"FentressCounty",47049,47,49
"FranklinCounty",47051,47,51
"GibsonCounty",47053,47,53
"GilesCounty",47055,47,55
"GraingerCounty",47057,47,57
"GreeneCounty",47059,47,59
"GrundyCounty",47061,47,61
"HamblenCounty",47063,47,63
"HamiltonCounty",47065,47,65
"HancockCounty",47067,47,67
"HardemanCounty",47069,47,69
"HardinCounty",47071,47,71
"HawkinsCounty",47073,47,73
"HaywoodCounty",47075,47,75
"HendersonCounty",47077,47,77
"HenryCounty",47079,47,79
"HickmanCounty",47081,47,81
"HoustonCounty",47083,47,83
"HumphreysCounty",47085,47,85
"JacksonCounty",47087,47,87
"JeffersonCounty",47089,47,89
"JohnsonCounty",47091,47,91
"KnoxCounty",47093,47,93
"LakeCounty",47095,47,95
"LauderdaleCounty",47097,47,97
"LawrenceCounty",47099,47,99
"LewisCounty",47101,47,101
"LincolnCounty",47103,47,103
"LoudonCounty",47105,47,105
"McMinnCounty",47107,47,107
"McNairyCounty",47109,47,109
"MaconCounty",47111,47,111
"MadisonCounty",47113,47,113
"MarionCounty",47115,47,115
"MarshallCounty",47117,47,117
"MauryCounty",47119,47,119
"MeigsCounty",47121,47,121
"MonroeCounty",47123,47,123
"MontgomeryCounty",47125,47,125
"MooreCounty",47127,47,127
"MorganCounty",47129,47,129
"ObionCounty",47131,47,131
"OvertonCounty",47133,47,133
"PerryCounty",47135,47,135
"PickettCounty",47137,47,137
"PolkCounty",47139,47,139
"PutnamCounty",47141,47,141
"RheaCounty",47143,47,143
"RoaneCounty",47145,47,145
"RobertsonCounty",47147,47,147
"RutherfordCounty",47149,47,149
"ScottCounty",47151,47,151
"SequatchieCounty",47153,47,153
"SevierCounty",47155,47,155
"ShelbyCounty",47157,47,157
"SmithCounty",47159,47,159
"StewartCounty",47161,47,161
"SullivanCounty",47163,47,163
"SumnerCounty",47165,47,165
"TiptonCounty",47167,47,167
"TrousdaleCounty",47169,47,169
"UnicoiCounty",47171,47,171
"UnionCounty",47173,47,173
"VanBurenCounty",47175,47,175
"WarrenCounty",47177,47,177
"WashingtonCounty",47179,47,179
"WayneCounty",47181,47,181
"WeakleyCounty",47183,47,183
"WhiteCounty",47185,47,185
"WilliamsonCounty",47187,47,187
"WilsonCounty",47189,47,189
