Msa,Fwy,Art
BowlingGreen,0,0
Cincinnati,0,0
Clarksville,0,0
ElizabethtownRadcliff,0,0
Evansville,0,0
Huntington,0,0
LexingtonFayette,0,0
LouisvilleJeffersonCounty,0,0
Owensboro,0,0
