"County","Density"
"AdairCounty",13.5
"AdamsCounty",9.5
"AllamakeeCounty",16.6
"AppanooseCounty",15.2
"AudubonCounty",13.8
"BentonCounty",29.5
"BlackHawkCounty",35.1
"BooneCounty",23.7
"BremerCounty",36.5
"BuchananCounty",25.3
"BuenaVistaCounty",15.6
"ButlerCounty",25.6
"CalhounCounty",17
"CarrollCounty",19.2
"CassCounty",13.3
"CedarCounty",26.7
"CerroGordoCounty",16.7
"CherokeeCounty",12.9
"ChickasawCounty",18.2
"ClarkeCounty",10.4
"ClayCounty",10.2
"ClaytonCounty",22.5
"ClintonCounty",23.3
"CrawfordCounty",12.5
"DallasCounty",35.7
"DavisCounty",17.4
"DecaturCounty",15.9
"DelawareCounty",22.1
"DesMoinesCounty",26.9
"DickinsonCounty",15.8
"DubuqueCounty",44
"EmmetCounty",10.5
"FayetteCounty",20.3
"FloydCounty",17.3
"FranklinCounty",11.1
"FremontCounty",14.6
"GreeneCounty",9.6
"GrundyCounty",24.8
"GuthrieCounty",18.5
"HamiltonCounty",13.8
"HancockCounty",14
"HardinCounty",22
"HarrisonCounty",17.4
"HenryCounty",26.9
"HowardCounty",12.8
"HumboldtCounty",10.6
"IdaCounty",16.4
"IowaCounty",23
"JacksonCounty",16.8
"JasperCounty",29.3
"JeffersonCounty",15.2
"JohnsonCounty",42.7
"JonesCounty",20.9
"KeokukCounty",18.1
"KossuthCounty",10.5
"LeeCounty",28.7
"LinnCounty",42.7
"LouisaCounty",28.3
"LucasCounty",11.7
"LyonCounty",19.7
"MadisonCounty",19
"MahaskaCounty",17.5
"MarionCounty",29.8
"MarshallCounty",24.6
"MillsCounty",20.7
"MitchellCounty",15.5
"MononaCounty",9.5
"MonroeCounty",10.2
"MontgomeryCounty",12.2
"MuscatineCounty",26
"OBrienCounty",16.7
"OsceolaCounty",9.5
"PageCounty",10.1
"PaloAltoCounty",10.3
"PlymouthCounty",18.3
"PocahontasCounty",12.7
"PolkCounty",54.1
"PottawattamieCounty",26.9
"PoweshiekCounty",16.9
"RinggoldCounty",9.6
"SacCounty",18
"ScottCounty",56.8
"ShelbyCounty",12.3
"SiouxCounty",22.6
"StoryCounty",27.9
"TamaCounty",17.9
"TaylorCounty",11.9
"UnionCounty",11.7
"VanBurenCounty",15.6
"WapelloCounty",26
"WarrenCounty",34.8
"WashingtonCounty",26.6
"WayneCounty",12.2
"WebsterCounty",18.3
"WinnebagoCounty",18
"WinneshiekCounty",18.1
"WoodburyCounty",21.4
"WorthCounty",19
"WrightCounty",13
