Msa,DvmtFactor
Davenport,0.75
CedarRapids,0.75
Waterloo,0.75
Dubuque,0.75
Omaha,0.75
Ames,0.75
IowaCity,0.75
DesMoines,0.85
SiouxCity,0.75
