"FAFZone","AdairCounty","AdamsCounty","AllamakeeCounty","AppanooseCounty","AudubonCounty","BentonCounty","BlackHawkCounty","BooneCounty","BremerCounty","BuchananCounty","BuenaVistaCounty","ButlerCounty","CalhounCounty","CarrollCounty","CassCounty","CedarCounty","CerroGordoCounty","CherokeeCounty","ChickasawCounty","ClarkeCounty","ClayCounty","ClaytonCounty","ClintonCounty","CrawfordCounty","DallasCounty","DavisCounty","DecaturCounty","DelawareCounty","DesMoinesCounty","DickinsonCounty","DubuqueCounty","EmmetCounty","FayetteCounty","FloydCounty","FranklinCounty","FremontCounty","GreeneCounty","GrundyCounty","GuthrieCounty","HamiltonCounty","HancockCounty","HardinCounty","HarrisonCounty","HenryCounty","HowardCounty","HumboldtCounty","IdaCounty","IowaCounty","JacksonCounty","JasperCounty","JeffersonCounty","JohnsonCounty","JonesCounty","KeokukCounty","KossuthCounty","LeeCounty","LinnCounty","LouisaCounty","LucasCounty","LyonCounty","MadisonCounty","MahaskaCounty","MarionCounty","MarshallCounty","MillsCounty","MitchellCounty","MononaCounty","MonroeCounty","MontgomeryCounty","MuscatineCounty","OBrienCounty","OsceolaCounty","PageCounty","PaloAltoCounty","PlymouthCounty","PocahontasCounty","PolkCounty","PottawattamieCounty","PoweshiekCounty","RinggoldCounty","SacCounty","ScottCounty","ShelbyCounty","SiouxCounty","StoryCounty","TamaCounty","TaylorCounty","UnionCounty","VanBurenCounty","WapelloCounty","WarrenCounty","WashingtonCounty","WayneCounty","WebsterCounty","WinnebagoCounty","WinneshiekCounty","WoodburyCounty","WorthCounty","WrightCounty"
"11",868.37,883.64,911.89,747.13,899.28,808.72,838.89,870.65,857.255,825.02,980.62,879.27,938.7,915.3,913.46,795.61,932.72,1055.3,877.57,813.35,1006.29,881.61,771.77,984.36,852.3,722.03,795.5,847.87,711.28,1028.03,831.41,1005.26,857.81,897.92,903.09,883.56,893.38,866.02,874.9,887.01,939.09,868.97,956.92,702.3,899.53,938.5,1027.8,785.92,803.19,808.3,725.59,803.58,822.32,760.76,966.6,682.22,790.02,733.67,787.9,1081.92,840.1,768.28,789.8,862.88,902.2,917.21,992.64,764.81,895.75,781,1084.57,1097.01,874.3,982.84,1035.88,958.67,830.71,927.66,811.63,819.89,965.4,759.03,966.65,1058.63,854.5,836.88,862.72,840.2,704.2,742.1,815.67,735.78,771.42,913.81,957.3,887.93,1021.9,940.92,911.15
"12",1034.4,1005.85,1061.35,911.85,1059.5,963.2,993.35,1035.35,1011.7,979.5,1145.35,1033.75,1103.4,1079.95,1035.7,981.25,1087.2,1177.55,1032.05,995.95,1170.95,1022.2,957.35,1106.6,1016.95,886.75,960.15,986.2,875.95,1192.75,1017.05,1169.95,1012.3,1052.45,1057.55,1005.8,1058.05,1020.55,1039.65,1051.75,1103.8,1033.65,1079.15,867,1054,1103.2,1150.05,940.4,988.75,973.05,890.3,917.5,1007.95,925.45,1131.35,846.95,944.45,898.35,952.65,1204.15,1004.8,932.95,954.45,1017.35,1024.45,1071.65,1114.85,929.55,1017.95,923.65,1206.85,1219.25,996.55,1147.55,1158.15,1123.35,995.45,1049.9,966.15,998.35,1130.1,944.65,1088.9,1180.85,1019.2,991.35,984.95,1022.8,868.9,906.85,980.35,900.45,936.15,1078.55,1121.95,1042.45,1144.15,1095.4,1075.85
"19",914.398181818182,922.105454545455,950.649090909091,793.174545454545,945.023636363636,852.096363636364,882.261818181818,916.685454545454,900.622727272727,868.389090909091,1026.67636363636,922.643636363636,984.721818181818,961.323636363636,951.921818181818,844.983636363636,976.094545454545,1093.77454545455,920.929090909091,859.385454545455,1052.31272727273,920.736363636364,821.127272727273,1022.83636363636,898.325454545455,768.078181818182,841.523636363636,884.050909090909,757.303636363636,1074.07818181818,880.796363636364,1051.29454545455,901.18,941.301818181818,946.454545454545,922.014545454546,939.416363636364,909.409090909091,920.941818181818,933.067272727273,985.125454545455,924.390909090909,995.387272727273,748.332727272727,942.901818181818,984.521818181818,1066.27454545455,829.301818181818,852.543636363636,854.347272727273,771.623636363636,831.86,871.696363636364,806.794545454545,1012.66,728.269090909091,833.381818181818,779.705454545455,833.941818181818,1120.38909090909,886.127272727273,814.303636363636,835.825454545455,906.252727272727,940.667272727273,960.570909090909,1031.09272727273,810.854545454545,934.209090909091,817.792727272727,1123.05636363636,1135.48181818182,912.774545454545,1028.87818181818,1074.36,1004.70545454545,876.758181818182,966.129090909091,855.016363636364,865.921818181818,1011.42727272727,808.401818181818,1005.11454545455,1097.08727272727,900.532727272727,880.252727272727,901.185454545454,886.221818181818,750.230909090909,788.16,861.705454545455,781.803636363636,817.469090909091,959.854545454545,1010.04,931.316363636364,1060.38,984.278181818182,957.185454545454
"20",826.324137931035,831.520689655172,721.675862068965,813.906896551724,810.731034482759,762.196551724138,732.61724137931,751.924137931034,719.996551724138,749.751724137931,757.496551724138,724.91724137931,784.851724137931,789.437931034483,807.244827586207,794.127586206897,689.765517241379,742.510344827586,706.406896551724,790.579310344828,740.2,740.479310344828,814.613793103448,768.544827586207,834.434482758621,824.075862068966,806.420689655172,757.979310344828,831.3,728.013793103448,772.189655172414,721.489655172414,728.948275862069,704.520689655172,708.8,813.28275862069,804.1,741.751724137931,826.068965517241,727.068965517241,698.48275862069,733.403448275862,765.586206896552,814.306896551724,692.365517241379,763.144827586207,755.665517241379,807.262068965517,795.829310344827,773.458620689655,829.320689655172,783.56724137931,782.206896551724,820.258620689655,747.303448275862,839.144827586207,766.455172413793,812.939655172414,796.013793103448,689.641379310345,842.703448275862,796.162068965517,786.279310344828,760.18275862069,799.165517241379,684.462068965517,750.962068965517,800.196551724138,815.975862068966,812.589655172414,720.248275862069,706.265517241379,828.165517241379,733.310344827586,720.086206896552,748.768965517241,758.131034482759,788.137931034483,790.762068965517,861.868965517241,770.431034482759,818.103448275862,786.489655172414,702.762068965517,741.337931034483,770.093103448276,844.21724137931,845.68275862069,838.368965517241,811.2,772.389655172414,801.572413793103,809.696551724138,739.720689655172,687.01724137931,706.610344827586,728.341379310345,678.5,716.141379310345
"41",1485.95,1468.35,1745.2,1519.05,1462.1,1641.15,1646.55,1564.85,1664.55,1671.9,1513.3,1651.75,1515.2,1491.2,1446.95,1679.55,1653.3,1521.2,1684.85,1486.75,1540,1723.8,1725.55,1455.3,1504.8,1541.95,1470.15,1694.75,1627.15,1561.4,1726.6,1588.45,1699.35,1673.65,1627.15,1295,1514.3,1619.1,1485.55,1588.65,1653.35,1612.65,1422.8,1609.8,1716.75,1560.85,1493.7,1620,1728.15,1568.4,1587.6,1646.75,1692.6,1590.85,1594.4,1582.85,1668.2,1640.05,1512.25,1547.8,1524,1566.95,1543.7,1583.05,1341.05,1689.6,1458.5,1539.25,1366.7,1691,1550.5,1562.9,1317.65,1565.2,1501.8,1541,1540.45,1403.8,1594.85,1467.35,1492.6,1699.45,1442.7,1524.5,1568.8,1610.45,1447.45,1490.05,1575.2,1561.15,1523.55,1614.75,1496.35,1540.3,1671.6,1741.85,1487.8,1673.3,1625.45
"42",1502.125,1452.55,1729.35,1503.2,1523.55,1625.25,1630.7,1549,1648.75,1656.05,1574.7,1635.85,1576.6,1552.65,1508.35,1663.65,1637.45,1582.6,1669.05,1470.9,1601.45,1707.95,1709.7,1516.65,1530.15,1526.1,1454.275,1678.85,1611.325,1622.8,1710.75,1649.85,1683.55,1657.825,1611.25,1311.25,1575.75,1603.25,1546.95,1572.75,1637.55,1596.825,1484.2,1593.95,1700.9,1622.25,1555.1,1604.15,1712.35,1552.55,1571.75,1630.85,1676.75,1575,1655.75,1566.975,1652.35,1624.25,1496.4,1609.2,1508.15,1551.15,1527.85,1567.2,1328.8,1673.75,1519.9,1523.4,1354.45,1675.15,1611.85,1624.3,1333.85,1626.6,1563.2,1602.4,1524.55,1465.15,1578.95,1451.55,1553.95,1683.55,1504.15,1585.9,1552.95,1594.6,1431.6,1474.2,1559.35,1545.25,1507.75,1598.95,1480.475,1601.65,1655.75,1726.05,1549.2,1657.45,1609.6
"49",1432.69545454546,1404.39545454545,1678.55909090909,1460.10454545455,1412.99545454546,1574.48636363637,1579.92272727272,1495.22272727273,1597.95,1605.26818181818,1464.12272727273,1585.09545454546,1466.02272727272,1442.09545454545,1397.80454545454,1612.89545454545,1586.66818181819,1472.0409090909,1618.25909090909,1427.31363636363,1490.88636363637,1657.16818181819,1658.92272727272,1406.10909090909,1458.36818181818,1483.00454545454,1411.20454545455,1628.08636363637,1572.17727272728,1512.25909090909,1659.95909090909,1539.30454545454,1632.75909090909,1607.03181818181,1560.48636363637,1264.73181818182,1465.18636363637,1552.46818181819,1436.40909090909,1521.98636363637,1586.75909090909,1546.03181818181,1373.6590909091,1554.02272727272,1650.14090909091,1511.69545454546,1444.5409090909,1553.38181818182,1661.55,1501.77727272727,1530.20454545455,1580.08636363637,1625.95909090909,1533.13181818182,1545.21363636364,1532.23181818182,1601.55909090909,1582.79545454545,1452.81363636363,1498.6590909091,1457.74090909091,1506.88636363636,1483.40454545454,1516.42272727272,1291.18636363637,1622.95909090909,1409.36818181818,1481.35909090909,1316.85909090909,1624.38181818182,1501.32272727272,1513.74090909091,1287.35909090909,1516.02272727272,1452.62272727273,1491.86818181818,1473.79545454545,1354.60909090909,1528.19545454546,1406.72272727273,1443.42272727273,1632.79545454545,1393.59545454545,1475.35,1502.16818181819,1543.82272727272,1386.26818181818,1426.25,1516.27727272727,1503.62272727273,1462.15,1555.87727272727,1437.40454545454,1491.11363636363,1604.95909090909,1675.25909090909,1438.63181818182,1606.66818181819,1558.80454545454
"50",590.356,545.16,731.692666666667,505.470666666667,598.032,632.971333333333,657.046,610.672,676.58,650.018,702.250666666667,676.64,668.137333333333,626.773333333333,574.978666666667,646.346,694.810666666667,716.829333333333,696.891333333333,533.888,728.937333333333,693.764666666667,643.279333333333,645.888,591.861333333333,512.116666666667,516.952,659.15,543.348666666667,750.334666666667,694.006,740.562666666667,681.61,697.863333333333,666.876,545.068,628.505333333333,648.458,614.481333333333,633.748,697.334666666667,645.338666666667,618.437333333333,534.384666666667,726.592666666667,673.8,689.329333333333,608.308666666667,670.902,595.454666666667,555.751333333333,593.671333333333,666.414,563.379333333333,701.922666666667,514.312666666667,619.634,565.748666666667,547.013333333333,743.437333333333,570.328,549.85,555.590666666667,617.792,563.714666666667,718.162666666667,654.144,528.296,557.256,597.902,746.108,758.528,535.829333333333,716.966666666667,697.406666666667,692.794666666667,584.790666666667,589.186666666667,593.635333333333,536.442666666667,681.822666666667,628.686,628.170666666667,720.138666666667,612.745333333333,629.738,524.237333333333,560.729333333333,533.315333333333,532.843333333333,568.108,572.902,530.96,649.126666666667,715.534666666667,720.108666666667,683.424,711.834666666667,669.390666666667
"61",1650.76,1632.64,1894.96,1718.02,1626.96,1790.88,1796.32,1703.46,1814.34,1821.66,1678.12,1801.5,1680,1656.04,1611.76,1829.3,1803.06,1686.02,1834.64,1680.12,1704.84,1873.56,1875.32,1620.08,1673.54,1740.92,1669.12,1844.5,1869.32,1726.22,1876.36,1753.26,1849.14,1823.42,1776.9,1567.26,1679.14,1768.86,1650.38,1738.4,1803.14,1762.42,1587.62,1843.4,1866.52,1725.64,1658.52,1769.78,1877.92,1718.18,1803.46,1796.5,1842.36,1789.62,1759.2,1805.72,1817.96,1841.32,1705.62,1712.62,1675.76,1752.82,1728.36,1732.82,1579.52,1839.36,1623.32,1749.6,1605.16,1840.78,1715.32,1727.72,1589.88,1730.02,1666.62,1705.82,1690.2,1568.58,1744.6,1647.14,1657.4,1849.2,1607.54,1689.32,1718.56,1760.22,1621.52,1655.5,1774.16,1775.8,1701.96,1813.86,1695.32,1705.1,1821.36,1891.64,1652.62,1823.06,1775.22
"62",1659.27142857143,1641.15714285714,1903.47142857143,1726.5,1635.47142857143,1799.38571428571,1804.8,1711.97142857143,1822.85714285714,1830.17142857143,1686.6,1810,1688.5,1664.57142857143,1620.27142857143,1837.78571428571,1811.57142857143,1694.5,1843.15714285714,1688.6,1713.35714285714,1882.07142857143,1883.8,1628.58571428571,1682.07142857143,1749.4,1677.6,1852.98571428571,1877.84285714286,1734.7,1884.87142857143,1761.77142857143,1857.65714285714,1831.94285714286,1785.38571428571,1575.75714285714,1687.65714285714,1777.37142857143,1658.88571428571,1746.88571428571,1811.65714285714,1770.94285714286,1596.11428571429,1851.88571428571,1875.04285714286,1734.15714285714,1667,1778.27142857143,1886.44285714286,1726.67142857143,1811.97142857143,1804.98571428571,1850.87142857143,1798.11428571429,1767.68571428571,1814.18571428571,1826.47142857143,1849.8,1714.1,1721.11428571429,1684.27142857143,1761.34285714286,1736.87142857143,1741.3,1588,1847.87142857143,1631.84285714286,1758.08571428571,1613.67142857143,1849.27142857143,1723.78571428571,1736.2,1598.38571428571,1738.5,1675.1,1714.34285714286,1698.68571428571,1577.08571428571,1753.08571428571,1655.65714285714,1665.88571428571,1857.68571428571,1616.07142857143,1697.8,1727.07142857143,1768.7,1630.01428571429,1664,1782.67142857143,1784.28571428571,1710.47142857143,1822.37142857143,1703.78571428571,1713.58571428571,1829.87142857143,1900.15714285714,1661.1,1831.57142857143,1783.7
