County,Region,Msa
AdairCounty,,NA
AdamsCounty,,NA
AllamakeeCounty,,NA
AppanooseCounty,,NA
AudubonCounty,,NA
BentonCounty,,NA
BlackHawkCounty,,Waterloo
BooneCounty,,Ames
BremerCounty,,NA
BuchananCounty,,NA
BuenaVistaCounty,,NA
ButlerCounty,,NA
CalhounCounty,,NA
CarrollCounty,,NA
CassCounty,,NA
CedarCounty,,NA
CerroGordoCounty,,NA
CherokeeCounty,,NA
ChickasawCounty,,NA
ClarkeCounty,,NA
ClayCounty,,NA
ClaytonCounty,,NA
ClintonCounty,,NA
CrawfordCounty,,NA
DallasCounty,,DesMoines
DavisCounty,,NA
DecaturCounty,,NA
DelawareCounty,,NA
DesMoinesCounty,,NA
DickinsonCounty,,NA
DubuqueCounty,,Dubuque
EmmetCounty,,NA
FayetteCounty,,NA
FloydCounty,,NA
FranklinCounty,,NA
FremontCounty,,NA
GreeneCounty,,NA
GrundyCounty,,NA
GuthrieCounty,,NA
HamiltonCounty,,NA
HancockCounty,,NA
HardinCounty,,NA
HarrisonCounty,,NA
HenryCounty,,NA
HowardCounty,,NA
HumboldtCounty,,NA
IdaCounty,,NA
IowaCounty,,NA
JacksonCounty,,NA
JasperCounty,,NA
JeffersonCounty,,NA
JohnsonCounty,,IowaCity
JonesCounty,,NA
KeokukCounty,,NA
KossuthCounty,,NA
LeeCounty,,NA
LinnCounty,,CedarRapids
LouisaCounty,,NA
LucasCounty,,NA
LyonCounty,,NA
MadisonCounty,,NA
MahaskaCounty,,NA
MarionCounty,,NA
MarshallCounty,,NA
MillsCounty,,NA
MitchellCounty,,NA
MononaCounty,,NA
MonroeCounty,,NA
MontgomeryCounty,,NA
MuscatineCounty,,NA
OBrienCounty,,NA
OsceolaCounty,,NA
PageCounty,,NA
PaloAltoCounty,,NA
PlymouthCounty,,SiouxCity
PocahontasCounty,,NA
PolkCounty,,DesMoines
PottawattamieCounty,,Omaha
PoweshiekCounty,,NA
RinggoldCounty,,NA
SacCounty,,NA
ScottCounty,,Davenport
ShelbyCounty,,NA
SiouxCounty,,NA
StoryCounty,,Ames
TamaCounty,,NA
TaylorCounty,,NA
UnionCounty,,NA
VanBurenCounty,,NA
WapelloCounty,,NA
WarrenCounty,,DesMoines
WashingtonCounty,,NA
WayneCounty,,NA
WebsterCounty,,NA
WinnebagoCounty,,NA
WinneshiekCounty,,NA
WoodburyCounty,,SiouxCity
WorthCounty,,NA
WrightCounty,,NA
