"County","AlamanceCounty","AlexanderCounty","AlleghanyCounty","AnsonCounty","AsheCounty","AveryCounty","BeaufortCounty","BertieCounty","BladenCounty","BrunswickCounty","BuncombeCounty","BurkeCounty","CabarrusCounty","CaldwellCounty","CamdenCounty","CarteretCounty","CaswellCounty","CatawbaCounty","ChathamCounty","CherokeeCounty","ChowanCounty","ClayCounty","ClevelandCounty","ColumbusCounty","CravenCounty","CumberlandCounty","CurrituckCounty","DareCounty","DavidsonCounty","DavieCounty","DuplinCounty","DurhamCounty","EdgecombeCounty","ForsythCounty","FranklinCounty","GastonCounty","GatesCounty","GrahamCounty","GranvilleCounty","GreeneCounty","GuilfordCounty","HalifaxCounty","HarnettCounty","HaywoodCounty","HendersonCounty","HertfordCounty","HokeCounty","HydeCounty","IredellCounty","JacksonCounty","JohnstonCounty","JonesCounty","LeeCounty","LenoirCounty","LincolnCounty","McDowellCounty","MaconCounty","MadisonCounty","MartinCounty","MecklenburgCounty","MitchellCounty","MontgomeryCounty","MooreCounty","NashCounty","NewHanoverCounty","NorthamptonCounty","OnslowCounty","OrangeCounty","PamlicoCounty","PasquotankCounty","PenderCounty","PerquimansCounty","PersonCounty","PittCounty","PolkCounty","RandolphCounty","RichmondCounty","RobesonCounty","RockinghamCounty","RowanCounty","RutherfordCounty","SampsonCounty","ScotlandCounty","StanlyCounty","StokesCounty","SurryCounty","SwainCounty","TransylvaniaCounty","TyrrellCounty","UnionCounty","VanceCounty","WakeCounty","WarrenCounty","WashingtonCounty","WataugaCounty","WayneCounty","WilkesCounty","WilsonCounty","YadkinCounty","YanceyCounty"
"AlamanceCounty",10.7,112.7,122.1,115.5,136.5,162.6,167.2,167.1,132.2,215.2,192.7,137.2,92.3,136.5,215.6,200.4,35.8,115.3,35.7,299.4,182.6,292.4,158.2,159.7,166.5,88.9,226.9,243.1,52.6,71.6,135.1,32.4,109.6,51.3,72.3,129.6,178.1,292.3,60.5,125.6,26.9,115.6,81.6,218.2,211.2,161.5,94,224.1,95.9,243.6,82.2,157,48.7,132.1,121.3,161.6,261.1,216.9,140.4,113.4,188.7,73.7,71.6,92.6,185.4,130.7,181.2,22.7,187.4,207.1,164,192.2,37.5,135.2,192.6,44.9,101.4,127,40,76.4,171.3,122.3,99,81.4,76.3,89.7,255.8,224.6,206.4,130.8,70.6,53.3,89.8,174.1,137.3,109.3,105.3,99.4,77.9,193
"AlexanderCounty",112.7,8.3,57.7,110.7,51.5,71.3,277.9,277.8,212.6,257.8,96.6,41.1,64.3,21.9,326.2,311,136.1,19.2,131.9,203.2,293.3,196.3,59,218.7,277.1,185.8,337.6,353.8,64,44.7,245.7,143.1,220.3,65.6,183,50.2,288.8,196.2,171.2,236.3,86.4,226.3,176.5,122.1,114.4,272.2,156.4,334.8,25.2,147.5,192.9,267.7,148.1,242.7,36.2,65.5,165,120.8,251.1,62.3,92.6,99.2,137,203.3,263,241.4,291.9,133.4,298.1,317.8,274.6,302.9,156.7,245.9,96.8,92.5,136.5,181,103,50.7,75.2,232.9,157.2,82.3,86.1,67.9,159.6,128.5,317.1,84.7,181.3,164,200.5,284.8,52.3,220,26.9,210.1,50.3,96.8
"AlleghanyCounty",122.1,57.7,7.9,152.4,29.2,80,287.3,287.2,238.6,299.4,135.4,108.1,105.9,68.2,335.7,320.5,145.5,86.3,141.4,242,302.7,235.1,126.1,260.3,286.6,195.2,347.1,363.2,93.3,68.7,255.2,152.5,229.8,75.1,192.5,120.1,298.3,234.9,180.7,245.7,95.9,235.8,186,160.9,153.8,281.6,191.8,344.2,66.8,186.2,202.4,277.2,157.5,252.2,99.4,104.2,203.8,135.7,260.5,104,100.9,136.1,172.4,212.8,305.5,250.9,301.4,142.8,307.6,327.3,284.1,312.4,166.1,255.4,163.9,118.7,183,222.6,101.2,92.3,142.3,242.4,196.9,124,80.3,54.6,198.4,167.3,326.5,126.3,190.7,173.4,209.9,294.2,54.7,229.4,31.6,219.6,42.7,105.2
"AnsonCounty",115.5,110.7,152.4,11.9,160,167.3,226.5,241.2,101.9,147.1,183,127.4,54.7,126.8,289.7,226.7,146.8,109.8,109.8,277.7,256.7,270.8,103.7,108,215.7,83.4,301,317.2,70.2,83.5,144.9,129.2,183.8,97,158.9,76.8,262.8,270.6,153.6,176.8,101.9,197.5,107.7,196.6,159.9,244.2,61.9,283.4,86.9,221.9,136.3,206.3,79.7,169.2,80.6,151.9,239.5,200.8,214.5,50.4,178.9,48.1,56.4,166.7,152.3,215.4,191,120.1,236.6,281.3,167.2,266.3,152.1,194.5,139.9,80.4,25.8,70.3,133.6,63,127,118.3,46.5,31.8,121.4,121.9,234.1,182.7,280.5,28.8,163.7,117.9,182.3,248.2,157.3,146.5,128.9,162.8,101.7,183.2
"AsheCounty",136.5,51.5,29.2,160,10.6,55.8,301.7,301.5,252.9,307.1,111.2,75.2,113.5,57.2,350,334.8,159.9,71.9,155.7,217.8,317.1,210.9,111.7,268,300.9,209.6,361.4,377.5,107.6,83,269.5,166.9,244.1,89.4,206.8,102.9,312.6,210.8,195,260,110.2,250.1,200.3,136.7,129.7,296,206.1,358.6,74.5,162.1,216.7,291.5,171.9,266.5,88.8,80.1,179.6,111.6,274.9,111.6,76.8,150.4,186.7,227.1,319.9,265.2,315.7,157.1,321.9,341.6,298.4,326.7,180.4,269.7,127.6,133,197.4,230.3,126.8,100,107,256.7,211.2,131.6,109.9,81.5,174.2,143.1,340.9,134,205.1,187.8,224.3,308.6,30.6,243.8,37.9,233.9,66.1,81
"AveryCounty",162.6,71.3,80,167.3,55.8,8.1,327.7,327.6,269.2,314.3,65.2,40.3,116.9,51.3,376.1,360.9,185.9,63.8,181.8,171.8,343.1,164.9,75.1,275.2,327,235.6,387.5,403.6,128.4,109.1,295.6,192.9,270.2,115.5,232.9,91.1,338.7,164.7,221.1,286.1,136.3,276.2,226.4,90.7,82.9,322.1,220.8,384.6,89.5,116,242.8,317.6,197.9,292.6,77,34,133.6,65.5,301,113.4,30.8,163.5,201.4,253.2,319.5,291.3,341.8,183.2,348,367.7,324.5,352.8,206.5,295.8,81.6,159.1,193,237.6,152.9,115.1,61,282.8,213.8,148.4,136,109.8,128.2,97.1,366.9,140.3,231.1,213.8,250.4,334.6,25.5,269.9,64,260,92.2,35
"BeaufortCounty",167.2,277.9,287.3,226.5,301.7,327.7,15.9,53.1,149.5,166,357.9,302.4,239.1,301.7,92.7,82.4,176.1,280.5,155.3,464.5,61.6,457.6,299.1,176,48.5,140.9,104.1,110.3,208.3,236.7,97.3,136.2,57.5,216.5,103.1,272.3,91.3,457.5,138.6,55.3,192,98,135.5,383.4,355.3,72.2,164.8,60.5,261.1,408.8,96,68.2,156.8,64.2,277,326.8,426.3,382,35,256.1,353.9,204.6,179.7,76.4,132.2,101.3,83,149.3,54.4,84.3,124.1,69.4,163.6,35.1,335.3,190.6,203.4,175.6,218.7,232.1,322.4,118.2,182.7,225.8,241.5,254.9,420.9,389.8,73.7,255.2,129.2,116.7,116.9,41.4,302.5,79.8,270.5,68.9,243.1,358.1
"BertieCounty",167.1,277.8,287.2,241.2,301.5,327.6,53.1,14,171.9,200.3,357.8,302.2,247.4,301.6,64.9,114.1,176,280.4,163.6,464.4,31.9,457.5,307.4,198.3,80.2,150.9,76.3,103.1,216.6,236.6,122.2,136.3,59.1,216.4,104.7,280.5,39.7,457.3,140.2,79.2,191.9,71.9,145.5,383.3,363.6,20.6,174.8,89.1,261,408.6,106,99.9,165.1,89.1,285.2,326.7,426.2,381.9,25.3,264.4,353.8,212.9,188,78,170.4,57.9,114.7,157.6,86.1,56.5,149,41.6,163.5,58.6,343.6,198.8,215.8,185.6,218.5,240.4,330.7,140.6,192.7,234.1,241.4,254.8,420.8,389.7,66.4,269.9,130.7,125,93.1,32.5,302.4,102.2,270.4,76.5,243,358
"BladenCounty",132.2,212.6,238.6,101.9,252.9,269.2,149.5,171.9,15.3,59.8,284.9,229.3,156.6,228.6,220.4,129,167.3,211.6,111.2,379.6,187.4,371.9,207.4,30.7,123.9,43,231.8,247.9,145.5,170.9,59.5,127.1,144,167.7,135.8,178.7,194.3,372.5,145.6,95.7,143.3,157.7,66.8,298.5,261.7,174.9,53,206.4,188.8,323.8,87.1,96,78.7,89.3,182.5,253.7,341.4,302.7,145.3,152.3,280.8,108.6,78.3,127.7,54.5,175.6,93.4,136.5,144.9,212,58.2,197.1,154.9,116.4,241.8,127.8,83.3,35.4,169.9,163.2,228.8,38.3,64.8,132,192.8,206.1,336,284.5,211.2,130.7,148.2,107.8,162.8,178.9,253.7,72.4,221.8,98.2,194.4,285.1
"BrunswickCounty",215.2,257.8,299.4,147.1,307.1,314.3,166,200.3,59.8,16.7,330,274.5,201.7,273.8,248.7,123.9,224.6,256.8,166.1,424.7,215.8,405.6,250.7,41.4,121.8,97.9,260.1,276.3,208.1,233.4,85.9,184.4,183.6,222.6,184.2,223.9,223.1,417.6,202.9,133.3,198.1,197.4,121.7,343.6,306.9,203.7,100.9,222.9,233.9,369,136.4,118.5,133.5,113.3,227.6,298.9,386.5,347.9,173.6,197.4,326,171.1,139,167.4,36,215.3,91.5,193.8,142.8,240.3,50.8,225.4,212.2,142.3,286.9,190.4,128.4,84.5,224.8,208.4,274,93.3,109.9,177.2,247.6,261,381.1,329.7,239.6,175.8,205.5,165.1,220.1,207.3,304.3,122.9,275.9,148.6,249.2,330.2
