County,Region,Msa
AlamanceCounty,,Charlotte
AlexanderCounty,,Charlotte
AlleghanyCounty,,NA
AnsonCounty,,NA
AsheCounty,,NA
AveryCounty,,NA
BeaufortCounty,,NA
BertieCounty,,NA
BladenCounty,,NA
BrunswickCounty,,Wilmington
BuncombeCounty,,Asheville
BurkeCounty,,Charlotte
CabarrusCounty,,Charlotte
CaldwellCounty,,Charlotte
CamdenCounty,,NA
CarteretCounty,,NA
CaswellCounty,,NA
CatawbaCounty,,Charlotte
ChathamCounty,,Charlotte
CherokeeCounty,,NA
ChowanCounty,,NA
ClayCounty,,NA
ClevelandCounty,,Charlotte
ColumbusCounty,,NA
CravenCounty,,NA
CumberlandCounty,,Charlotte
CurrituckCounty,,NA
DareCounty,,NA
DavidsonCounty,,Charlotte
DavieCounty,,Charlotte
DuplinCounty,,NA
DurhamCounty,,Charlotte
EdgecombeCounty,,RockyMount
ForsythCounty,,Charlotte
FranklinCounty,,Charlotte
GastonCounty,,Charlotte
GatesCounty,,NA
GrahamCounty,,NA
GranvilleCounty,,Charlotte
GreeneCounty,,NA
GuilfordCounty,,Charlotte
HalifaxCounty,,NA
HarnettCounty,,Charlotte
HaywoodCounty,,Asheville
HendersonCounty,,Asheville
HertfordCounty,,NA
HokeCounty,,Charlotte
HydeCounty,,NA
IredellCounty,,Charlotte
JacksonCounty,,NA
JohnstonCounty,,Charlotte
JonesCounty,,NA
LeeCounty,,NA
LenoirCounty,,NA
LincolnCounty,,Charlotte
McDowellCounty,,Asheville
MaconCounty,,NA
MadisonCounty,,Asheville
MartinCounty,,NA
MecklenburgCounty,,Charlotte
MitchellCounty,,NA
MontgomeryCounty,,NA
MooreCounty,,NA
NashCounty,,RockyMount
NewHanoverCounty,,Wilmington
NorthamptonCounty,,NA
OnslowCounty,,Jacksonville
OrangeCounty,,Charlotte
PamlicoCounty,,NA
PasquotankCounty,,NA
PenderCounty,,Wilmington
PerquimansCounty,,NA
PersonCounty,,NA
PittCounty,,Greenville
PolkCounty,,NA
RandolphCounty,,Charlotte
RichmondCounty,,NA
RobesonCounty,,Charlotte
RockinghamCounty,,NA
RowanCounty,,Charlotte
RutherfordCounty,,NA
SampsonCounty,,NA
ScotlandCounty,,NA
StanlyCounty,,NA
StokesCounty,,Charlotte
SurryCounty,,NA
SwainCounty,,NA
TransylvaniaCounty,,Asheville
TyrrellCounty,,NA
UnionCounty,,Charlotte
VanceCounty,,NA
WakeCounty,,Charlotte
WarrenCounty,,NA
WashingtonCounty,,NA
WataugaCounty,,NA
WayneCounty,,Goldsboro
WilkesCounty,,NA
WilsonCounty,,RockyMount
YadkinCounty,,NA
YanceyCounty,,NA
