"SCTG","PctEmpty","N"
1,0.435040758322782,18
2,0.406094989527075,24
3,0.200417961912734,27
4,0.387615706820722,18
5,0.145594381576671,12
6,0.16543147745143,13
7,0.234131959749899,41
8,0.19132470342476,15
9,0.220797674677544,3
10,0.345868222703136,5
11,0.490581585589766,11
12,0.432071850919442,56
13,0.382289317879428,8
14,0.330631811974,1
15,0.394477968299597,0
16,0.411406611770122,1
17,0.405256894636644,4
18,0.30780628855648,9
19,0.307658966212607,9
20,0.319153846071907,5
21,0.163003296356002,1
22,0.276699134569554,16
23,0.329297413853261,6
24,0.259173648542417,8
25,0.472267449756164,32
26,0.352661813709166,33
27,0.207833893632727,3
28,0.216947168869503,7
29,0.142965266998763,3
30,0.197058206777872,29
31,0.315519643918157,40
32,0.217604044021483,8
33,0.104779532505233,51
34,0.275206569864265,42
35,0.159588441529491,4
36,0.223505971248633,24
37,0.179037995207116,4
38,0.253528170079209,5
39,0.166773299506282,28
40,0.164981422331067,244
41,0.22896617356144,52
43,0.0507236049476303,40
99,0.377666020609811,6
