Msa,Fwy,Art
BristolBristol,0,0
Charlottesville,0,0
Harrisonburg,0,0
Kingsport,0,0
Richmond,0,0
Roanoke,0,0
VirginiaBeach,0,0
Washington,0,0
Winchester,0,0
