County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
AndersonCounty,9549,3107,7903,23751,6810,7338
AndrewsCounty,3604,1122,2033,4865,1499,1663
AngelinaCounty,19483,6231,10917,28308,9989,11843
AransasCounty,3636,1383,2030,6672,3835,5602
ArcherCounty,1764,673,819,3167,1184,1447
ArmstrongCounty,325,137,152,594,299,394
AtascosaCounty,10714,3441,5107,14472,5466,5711
AustinCounty,5811,2004,2894,9408,3876,4424
BaileyCounty,1883,534,936,2094,709,1009
BanderaCounty,3191,1212,1501,6775,3692,4114
BastropCounty,16179,5156,7907,26619,9809,8501
BaylorCounty,647,207,342,1116,479,935
BeeCounty,5803,2180,5277,11871,3294,3436
BellCounty,75084,22116,59817,99323,26892,27003
BexarCounty,388511,132660,266493,578099,173127,175883
BlancoCounty,1881,613,853,3366,1873,1911
BordenCounty,109,44,49,214,92,133
BosqueCounty,3354,1204,1643,5525,2642,3844
BowieCounty,18468,6378,11702,31774,11140,13103
BrazoriaCounty,72791,22208,38602,116540,33102,29923
BrazosCounty,33740,23513,60288,49604,13647,14059
BrewsterCounty,1597,481,1363,2828,1432,1531
BriscoeCounty,296,100,135,505,243,358
BrooksCounty,1671,562,889,1960,915,1226
BrownCounty,7489,2741,4482,11814,4976,6604
BurlesonCounty,3337,1120,1750,5528,2445,3007
BurnetCounty,8183,2709,4352,13383,6178,7945
CaldwellCounty,8087,3420,5317,12440,4292,4510
CalhounCounty,4632,1649,2451,6786,2629,3234
CallahanCounty,2642,856,1346,4318,1917,2465
CameronCounty,111813,35621,52610,123708,37577,44891
CampCounty,2787,884,1383,3724,1630,1993
CarsonCounty,1299,404,546,2012,860,1061
CassCounty,5746,1998,3017,9640,4248,5815
CastroCounty,2112,618,938,2413,904,1077
ChambersCounty,8188,2826,3750,12852,4186,3294
CherokeeCounty,10987,3848,6035,16090,6277,7608
ChildressCounty,1246,441,1385,2194,710,1065
ClayCounty,1964,732,900,3606,1631,1919
CochranCounty,741,276,383,914,348,465
CokeCounty,564,193,271,951,479,862
ColemanCounty,1648,526,750,2701,1336,1934
CollinCounty,189232,53314,89502,314081,76164,60048
CollingsworthCounty,707,208,328,907,361,546
ColoradoCounty,4062,1418,2059,6327,2968,4040
ComalCounty,20986,7142,10453,36912,16124,16855
ComancheCounty,2756,948,1323,4179,1845,2923
ConchoCounty,490,161,558,1815,503,560
CookeCounty,7991,2949,4409,11926,5062,6100
CoryellCounty,18084,4821,15080,25976,5743,5684
CottleCounty,290,93,117,422,225,358
CraneCounty,1047,383,516,1470,466,493
CrockettCounty,821,258,380,1228,487,545
CrosbyCounty,1420,480,589,1812,700,1058
CulbersonCounty,544,185,270,739,306,354
DallamCounty,1692,494,959,2230,699,629
DallasCounty,549752,169193,369412,848080,223730,207972
DawsonCounty,2870,896,2396,4383,1355,1933
DeafSmithCounty,5268,1583,2536,5891,1870,2224
DeltaCounty,941,364,529,1629,731,1037
DentonCounty,153741,47837,100285,254280,60428,46043
DeWittCounty,3708,1247,2001,6747,2717,3677
DickensCounty,412,136,280,832,303,481
DimmitCounty,2457,811,1108,2948,1253,1419
DonleyCounty,588,405,423,1005,478,778
DuvalCounty,2517,926,1472,3669,1307,1891
EastlandCounty,3418,1552,2051,5389,2484,3689
EctorCounty,33687,10579,21569,43655,13686,13954
EdwardsCounty,345,123,182,571,344,437
EllisCounty,35619,12035,17932,52466,16613,14945
ElPasoCounty,198603,69454,118709,256833,74825,82223
ErathCounty,6974,3641,7850,10742,3904,4779
FallsCounty,3184,1151,2396,6084,2176,2875
FanninCounty,6166,2195,4034,11447,4308,5765
FayetteCounty,4413,1493,2188,7490,3701,5269
FisherCounty,677,317,349,1196,551,884
FloydCounty,1523,488,657,1893,740,1145
FoardCounty,211,102,122,408,174,319
FortBendCounty,143454,45528,65461,223828,64346,42758
FranklinCounty,2165,689,1093,3202,1475,1981
FreestoneCounty,3819,1221,2068,6802,2621,3285
FrioCounty,3484,1357,3106,5639,1695,1936
GainesCounty,5162,1518,2492,5338,1439,1577
GalvestonCounty,61359,20852,36317,104230,35747,32804
GarzaCounty,1029,489,1369,2194,678,702
GillespieCounty,4095,1398,1966,6911,3881,6586
GlasscockCounty,274,103,108,426,155,160
GoliadCounty,1299,528,574,2267,1170,1372
GonzalesCounty,4516,1384,2354,6234,2327,2992
GrayCounty,4627,1444,2701,7554,2597,3612
GraysonCounty,24170,8639,14612,39420,15261,18775
GreggCounty,26006,8870,17654,39202,13522,16476
GrimesCounty,4975,1720,3281,9374,3582,3672
GuadalupeCounty,29831,10310,15000,46564,14531,15297
HaleCounty,8809,2833,5406,11354,3436,4435
HallCounty,719,243,279,928,425,759
HamiltonCounty,1489,509,784,2487,1143,2105
HansfordCounty,1413,440,596,1783,615,766
HardemanCounty,850,264,384,1254,579,808
HardinCounty,11720,3787,6382,18666,6698,7382
HarrisCounty,963213,300676,638036,1457881,399166,333487
HarrisonCounty,14104,4726,8269,21544,8272,8716
HartleyCounty,1145,308,604,2640,608,757
HaskellCounty,1001,361,602,1866,783,1286
HaysCounty,32463,14029,31251,50146,15933,13285
HemphillCounty,930,262,410,1253,460,492
HendersonCounty,14780,5168,8181,24433,10938,15032
HidalgoCounty,225613,69480,111072,235940,60416,72248
HillCounty,7131,2354,3889,10614,4683,6418
HockleyCounty,5153,2120,3218,6970,2547,2927
HoodCounty,8916,3029,5033,15531,7781,10892
HopkinsCounty,7395,2515,4057,11394,4352,5448
HoustonCounty,3948,1536,2436,8104,3146,4562
HowardCounty,6499,2542,4920,12493,3943,4615
HudspethCounty,832,319,360,1071,422,472
HuntCounty,17781,6267,11185,28546,10349,12001
HutchinsonCounty,4833,1543,2543,7128,2837,3266
IrionCounty,280,134,129,551,214,291
JackCounty,1628,599,1234,3165,1068,1350
JacksonCounty,3002,959,1592,4397,1812,2313
JasperCounty,7334,2406,3928,11384,4726,5932
JeffDavisCounty,318,187,144,648,502,543
JeffersonCounty,49749,18380,37919,85618,28605,32002
JimHoggCounty,1297,356,651,1562,645,789
JimWellsCounty,9767,3238,5131,12693,4677,5332
JohnsonCounty,34117,11099,18309,52731,17347,17331
JonesCounty,3046,1139,3095,7838,2320,2764
KarnesCounty,2457,878,2440,5328,1653,2068
KaufmanCounty,24746,7649,11775,37134,11424,10622
KendallCounty,6550,2351,2782,11030,5113,5584
KenedyCounty,79,30,62,126,60,59
KentCounty,154,47,56,232,111,208
KerrCounty,8172,3199,4899,13898,7143,12314
KimbleCounty,767,256,363,1356,814,1051
KingCounty,55,24,19,115,35,38
KinneyCounty,575,230,385,1047,487,874
KlebergCounty,6760,3053,6663,8779,3125,3681
KnoxCounty,793,238,365,1108,425,790
LamarCounty,9938,3643,5806,15994,6136,8276
LambCounty,3375,1079,1554,4245,1497,2227
LampasasCounty,3939,1431,1976,6650,2580,3101
LaSalleCounty,1204,499,1743,1891,692,857
LavacaCounty,3685,1166,1740,5766,2817,4089
LeeCounty,3411,1413,1705,5410,2051,2622
LeonCounty,3066,1060,1544,5095,2421,3615
LibertyCounty,15862,5633,9985,26691,8974,8498
LimestoneCounty,4522,1619,3004,7470,2998,3771
LipscombCounty,756,227,421,1021,393,484
LiveOakCounty,1874,725,1242,3882,1591,2217
LlanoCounty,2569,797,1324,4962,3647,6002
LovingCounty,7,3,12,25,23,12
LubbockCounty,57396,23507,56978,82990,27338,30622
LynnCounty,1361,425,593,1898,705,933
McCullochCounty,1684,513,783,2447,1211,1645
McLennanCounty,49400,20604,39409,71213,25021,29259
McMullenCounty,102,35,66,220,97,187
MadisonCounty,2471,908,2494,4421,1469,1901
MarionCounty,1638,599,916,3324,1799,2270
MartinCounty,1189,400,564,1543,512,591
MasonCounty,700,230,263,1165,675,979
MatagordaCounty,7919,2747,4347,11742,4698,5249
MaverickCounty,15026,5143,6983,16227,5152,5727
MedinaCounty,9750,3450,5537,15262,5797,6210
MenardCounty,364,117,197,611,351,602
MidlandCounty,31328,10358,20269,44977,14826,15114
MilamCounty,5301,1869,2410,7611,3261,4305
MillsCounty,955,345,371,1397,710,1158
MitchellCounty,1485,586,1820,3244,1035,1233
MontagueCounty,3776,1183,1993,6150,2737,3880
MontgomeryCounty,104696,32561,53900,164488,52697,47404
MooreCounty,5862,1796,3093,7014,2032,2107
MorrisCounty,2470,880,1368,3973,1737,2506
MotleyCounty,218,68,92,323,181,328
NacogdochesCounty,12687,6633,13084,17770,6728,7622
NavarroCounty,10710,3597,5601,15253,5711,6863
NewtonCounty,2710,1084,1620,4740,1949,2342
NolanCounty,3307,1100,1690,4620,1980,2519
NuecesCounty,73381,24892,49637,111668,39732,40913
OchiltreeCounty,2761,748,1354,3335,969,1056
OldhamCounty,508,250,156,631,252,255
OrangeCounty,16714,6017,9796,27762,10075,11473
PaloPintoCounty,5823,1904,3090,9014,3698,4582
PanolaCounty,4854,1695,2813,7548,3181,3705
ParkerCounty,24399,8776,12751,41892,14826,14283
ParmerCounty,2641,883,1347,3199,975,1224
PecosCounty,3171,1027,2133,5635,1720,1821
PolkCounty,7937,2753,4989,14896,6192,8646
PotterCounty,28587,8413,18380,40404,12147,13142
PresidioCounty,1835,649,736,2262,947,1389
