"County","Density"
"AllenCounty",15.4
"AndersonCounty",8.3
"AtchisonCounty",13.6
"BarberCounty",4.3
"BartonCounty",9.9
"BourbonCounty",11.5
"BrownCounty",12
"ButlerCounty",18.9
"ChaseCounty",3.6
"ChautauquaCounty",5.7
"CherokeeCounty",18.3
"CheyenneCounty",2.7
"ClarkCounty",2.3
"ClayCounty",6.6
"CloudCounty",5.9
"CoffeyCounty",9.8
"ComancheCounty",2.4
"CowleyCounty",10.1
"CrawfordCounty",23.7
"DecaturCounty",3.3
"DickinsonCounty",15.1
"DoniphanCounty",14.3
"DouglasCounty",29
"EdwardsCounty",4.9
"ElkCounty",4.5
"EllisCounty",8.2
"EllsworthCounty",4.9
"FinneyCounty",5.3
"FordCounty",6
"FranklinCounty",23.9
"GearyCounty",11
"GoveCounty",2.5
"GrahamCounty",2.9
"GrantCounty",2.7
"GrayCounty",6.9
"GreeleyCounty",1.6
"GreenwoodCounty",3.6
"HamiltonCounty",2.7
"HarperCounty",7.5
"HarveyCounty",20.3
"HaskellCounty",7.4
"HodgemanCounty",2.2
"JacksonCounty",15.6
"JeffersonCounty",35.5
"JewellCounty",3.4
"JohnsonCounty",77.6
"KearnyCounty",4.6
"KingmanCounty",5.7
"KiowaCounty",3.5
"LabetteCounty",17.7
"LaneCounty",2.4
"LeavenworthCounty",50.7
"LincolnCounty",4.5
"LinnCounty",16.3
"LoganCounty",2.6
"LyonCounty",10.6
"McPhersonCounty",14.3
"MarionCounty",10.4
"MarshallCounty",8
"MeadeCounty",4.7
"MiamiCounty",29.5
"MitchellCounty",4.4
"MontgomeryCounty",24.4
"MorrisCounty",8.5
"MortonCounty",4.4
"NemahaCounty",10.7
"NeoshoCounty",13.2
"NessCounty",2.9
"NortonCounty",3.2
"OsageCounty",19.3
"OsborneCounty",4.3
"OttawaCounty",8.5
"PawneeCounty",2.9
"PhillipsCounty",3.4
"PottawatomieCounty",15.2
"PrattCounty",4.2
"RawlinsCounty",2.4
"RenoCounty",16.4
"RepublicCounty",6.9
"RiceCounty",8.9
"RileyCounty",16.8
"RooksCounty",5.8
"RushCounty",4.6
"RussellCounty",3.2
"SalineCounty",11.6
"ScottCounty",1.8
"SedgwickCounty",48.3
"SewardCounty",4.2
"ShawneeCounty",60.6
"SheridanCounty",2.9
"ShermanCounty",1.4
"SmithCounty",4.3
"StaffordCounty",5.6
"StantonCounty",3.3
"StevensCounty",2.5
"SumnerCounty",12.9
"ThomasCounty",2.3
"TregoCounty",3.4
"WabaunseeCounty",8.9
"WallaceCounty",1.6
"WashingtonCounty",6.5
"WichitaCounty",3.1
"WilsonCounty",12
"WoodsonCounty",6.6
"WyandotteCounty",132.4
