"SCTG","PctEmpty","N"
1,0.262092030698162,40
2,0.398378067545133,318
3,0.31770368163461,24
4,0.321111270180587,47
5,0.151260827699222,18
6,0.207755228768538,8
7,0.131066411581024,23
8,0.209453973305391,7
9,0.220797674677544,0
10,0.345868222703136,3
11,0.406653723247503,8
12,0.380227134015841,51
13,0.458166961889067,11
14,0.330631811974,0
15,0.394477968299597,0
16,0.411406611770122,2
17,0.405256894636644,1
18,0.360697902475741,13
19,0.307658966212607,8
20,0.319153846071907,4
21,0.163003296356002,0
22,0.38198782960295,30
23,0.329297413853261,5
24,0.259173648542417,4
25,0.430737531709114,2
26,0.440487099273544,12
27,0.207833893632727,0
28,0.216947168869503,6
29,0.142965266998763,4
30,0.150707615637309,8
31,0.457243484897676,43
32,0.217604044021483,8
33,0.129536957692304,37
34,0.278442186517618,53
35,0.159588441529491,3
36,0.27307354489387,18
37,0.179037995207116,2
38,0.253528170079209,1
39,0.145555585126518,10
40,0.179219413329881,164
41,0.247933575733829,54
43,0.101119380406369,46
99,0.484911165739731,15
