Value,Area,Fwy,Art,Other
BusVmt,RapidCity,,,
TruckVmt,RapidCity,,,
BusVmt,SiouxCity,,,
TruckVmt,SiouxCity,,,
BusVmt,SiouxFalls,,,
TruckVmt,SiouxFalls,,,
