County,Region,Msa
LawrenceCounty,,NA
LincolnCounty,,SiouxFalls
LymanCounty,,NA
McCookCounty,,NA
McPhersonCounty,,NA
MarshallCounty,,NA
MeadeCounty,,RapidCity
MelletteCounty,,NA
MinerCounty,,NA
MinnehahaCounty,,SiouxFalls
MoodyCounty,,NA
PenningtonCounty,,RapidCity
PerkinsCounty,,NA
PotterCounty,,NA
RobertsCounty,,NA
SanbornCounty,,NA
ShannonCounty,,NA
SpinkCounty,,NA
StanleyCounty,,NA
SullyCounty,,NA
ToddCounty,,NA
TrippCounty,,NA
TurnerCounty,,NA
UnionCounty,,SiouxCity
WalworthCounty,,NA
AuroraCounty,,NA
BeadleCounty,,NA
BennettCounty,,NA
ZiebachCounty,,NA
BrookingsCounty,,NA
BrownCounty,,NA
BruleCounty,,NA
BuffaloCounty,,NA
BonHommeCounty,,NA
ButteCounty,,NA
CampbellCounty,,NA
CharlesMixCounty,,NA
ClarkCounty,,NA
YanktonCounty,,NA
CodingtonCounty,,NA
CorsonCounty,,NA
CusterCounty,,NA
DavisonCounty,,NA
DayCounty,,NA
DeuelCounty,,NA
DeweyCounty,,NA
DouglasCounty,,NA
EdmundsCounty,,NA
FallRiverCounty,,NA
FaulkCounty,,NA
GrantCounty,,NA
GregoryCounty,,NA
HaakonCounty,,NA
HamlinCounty,,NA
HandCounty,,NA
HansonCounty,,NA
ClayCounty,,NA
HardingCounty,,NA
HughesCounty,,NA
HutchinsonCounty,,NA
HydeCounty,,NA
JacksonCounty,,NA
JerauldCounty,,NA
JonesCounty,,NA
KingsburyCounty,,NA
LakeCounty,,NA
