"County","Density"
"AuroraCounty",3.8
"BeadleCounty",3.8
"BennettCounty",2.9
"BonHommeCounty",12.5
"BrookingsCounty",12.1
"BrownCounty",6.2
"BruleCounty",6.4
"BuffaloCounty",4.1
"ButteCounty",2.2
"CampbellCounty",2
"CharlesMixCounty",8.3
"ClarkCounty",3.9
"ClayCounty",8.2
"CodingtonCounty",9.1
"CorsonCounty",1.6
"CusterCounty",5.3
"DavisonCounty",10.6
"DayCounty",5.6
"DeuelCounty",7
"DeweyCounty",1.5
"DouglasCounty",7
"EdmundsCounty",3.6
"FallRiverCounty",2
"FaulkCounty",2.4
"GrantCounty",6
"GregoryCounty",4.2
"HaakonCounty",1.1
"HamlinCounty",11.6
"HandCounty",2.4
"HansonCounty",7.7
"HardingCounty",0.5
"HughesCounty",5.9
"HutchinsonCounty",9
"HydeCounty",1.7
"JacksonCounty",1.6
"JerauldCounty",3.9
"JonesCounty",1
"KingsburyCounty",6.2
"LakeCounty",9
"LawrenceCounty",11.2
"LincolnCounty",23.3
"LymanCounty",2.3
"McCookCounty",9.8
"McPhersonCounty",2.2
"MarshallCounty",5.6
"MeadeCounty",2.8
"MelletteCounty",1.6
"MinerCounty",4.2
"MinnehahaCounty",30.8
"MoodyCounty",12.5
"PenningtonCounty",7.7
"PerkinsCounty",1
"PotterCounty",2.7
"RobertsCounty",9.2
"SanbornCounty",4.1
"ShannonCounty",5.2
"SpinkCounty",4.3
"StanleyCounty",0.9
"SullyCounty",1.4
"ToddCounty",6.9
"TrippCounty",1.7
"TurnerCounty",13.5
"UnionCounty",19.4
"WalworthCounty",2.8
"YanktonCounty",15.1
"ZiebachCounty",1.1
