"County","FIPS","StateFIPS","CountyFIPS"
"AuroraCounty",46003,46,3
"BeadleCounty",46005,46,5
"BennettCounty",46007,46,7
"BonHommeCounty",46009,46,9
"BrookingsCounty",46011,46,11
"BrownCounty",46013,46,13
"BruleCounty",46015,46,15
"BuffaloCounty",46017,46,17
"ButteCounty",46019,46,19
"CampbellCounty",46021,46,21
"CharlesMixCounty",46023,46,23
"ClarkCounty",46025,46,25
"ClayCounty",46027,46,27
"CodingtonCounty",46029,46,29
"CorsonCounty",46031,46,31
"CusterCounty",46033,46,33
"DavisonCounty",46035,46,35
"DayCounty",46037,46,37
"DeuelCounty",46039,46,39
"DeweyCounty",46041,46,41
"DouglasCounty",46043,46,43
"EdmundsCounty",46045,46,45
"FallRiverCounty",46047,46,47
"FaulkCounty",46049,46,49
"GrantCounty",46051,46,51
"GregoryCounty",46053,46,53
"HaakonCounty",46055,46,55
"HamlinCounty",46057,46,57
"HandCounty",46059,46,59
"HansonCounty",46061,46,61
"HardingCounty",46063,46,63
"HughesCounty",46065,46,65
"HutchinsonCounty",46067,46,67
"HydeCounty",46069,46,69
"JacksonCounty",46071,46,71
"JerauldCounty",46073,46,73
"JonesCounty",46075,46,75
"KingsburyCounty",46077,46,77
"LakeCounty",46079,46,79
"LawrenceCounty",46081,46,81
"LincolnCounty",46083,46,83
"LymanCounty",46085,46,85
"McCookCounty",46087,46,87
"McPhersonCounty",46089,46,89
"MarshallCounty",46091,46,91
"MeadeCounty",46093,46,93
"MelletteCounty",46095,46,95
"MinerCounty",46097,46,97
"MinnehahaCounty",46099,46,99
"MoodyCounty",46101,46,101
"PenningtonCounty",46103,46,103
"PerkinsCounty",46105,46,105
"PotterCounty",46107,46,107
"RobertsCounty",46109,46,109
"SanbornCounty",46111,46,111
"ShannonCounty",46113,46,113
"SpinkCounty",46115,46,115
"StanleyCounty",46117,46,117
"SullyCounty",46119,46,119
"ToddCounty",46121,46,121
"TrippCounty",46123,46,123
"TurnerCounty",46125,46,125
"UnionCounty",46127,46,127
"WalworthCounty",46129,46,129
"YanktonCounty",46135,46,135
"ZiebachCounty",46137,46,137
