"County","AuroraCounty","BeadleCounty","BennettCounty","BonHommeCounty","BrookingsCounty","BrownCounty","BruleCounty","BuffaloCounty","ButteCounty","CampbellCounty","CharlesMixCounty","ClarkCounty","ClayCounty","CodingtonCounty","CorsonCounty","CusterCounty","DavisonCounty","DayCounty","DeuelCounty","DeweyCounty","DouglasCounty","EdmundsCounty","FallRiverCounty","FaulkCounty","GrantCounty","GregoryCounty","HaakonCounty","HamlinCounty","HandCounty","HansonCounty","HardingCounty","HughesCounty","HutchinsonCounty","HydeCounty","JacksonCounty","JerauldCounty","JonesCounty","KingsburyCounty","LakeCounty","LawrenceCounty","LincolnCounty","LymanCounty","McCookCounty","McPhersonCounty","MarshallCounty","MeadeCounty","MelletteCounty","MinerCounty","MinnehahaCounty","MoodyCounty","PenningtonCounty","PerkinsCounty","PotterCounty","RobertsCounty","SanbornCounty","ShannonCounty","SpinkCounty","StanleyCounty","SullyCounty","ToddCounty","TrippCounty","TurnerCounty","UnionCounty","WalworthCounty","YanktonCounty","ZiebachCounty"
"AuroraCounty",13.7,65.8,220.9,81.3,144.5,142.4,28.9,63.2,314.6,216.7,61.7,127.1,136.6,160.3,273.2,291.8,24,173.9,175.2,245.8,30.6,154.2,314.3,122.1,210.9,99.1,175.7,138.9,78.6,38.9,369.3,140,65.5,104.1,168.1,37.2,114.1,106,103.2,294.1,118.2,67.3,59.5,185.1,198.9,304.5,139.4,73.6,93.7,124.7,251.5,320.8,161.8,213.6,49.2,255.3,99.8,136.1,145.9,165.4,101.2,102.9,152.7,199.6,104.9,246.7
"BeadleCounty",65.8,18.3,268.3,113.8,81.1,101,94.1,78.7,362,185.9,116.7,63.1,169.1,94,241.9,339.2,61.6,107.6,106,194.9,85.6,124.5,361.7,92.4,144.7,164.3,187.5,75.8,48,71.4,353.4,109.8,98,73,215.5,40.6,161.5,43,84.4,341.5,150.6,114.7,91.9,147.4,134.9,273.1,186.8,59.4,126.1,112.3,298.9,302,130.5,147.5,32.2,302.7,49.5,130.3,114.8,212.8,153.2,135.4,185.2,168.3,137.3,228.3
"BennettCounty",220.9,268.3,17.7,230.3,364.8,341.1,192.2,194.3,224.2,271,194,329.5,285.7,359.5,252.1,142.4,244.3,373.2,395.5,195.6,188.3,288.9,126.7,274.2,431.1,151.5,108.8,338.1,239.9,259.2,278.9,175.1,222.8,220.1,65.4,229,115.9,305.3,323.4,203.8,275.8,153.8,279.7,307,401.4,214.1,86,293.8,313.9,345,161.1,230.4,225.3,433.9,251.6,61.6,298.6,147.6,195,66.8,110.8,260.3,303.6,254,257.7,193.8
"BonHommeCounty",81.3,113.8,230.3,12.4,154.6,211.6,109.7,143.9,395.3,297.5,47.8,172.6,63.3,203.3,354,372.6,57.8,201.3,185.3,326.5,51.1,235,395.1,202.9,220.9,87.1,256.5,160,159.3,66.3,450,220.8,37.8,184.9,248.9,107.8,194.9,133.4,119.3,374.9,84.8,148.1,75.6,256.8,235.6,385.2,177.9,100.9,102.1,134.8,332.3,401.5,242.6,249.5,81.9,279,160.2,216.9,226.7,176,122.6,68.7,77,280.4,32.1,327.5
"BrookingsCounty",144.5,81.1,364.8,154.6,14.6,153.4,172.8,152.7,458.5,250.8,179.1,83.2,113.6,55.6,310.7,435.8,121,106.2,37.6,268.7,157.4,191.3,458.3,163.8,73.2,225.7,319.6,47.3,123.1,105.7,433.1,184.9,120.9,148.2,312.1,114.6,258,39.5,47.6,438.1,79.9,211.2,86.2,212.3,134.6,348.2,283.4,65.8,55.4,35.1,395.4,381.7,201.9,101.8,91,399.3,118.4,205.4,189.9,309.3,245.1,96.3,114.5,237.1,129.7,302
"BrownCounty",142.4,101,341.1,211.6,153.4,21.4,170.7,151.3,321.1,96,193.3,79.8,260.1,94.5,170.6,412.1,155.6,52.6,130.2,181.5,162.2,51.3,434.6,69.3,98,240.9,244,118.4,101.7,169.2,293.1,166.3,195.8,123.5,288.4,117.2,234.4,125.7,161.2,346.5,226.4,187.6,178.4,57.5,74.4,313.4,259.7,149.8,201.9,181.6,371.8,241.7,114.8,100.9,130,375.6,64.4,186.8,142.6,285.7,226.1,242.9,261,97,229.6,214.9
"BruleCounty",28.9,94.1,192.2,109.7,172.8,170.7,15,35.7,285.9,188,68.2,155.4,164.9,188.6,244.6,263.1,52.3,202.2,203.5,217.1,58.9,139.9,285.6,107.8,239.2,88.9,147,167.2,64.3,67.2,340.6,111.3,93.8,75.5,139.4,53.8,85.4,134.3,131.5,265.5,146.5,38.6,87.8,170.8,227.2,275.8,110.7,101.9,121.9,153,222.8,292.1,133.1,241.9,77.5,226.6,128.1,107.4,117.2,136.7,72.5,131.2,181,171,133.2,218
"BuffaloCounty",63.2,78.7,194.3,143.9,152.7,151.3,35.8,11.4,288,157.9,102.5,139.9,199.2,170,214.4,265.2,86.6,183.6,178.7,167.2,93.2,125.6,287.7,93.5,220.7,95.5,149.1,148.6,50,101.5,342.7,80.2,128.1,45.3,141.5,39.5,87.5,115.7,114.3,267.6,180.8,40.7,122,156.5,211.8,224.7,112.8,89.3,156.2,139,224.9,256.3,103,223.5,62,228.7,108.7,81.9,87.1,138.8,79.2,165.5,215.3,140.8,167.5,185
"ButteCounty",314.6,362,224.2,395.3,458.5,321.1,285.9,288,24.5,243.8,353.9,329,450.6,361,186.2,115.1,338,360.4,385,159.6,344.6,273.6,137.6,252.9,400.6,322.9,171.9,377.3,279.1,352.9,87.8,219.3,379.5,259.3,157.7,322.7,209.6,399,417.1,42.8,432.1,247.5,373.4,282.3,374.3,60.8,227.8,387.5,407.6,438.7,76,127.8,210,403.4,345.3,149.3,298.6,193.9,220.9,253.8,280.5,416.9,466.7,228.2,418.9,119.6
"CampbellCounty",216.8,185.9,271,297.5,250.8,96,188.1,157.9,243.8,14.3,256.1,175.3,357.5,191.7,91.9,342,240.2,150,227.6,116.8,246.8,66.8,364.5,101.5,195.4,233.9,178.7,215.6,136.9,255.1,214.4,101,281.7,113.8,218.3,192.7,164.3,221.2,258.4,269.2,323.8,168.9,275.6,39.7,131.7,236.1,189.6,239.4,299.3,279,301.7,163,64.4,163.4,212.2,305.5,146.8,121.5,77.3,215.6,202,319.1,358.4,26.5,321.1,137.6
