Area,Fuel,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
BaltimoreColumbiaTowson,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
BaltimoreColumbiaTowson,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
BaltimoreColumbiaTowson,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
BaltimoreColumbiaTowson,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
CaliforniaLexington,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
CaliforniaLexington,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
CaliforniaLexington,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
CaliforniaLexington,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumberland,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumberland,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumberland,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumberland,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Hagerstown,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Hagerstown,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Hagerstown,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Hagerstown,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
PhiladelphiaCamdenWilmington,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
PhiladelphiaCamdenWilmington,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
PhiladelphiaCamdenWilmington,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
PhiladelphiaCamdenWilmington,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
Salisbury,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
Salisbury,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
Salisbury,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
Salisbury,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
WashingtonArlingtonAlexandria,DieselPropBio,0,0,0,0,0,0,0,0,0,0,0,0,0
WashingtonArlingtonAlexandria,GasPropEth,0,0,0,0,0,0,0,0,0,0,0,0,0
WashingtonArlingtonAlexandria,PropCng,0,0,0,0,0,0,0,0,0,0,0,0,0
WashingtonArlingtonAlexandria,PropGas,0,0,0,0,0,0,0,0,0,0,0,0,0
