Year,PropGas,PropCng,GasPropEth,DieselPropBio
1990,0.001,0,0.01,0
1995,0.003,0,0.01,0
2000,0.003,0,0.01,0
2005,0.003,0,0.025,0
2010,0.0035,0,0.05,0
2015,0.004,0,0.1,0
2020,0.007,0,0.1,0
2025,0.011,0,0.1,0
2030,0.012,0,0.1,0
2035,0.013,0,0.1,0
2040,0.013,0,0.1,0
2045,0.013,0,0.1,0
2050,0.013,0.001,0.1,0
