Year,ULSD,Biodiesel,RFG,CARBOB,Ethanol,Cng,LtVehComposite
1990,92.19,20.56,91.33,91.33,62.33,76.04,NA
1995,92.19,20.56,91.33,91.33,62.33,76.04,NA
2000,92.19,20.56,91.33,91.33,62.33,76.04,NA
2005,92.19,20.56,91.33,91.33,62.33,76.04,NA
2010,92.19,20.56,91.33,91.33,62.33,76.04,NA
2015,92.19,20.56,91.33,91.33,62.33,76.04,NA
2020,92.19,20.56,91.33,91.33,62.33,76.04,NA
2025,92.19,20.56,91.33,91.33,62.33,76.04,NA
2030,92.19,20.56,91.33,91.33,62.33,76.04,NA
2035,92.19,20.56,91.33,91.33,62.33,76.04,NA
2040,92.19,20.56,91.33,91.33,62.33,76.04,NA
2045,92.19,20.56,91.33,91.33,62.33,76.04,NA
2050,92.19,20.56,91.33,91.33,62.33,76.04,NA
