Msa,Fwy,Art
BaltimoreColumbiaTowson,0,0.06
Cumberland,0,0
Hagerstown,0,0.09
PhiladelphiaCamdenWilmington,0,0.01
Salisbury,0.01,0.12
WashingtonArlingtonAlexandria,0.94,0.29
CaliforniaLexington,0,0.2
