Year,PropGas,PropCng,GasPropEth,DieselPropBio
1990,0.34,0,0.01,0
1995,0.33,0,0.01,0
2000,0.32,0,0.01,0
2005,0.31,0,0.025,0
2010,0.3,0.001,0.05,0
2015,0.29,0.001,0.1,0
2020,0.26,0.001,0.1,0
2025,0.24,0.002,0.1,0
2030,0.23,0.002,0.1,0
2035,0.22,0.003,0.1,0
2040,0.22,0.004,0.1,0
2045,0.22,0.004,0.1,0
2050,0.22,0.004,0.1,0
