Year,EcoDrvPropVmtMed,EcoDrvPropVmtHvy,EcoMpgImpMed,EcoMpgImpHvy,AvCvPropVmtMed,AvCvPropVmtHvy,AvCvImpMed,AvCvImpHvy
1990,0.00,0.00,0.05,0.05,0.00,0.00,0.06,0.06
1995,0.00,0.00,0.05,0.05,0.00,0.00,0.06,0.06
2000,0.00,0.00,0.05,0.05,0.00,0.00,0.06,0.06
2005,0.00,0.00,0.05,0.05,0.00,0.00,0.06,0.06
2010,0.00,0.00,0.05,0.05,0.00,0.00,0.06,0.06
2015,0.05,0.05,0.05,0.05,0.03,0.03,0.06,0.06
2020,0.10,0.10,0.05,0.05,0.06,0.06,0.06,0.06
2025,0.15,0.15,0.05,0.05,0.09,0.09,0.06,0.06
2030,0.15,0.15,0.05,0.05,0.12,0.12,0.06,0.06
2035,0.15,0.15,0.05,0.05,0.15,0.15,0.06,0.06
2040,0.15,0.15,0.05,0.05,0.18,0.18,0.06,0.06
2045,0.15,0.15,0.05,0.05,0.21,0.21,0.06,0.06
2050,0.15,0.15,0.05,0.05,0.24,0.24,0.06,0.06
