Year,Auto,LtTruck
1975,18,17.5
1976,18,17.5
1977,18,17.5
1978,18,17.5
1979,19,17.5
1980,20,17.5
1981,22,17.5
1982,24,17.5
1983,26,19
1984,27,20
1985,27.5,19.5
1986,26,20
1987,26,20.5
1988,26,20.5
1989,26.5,20.5
1990,27.5,20
1991,27.5,20.2
1992,27.5,20.2
1993,27.5,20.4
1994,27.5,20.5
1995,27.5,20.6
1996,27.5,20.7
1997,27.5,20.7
1998,27.5,20.7
1999,27.5,20.7
2000,27.5,20.7
2001,27.5,20.7
2002,27.5,20.7
2003,27.5,20.7
2004,27.5,20.7
2005,27.5,21
2006,27.5,21.6
2007,27.5,21.6
2008,27.5,21.6
2009,27.5,21.7
2010,27.5,21.7
2011,29.8,21.8
2012,29.9,22
2013,30,22
2014,30.5,22.4
2015,30.8,22.8
2016,31.3,23.1
2017,32.5,23.6
2018,33.2,24.3
2019,34.6,24.6
2020,36.3,25.6
2021,37.9,27
2022,39.8,27.9
2023,41.9,29.2
2024,42.9,30.6
2025,45.3,32
2026,45.3,32
2027,45.3,32.1
2028,45.3,32.1
2029,45.4,32.2
2030,45.4,32.3
2031,45.5,32.3
2032,45.5,32.3
2033,45.5,32.3
2034,45.6,32.3
2035,45.6,32.3
2036,45.6,32.3
2037,45.7,32.3
2038,45.8,32.3
2039,45.8,32.3
2040,45.8,32.3
2041,45.8,32.3
2042,45.8,32.3
2043,45.8,32.3
2044,45.8,32.3
2045,45.8,32.3
2046,45.8,32.3
2047,45.8,32.3
2048,45.8,32.3
2049,45.8,32.3
2050,45.8,32.3
