Year,Income
1990,26308.33809
1995,29469.96859
2000,32631.59909
2005,37153.79061
2010,38508.62071
2015,40676.19243
2020,44980.82872
2025,47366.64385
2030,49197.85474
2035,50952.40666
2040,52972.13606
2045,56117.20644
2050,59449.00646
