County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
AcadiaParish,14045,4644,8027,20233,6938,7886
AllenParish,4860,1587,3596,9490,2903,3328
AscensionParish,25726,7803,13493,39465,11234,9494
AssumptionParish,4604,1830,2840,8015,2987,3145
AvoyellesParish,8520,2856,5419,14154,5049,6075
BeauregardParish,7615,2614,4393,12151,4259,4622
BienvilleParish,2733,1006,1662,4457,1844,2651
BossierParish,25312,7708,17793,39480,12660,14026
CaddoParish,52208,17859,37034,82008,31217,34643
CalcasieuParish,40682,13965,27537,63458,22800,24326
CaldwellParish,1975,678,1184,3420,1371,1504
CameronParish,1358,503,769,2508,820,881
CatahoulaParish,1943,705,1397,3494,1365,1503
ClaiborneParish,2757,1023,2448,6007,2206,2754
ConcordiaParish,4335,1422,2665,6779,2595,3026
DeSotoParish,5433,1884,3019,8904,3568,3848
EastBatonRougeParish,85969,34402,83545,138394,49831,48030
EastCarrollParish,1659,563,1209,2534,823,971
EastFelicianaParish,3388,1336,2639,7289,2983,2632
EvangelineParish,7576,2637,4394,11046,3841,4490
FranklinParish,4498,1376,2463,6490,2552,3388
GrantParish,4247,1393,3015,8470,2494,2690
IberiaParish,16481,5489,9627,24446,8283,8914
IbervilleParish,6121,2370,4774,12044,4074,4004
JacksonParish,3115,1011,2087,5216,2128,2717
JeffersonParish,80781,27047,61950,148442,55344,58988
JeffersonDavisParish,6931,2365,3725,10318,3670,4585
LafayetteParish,45228,16509,38468,74930,23656,22787
LafourcheParish,19585,7204,13702,33080,10716,12031
LaSalleParish,2930,988,2002,4976,1791,2203
LincolnParish,7969,5084,11750,12085,4561,5286
LivingstonParish,29475,9345,16994,45759,13782,12671
MadisonParish,2466,863,1871,4089,1370,1434
MorehouseParish,5755,1888,3431,8899,3696,4310
NatchitochesParish,8051,3539,6660,11328,4659,5329
OrleansParish,60442,24075,64542,115747,41384,37639
OuachitaParish,33454,12213,22718,49458,16957,18920
PlaqueminesParish,5215,1676,2887,8123,2564,2577
PointeCoupeeParish,4494,1536,2593,7360,3285,3534
RapidesParish,28204,9466,16964,43203,15764,18012
RedRiverParish,1932,640,1124,2873,1136,1386
RichlandParish,4397,1438,2541,6846,2519,2984
SabineParish,4922,1662,2770,7401,3299,4179
StBernardParish,7672,2556,6224,12344,3813,3288
StCharlesParish,11626,4012,6410,19502,5995,5235
StHelenaParish,2284,813,1427,3532,1567,1580
StJamesParish,4614,1705,2894,7300,2748,2841
StJohntheBaptistParish,10121,3534,6083,16050,5400,4736
StLandryParish,18907,6086,10334,26621,9984,11452
StMartinParish,11347,3862,6742,18044,6079,6086
StMaryParish,11369,4054,7129,18669,6377,7052
StTammanyParish,49655,15842,24691,82904,31020,29628
TangipahoaParish,25210,10218,19322,38421,14123,13803
TensasParish,1117,326,529,1563,809,908
TerrebonneParish,24164,8197,16409,38126,12398,12566
UnionParish,4375,1452,2759,7254,3131,3750
VermilionParish,12980,4041,7345,19627,6498,7508
VernonParish,12479,3597,10420,16252,4657,4929
WashingtonParish,9828,3215,5683,15381,6225,6836
WebsterParish,8014,2713,4948,13332,5306,6894
WestBatonRougeParish,4899,1748,3450,8316,2758,2617
WestCarrollParish,2363,819,1248,3778,1442,1954
WestFelicianaParish,2161,824,1542,7263,2245,1590
WinnParish,2882,963,1924,5334,2009,2201
