Value,Area,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
EcoReduction,Boston,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Boston,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Boston,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Boston,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Pittsfield,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Pittsfield,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Pittsfield,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Pittsfield,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoReduction,Springfield,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054
ImpPropGoal,Springfield,0,0,0,0,0,0,0,0,0,0,0,0,0
ImpReduction,Springfield,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
PropWrkEco,Springfield,0,0,0,0,0,0,0,0,0,0,0,0,0
