County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
AdaCounty,87267,26503,54934,139297,43316,41048
AdamsCounty,610,224,294,1243,777,828
BannockCounty,19392,6140,14138,24803,9123,9243
BearLakeCounty,1366,401,528,1775,812,1104
BenewahCounty,1794,616,805,2897,1474,1699
BinghamCounty,12651,3635,5452,13860,4795,5214
BlaineCounty,4348,1213,2146,7975,3218,2476
BoiseCounty,1231,430,402,2396,1451,1118
BonnerCounty,7266,2447,3565,13375,7215,7009
BonnevilleCounty,27834,7517,14055,32703,10782,11343
BoundaryCounty,2284,744,960,3391,1761,1832
ButteCounty,658,212,229,859,427,506
CamasCounty,204,54,99,407,175,178
CanyonCounty,50451,14784,24775,60153,18364,20396
CaribouCounty,1678,474,678,2168,862,1103
CassiaCounty,6366,1911,2637,6788,2296,2954
ClarkCounty,254,72,133,298,96,129
ClearwaterCounty,1243,498,747,2780,1533,1960
CusterCounty,689,241,353,1462,805,818
ElmoreCounty,6487,1909,5130,8361,2435,2716
FranklinCounty,3800,1020,1317,3817,1189,1643
FremontCounty,3411,1078,1548,3930,1431,1844
GemCounty,3364,1150,1572,5235,2291,3107
GoodingCounty,3826,1181,1849,4686,1594,2328
IdahoCounty,2741,1002,1385,4854,2841,3444
JeffersonCounty,7896,2070,3119,8129,2422,2504
JeromeCounty,5830,1782,3055,6917,2283,2507
KootenaiCounty,28172,9915,16666,45353,18310,20078
LatahCounty,5811,3981,9755,9935,3904,3858
LemhiCounty,1265,449,612,2376,1476,1758
LewisCounty,697,217,353,1120,600,834
LincolnCounty,1401,429,627,1600,578,573
MadisonCounty,8409,4836,13900,6469,1830,2092
MinidokaCounty,4824,1643,2297,6027,2309,2969
NezPerceCounty,6973,2723,5206,12229,5071,7063
OneidaCounty,1061,320,351,1281,559,714
OwyheeCounty,2793,873,1229,3648,1371,1612
PayetteCounty,5309,1779,2393,7078,2602,3462
PowerCounty,2027,628,941,2354,920,947
ShoshoneCounty,2143,827,1084,4096,2078,2537
TetonCounty,2609,598,1259,4055,985,664
TwinFallsCounty,17829,5616,10718,23772,8589,10706
ValleyCounty,1614,489,794,3407,1899,1659
WashingtonCounty,2044,728,853,3018,1464,2091
