County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
AlachuaCounty,36476,23589,63239,70234,27171,26627
BakerCounty,5886,1877,3659,9584,3153,2956
BayCounty,30640,10889,23378,58485,20901,24559
BradfordCounty,4738,1571,4211,10375,3512,4113
BrevardCounty,86641,34491,57959,178921,74652,110712
BrowardCounty,319534,114200,218382,639345,207181,249424
CalhounCounty,2609,869,1895,5217,1777,2258
CharlotteCounty,18349,7336,11509,40809,27376,54599
CitrusCounty,17863,7195,10364,37272,23501,45041
ClayCounty,40496,15061,21567,68425,23024,22292
CollierCounty,51564,17613,32020,92432,42940,84951
ColumbiaCounty,12593,4514,8996,22214,8824,10390
DeSotoCounty,6408,2456,5085,10721,3964,6228
DixieCounty,2609,880,1801,5411,2551,3170
DuvalCounty,169928,58187,134899,305315,99765,96169
EscambiaCounty,53089,23216,47377,94347,36661,42929
FlaglerCounty,15490,5572,8259,28145,14825,23405
FranklinCounty,1657,514,1644,4049,1670,2015
GadsdenCounty,9291,3168,5686,15627,6294,6323
GilchristCounty,2949,1381,2312,5165,2276,2856
GladesCounty,2024,687,1614,4109,1683,2767
GulfCounty,2106,752,2132,6093,2193,2587
HamiltonCounty,2379,971,2570,5003,1930,1946
HardeeCounty,6441,2178,4308,8480,2749,3575
HendryCounty,8959,3188,5917,12937,3648,4491
HernandoCounty,27839,9957,15404,50584,24471,44523
HighlandsCounty,14803,5211,8866,24762,13322,31822
HillsboroughCounty,243031,88167,181876,436254,134661,145237
HolmesCounty,3452,1310,2535,6574,2631,3425
IndianRiverCounty,20995,8012,12458,39226,19833,37504
JacksonCounty,8076,3170,6385,17820,6494,7801
JeffersonCounty,2299,765,1637,5289,2339,2432
LafayetteCounty,1494,541,1545,3280,926,1084
LakeCounty,50923,17224,27767,89701,39612,71825
LeeCounty,100191,35161,66563,184541,87192,145106
LeonCounty,44917,27231,67003,80626,29730,25980
LevyCounty,7025,2591,4152,12815,6304,7914
LibertyCounty,1472,493,1263,3351,898,888
MadisonCounty,3390,1346,2564,6249,2630,3045
ManateeCounty,54985,18100,32658,96901,45080,75109
MarionCounty,52554,19033,32809,95583,46001,85318
MartinCounty,20848,7805,12816,43652,21225,39972
MiamiDadeCounty,447731,168514,348952,907352,271873,352013
MonroeCounty,8984,3260,8445,26961,12971,12469
NassauCounty,13124,4628,7698,24863,11093,11908
OkaloosaCounty,33163,11942,27450,61646,21403,25218
OkeechobeeCounty,7793,2899,5105,12859,4549,6791
OrangeCounty,222914,88367,199380,410085,114291,110919
OsceolaCounty,57183,21442,35476,96192,28736,29656
PalmBeachCounty,220616,79570,148800,425701,160292,285155
PascoCounty,81349,27637,45610,153093,60763,96245
PinellasCounty,132197,50416,98240,307191,134399,194099
PolkCounty,117437,40847,72734,188537,74244,108296
PutnamCounty,13870,4930,8031,22763,10700,14070
StJohnsCounty,35684,12944,19058,65891,26669,29793
StLucieCounty,51139,17656,29492,89180,34944,55378
SantaRosaCounty,29587,10550,18382,54812,18581,19460
SarasotaCounty,48340,18363,31069,105114,58335,118227
SeminoleCounty,78083,30877,59219,152646,51216,50677
SumterCounty,6951,2542,5385,19567,18445,40530
SuwanneeCounty,7781,2654,4696,12956,5614,7850
TaylorCounty,3680,1256,3136,7852,3118,3528
UnionCounty,2476,896,2351,5894,2364,1554
VolusiaCounty,76079,31095,56750,155694,70686,104289
WakullaCounty,5691,1905,3869,12122,3850,3339
WaltonCounty,9430,3124,6501,19212,7833,8943
WashingtonCounty,4313,1596,3072,8959,3129,3827
