County,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
AdamsCounty,2757,1059,1830,6818,3512,4899
AshlandCounty,3099,1136,2069,5148,2138,2567
BarronCounty,8331,2888,4977,14947,6379,8348
BayfieldCounty,2290,833,1138,4829,2812,3112
BrownCounty,51437,17456,35051,87034,28240,28789
BuffaloCounty,2460,866,1328,4521,1953,2459
BurnettCounty,2464,889,1200,4716,2619,3569
CalumetCounty,10923,3389,4708,18700,5626,5625
ChippewaCounty,12186,3914,7380,21901,8099,8935
ClarkCounty,8484,2468,3752,10633,3940,5413
ColumbiaCounty,10902,3574,5972,20589,7502,8294
CrawfordCounty,3008,1028,1674,5337,2535,3062
DaneCounty,88987,32869,89693,170005,56375,50144
DodgeCounty,16006,5537,10718,32562,10685,13251
DoorCounty,4040,1583,2270,8766,4881,6245
DouglasCounty,7830,3006,6175,14802,5985,6361
DunnCounty,7485,4186,8643,13181,5039,5323
EauClaireCounty,17231,8284,19742,29561,11483,12435
FlorenceCounty,605,250,327,1560,750,931
FondduLacCounty,18839,7139,12652,34690,13088,15225
ForestCounty,1625,707,944,2848,1292,1888
GrantCounty,8921,4741,8699,14886,5987,7974
GreenCounty,7373,2371,3597,13098,4906,5497
GreenLakeCounty,3648,1134,1747,6130,2740,3652
IowaCounty,4901,1441,2342,8470,3264,3269
IronCounty,764,315,409,1896,1030,1502
JacksonCounty,3823,1246,2282,7088,2707,3303
JeffersonCounty,16362,6648,10380,28933,10321,11042
JuneauCounty,4627,1601,2772,9314,3673,4677
KenoshaCounty,35155,13029,21684,59865,18014,18679
KewauneeCounty,3966,1307,2033,7129,2746,3393
LaCrosseCounty,20126,9547,20720,35540,13504,15201
LafayetteCounty,3548,1218,1823,5536,2110,2601
LangladeCounty,3386,1266,1877,6582,2880,3986
LincolnCounty,4943,1996,2549,10072,3914,5269
ManitowocCounty,14678,5484,8513,27956,11097,13714
MarathonCounty,26977,9305,15487,46653,16653,18988
MarinetteCounty,6931,2655,4268,13544,6097,8254
MarquetteCounty,2520,850,1343,5052,2393,3246
MenomineeCounty,1129,403,511,1299,408,482
MilwaukeeCounty,196785,69912,156207,314579,101119,109133
MonroeCounty,9687,3023,4987,14969,5784,6223
OcontoCounty,6784,2483,3319,13730,5322,6022
OneidaCounty,5249,2093,3278,11898,5680,7800
OutagamieCounty,36552,12512,22797,64107,19893,20834
OzaukeeCounty,16388,6170,8308,30109,12212,13208
PepinCounty,1387,488,699,2456,1102,1337
PierceCounty,7505,3836,7170,13499,4726,4283
PolkCounty,8462,2976,4180,15315,6208,7064
PortageCounty,11986,5860,12728,22052,8438,8955
PriceCounty,2155,839,1020,4813,2364,2968
RacineCounty,39971,13228,23152,69347,23971,25739
RichlandCounty,3462,1253,1796,5662,2603,3245
RockCounty,32988,11581,19543,55535,18925,21759
RuskCounty,2635,1004,1216,4742,2194,2964
StCroixCounty,19267,5361,9470,32252,9527,8468
SaukCounty,12163,3930,7330,21329,7936,9288
SawyerCounty,2808,982,1484,5149,2705,3429
ShawanoCounty,7816,2723,4252,14017,5461,7680
SheboyganCounty,22633,7643,13205,40518,14687,16821
TaylorCounty,4171,1342,2032,7245,2565,3334
TrempealeauCounty,5777,1836,3061,9862,3713,4567
VernonCounty,6568,1987,2770,9511,3975,4962
VilasCounty,3032,1184,1545,6498,3615,5556
WalworthCounty,19760,7588,14430,34006,12687,13757
WashburnCounty,2622,906,1305,5058,2640,3380
WashingtonCounty,26694,8490,13048,48990,16862,17803
WaukeshaCounty,75878,26509,38087,140564,53165,55688
WaupacaCounty,9546,3445,5052,17886,7019,9462
WausharaCounty,3926,1425,2259,8255,3748,4883
WinnebagoCounty,29782,12033,25698,57398,19747,22336
WoodCounty,13781,4949,8192,25224,9841,12762
