"FAFZone","BeaverCounty","BoxElderCounty","CacheCounty","CarbonCounty","DaggettCounty","DavisCounty","DuchesneCounty","EmeryCounty","GarfieldCounty","GrandCounty","IronCounty","JuabCounty","KaneCounty","MillardCounty","MorganCounty","PiuteCounty","RichCounty","SaltLakeCounty","SanJuanCounty","SanpeteCounty","SevierCounty","SummitCounty","TooeleCounty","UintahCounty","UtahCounty","WasatchCounty","WashingtonCounty","WayneCounty","WeberCounty"
"11",1894.01,1853.85,1808.96,1748.04,1697.79,1810.51,1726.6,1783.32,1868.7,1650.33,1855.22,1879.48,1761.75,1888.59,1778.78,1849.57,1767.45,1816.19,1567.84,1827.33,1805.23,1781.71,1879.48,1682.32,1835.07,1806.86,1796.84,1777.37,1809.47
"12",1837.95,1976.05,1931.2,1727,1820.05,1932.75,1816.55,1762.25,1799.85,1669.6,1809,1858.45,1733.25,1867.55,1901.05,1784.75,1889.65,1834.65,1539.35,1806.3,1784.15,1903.95,1907.45,1772.25,1802.85,1929.1,1768.35,1715.9,1931.75
"19",1908.35636363636,1892.30727272727,1847.42181818182,1769.41818181818,1736.26909090909,1848.98181818182,1766.31272727273,1804.68,1853.77636363636,1685.34,1856.82909090909,1900.84545454545,1764.90545454545,1909.94727272727,1817.26181818182,1853.40181818182,1805.90545454545,1854.66545454545,1570.98909090909,1848.70909090909,1826.58909090909,1820.17454545455,1917.96,1722.03090909091,1854.08181818182,1845.32363636364,1799.98909090909,1765.80545454545,1847.94727272727
"20",832.751724137931,654.203448275862,641.186206896552,763.610344827586,722.927586206897,671.055172413793,763.524137931034,787.224137931035,869.624137931034,835.665517241379,856.751724137931,751.103448275862,882.393103448276,791.396551724138,681.410344827586,817.472413793103,681.596551724138,688.348275862069,898.303448275862,760.472413793103,788.41724137931,697.841379310345,727.910344827586,791.893103448276,712.448275862069,714.320689655172,878.134482758621,826.279310344828,660.744827586207
"41",502.05,768.65,769.4,609.3,765.55,705.15,671.65,617.6,463.9,551.9,473.05,604.35,397.3,561.95,724.7,488.55,783.55,676.7,400.95,574.95,527.75,708.45,680.25,714.95,644.9,676.55,432.4,541.45,724.3
"42",623.25,889.9,890.65,730.5,886.8,826.35,792.9,738.8,585.15,673.1,594.3,725.6,518.55,683.2,845.95,609.75,904.8,797.95,522.2,696.2,649,829.7,801.45,836.2,766.15,797.8,553.6,662.7,845.5
"49",476.354545454545,718.5,719.245454545455,559.609090909091,717.481818181818,654.972727272727,621.727272727273,570.745454545455,456.927272727273,525.8,444.609090909091,578.227272727273,399.563636363636,536.272727272727,674.518181818182,475.536363636364,733.409090909091,626.545454545455,367.136363636364,553.345454545455,505.763636363636,658.309090909091,649.736363636364,665.027272727273,594.736363636364,626.409090909091,397.827272727273,506.136363636364,674.118181818182
"50",1516.56133333333,1514.348,1469.46933333333,1372.48933333333,1358.312,1471.01866666667,1356.15466666667,1407.75333333333,1447.17466666667,1279.90266666667,1467.23866666667,1503.912,1383.12133333333,1513.02133333333,1439.3,1463.84666666667,1427.94533333333,1476.708,1189.21466666667,1451.78266666667,1429.66533333333,1442.21733333333,1540,1311.87333333333,1451.07866666667,1425.972,1424.27333333333,1360.53066666667,1469.98933333333
"61",481.82,766.42,767.22,669.1,831.16,702.92,730.46,645.2,525.02,717.26,445.24,602.16,485.82,541.74,722.52,527.52,781.34,674.52,684.52,602.58,555.4,706.26,678.02,773.76,642.72,674.36,387.82,596.04,722.1
"62",583.742857142857,643.642857142857,666.8,745.885714285714,807.7,647,750.171428571429,781.942857142857,694.257142857143,855.871428571429,660.557142857143,677.957142857143,717.828571428571,572.871428571429,678.114285714286,683.357142857143,746.257142857143,633.985714285714,951.485714285714,741.1,767.071428571429,671.171428571429,614.1,793.471428571429,667.8,675.071428571429,661.771428571428,823.6,666.185714285714
