"County","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20"
"HawaiiCounty",2104,38,650,3553,1294,1513,8951,2268,716,1095,1449,1339,209,5112,1087,6588,2294,11528,1856,2078
"HonoluluCounty",1796,171,4435,24416,11133,14441,47686,21197,8726,12707,7906,21205,7961,40575,10849,50601,7968,60008,19022,10885
"KalawaoCounty",0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
"KauaiCounty",666,13,305,1389,371,391,2965,956,205,488,718,640,135,1907,140,2311,1264,7853,970,1595
"MauiCounty",1645,0,794,3310,1213,1448,8732,3100,626,693,1913,1573,299,5338,934,4885,2422,20891,2735,1487
