County,Metropolitan,Town
AndersonCounty,1,1
BedfordCounty,1,1
BentonCounty,1,1
BledsoeCounty,1,1
BlountCounty,1,1
BradleyCounty,1,1
CampbellCounty,1,1
CannonCounty,1,1
CarrollCounty,1,1
CarterCounty,1,1
CheathamCounty,1,1
ChesterCounty,1,1
ClaiborneCounty,1,1
ClayCounty,1,1
CockeCounty,1,1
CoffeeCounty,1,1
CrockettCounty,1,1
CumberlandCounty,1,1
DavidsonCounty,1,1
DeKalbCounty,1,1
DecaturCounty,1,1
DicksonCounty,1,1
DyerCounty,1,1
FayetteCounty,1,1
FentressCounty,1,1
FranklinCounty,1,1
GibsonCounty,1,1
GilesCounty,1,1
GraingerCounty,1,1
GreeneCounty,1,1
GrundyCounty,1,1
HamblenCounty,1,1
HamiltonCounty,1,1
HancockCounty,1,1
HardemanCounty,1,1
HardinCounty,1,1
HawkinsCounty,1,1
HaywoodCounty,1,1
HendersonCounty,1,1
HenryCounty,1,1
HickmanCounty,1,1
HoustonCounty,1,1
HumphreysCounty,1,1
JacksonCounty,1,1
JeffersonCounty,1,1
JohnsonCounty,1,1
KnoxCounty,1,1
LakeCounty,1,1
LauderdaleCounty,1,1
LawrenceCounty,1,1
LewisCounty,1,1
LincolnCounty,1,1
LoudonCounty,1,1
MaconCounty,1,1
MadisonCounty,1,1
MarionCounty,1,1
MarshallCounty,1,1
MauryCounty,1,1
McMinnCounty,1,1
McNairyCounty,1,1
MeigsCounty,1,1
MonroeCounty,1,1
MontgomeryCounty,1,1
MooreCounty,1,1
MorganCounty,1,1
ObionCounty,1,1
OvertonCounty,1,1
PerryCounty,1,1
PickettCounty,1,1
PolkCounty,1,1
PutnamCounty,1,1
RheaCounty,1,1
RoaneCounty,1,1
RobertsonCounty,1,1
RutherfordCounty,1,1
ScottCounty,1,1
SequatchieCounty,1,1
SevierCounty,1,1
ShelbyCounty,1,1
SmithCounty,1,1
StewartCounty,1,1
SullivanCounty,1,1
SumnerCounty,1,1
TiptonCounty,1,1
TrousdaleCounty,1,1
UnicoiCounty,1,1
UnionCounty,1,1
VanBurenCounty,1,1
WarrenCounty,1,1
WashingtonCounty,1,1
WayneCounty,1,1
WeakleyCounty,1,1
WhiteCounty,1,1
WilliamsonCounty,1,1
WilsonCounty,1,1
