"County","AitkinCounty","AnokaCounty","BeckerCounty","BeltramiCounty","BentonCounty","BigStoneCounty","BlueEarthCounty","BrownCounty","CarltonCounty","CarverCounty","CassCounty","ChippewaCounty","ChisagoCounty","ClayCounty","ClearwaterCounty","CookCounty","CottonwoodCounty","CrowWingCounty","DakotaCounty","DodgeCounty","DouglasCounty","FaribaultCounty","FillmoreCounty","FreebornCounty","GoodhueCounty","GrantCounty","HennepinCounty","HoustonCounty","HubbardCounty","IsantiCounty","ItascaCounty","JacksonCounty","KanabecCounty","KandiyohiCounty","KittsonCounty","KoochichingCounty","LacquiParleCounty","LakeCounty","LakeoftheWoodsCounty","LeSueurCounty","LincolnCounty","LyonCounty","McLeodCounty","MahnomenCounty","MarshallCounty","MartinCounty","MeekerCounty","MilleLacsCounty","MorrisonCounty","MowerCounty","MurrayCounty","NicolletCounty","NoblesCounty","NormanCounty","OlmstedCounty","OtterTailCounty","PenningtonCounty","PineCounty","PipestoneCounty","PolkCounty","PopeCounty","RamseyCounty","RedLakeCounty","RedwoodCounty","RenvilleCounty","RiceCounty","RockCounty","RoseauCounty","StLouisCounty","ScottCounty","SherburneCounty","SibleyCounty","StearnsCounty","SteeleCounty","StevensCounty","SwiftCounty","ToddCounty","TraverseCounty","WabashaCounty","WadenaCounty","WasecaCounty","WashingtonCounty","WatonwanCounty","WilkinCounty","WinonaCounty","WrightCounty","YellowMedicineCounty"
"AitkinCounty",23,113,145.9,144.5,95.5,217,216,219.5,46.6,157.6,82,205,103.3,171.7,145.6,187.6,256.8,38.3,154.1,206.8,136,266.5,249.5,236.5,190.4,164.9,137.7,296.7,108.2,88.2,68.8,287.5,60.6,165,271.1,147,225.2,140.4,197.5,192.1,265.2,239.9,165.5,155.5,239.3,260.2,154,70.5,74.4,246.6,267.3,206.7,309.7,192,217.9,130.5,208.1,66.4,278.2,198.9,157.2,135.1,194.8,232.7,201.4,185.3,305.5,247.9,102.7,161.1,119.6,192.6,129.1,209.8,183.3,187.3,111.2,194.6,220.5,103.6,224.7,145.4,245.1,164.1,258,134,226
"AnokaCounty",113,10.9,196.3,227.8,62.3,187.6,107.5,125.8,120.8,49.1,162.2,143.1,43.1,220.9,228.9,262.2,164.3,124.5,44.7,97.3,130.6,152.4,140,122.4,81,159.8,24.6,187.2,179,28.9,176.9,179,53.3,110.9,387.2,255.1,178.3,215,305.7,83.6,192.6,167.3,76.7,230.6,309.7,151.7,78.2,58.5,86.7,132.5,192.2,98.2,201.2,248.8,108.4,178.6,278.4,83.7,205.6,269.3,128.8,25.7,265.2,142.4,111.2,71.2,227.7,331.2,177.3,52.5,38.5,84,78.3,95.7,153.9,141.4,116.4,180,111.1,154,110.5,38.5,136.6,191.4,148.5,41.1,158.4
"BeckerCounty",145.9,196.3,19.6,114.9,144.1,138.9,265.2,226.8,189.2,214.2,90,156.2,208.9,45.8,90.7,316.2,253.9,116.3,237.1,297.7,93.5,336.9,335.3,306.9,276.3,83.1,208.1,382.5,59.9,188.3,146.2,276,176.7,161,164.6,180.8,159.5,268.9,207.3,262.5,204.6,205.7,200.9,53.7,132.8,281.8,171.9,155.9,111.7,317,233.9,245.3,271,73.6,303.7,56,101.5,190.1,235.9,92.3,123.8,218.7,88.3,228.7,197.4,255.7,259.3,160.9,190.4,231.4,170.1,224.1,148.6,280.2,112.7,138.8,87.4,113.2,306.4,68.3,295,231.5,249.7,74.8,343.8,184.6,183.5
"BeltramiCounty",144.5,227.8,114.9,28.4,175.7,250.7,296.7,286.4,167.1,245.7,90.7,249.9,235.3,148.3,43.8,294.2,302.8,135,268.6,329.2,161.8,368.4,366.8,338.4,307.8,187.9,239.6,414,61.1,214.7,96.8,324.9,195.4,209.9,151,80.8,249.7,237.1,107.3,294,294.8,284.8,232.4,80.5,119.2,318.4,220.9,178.1,143.2,348.5,312.2,276.8,349.3,116.9,335.2,156.1,88.9,201.6,323.1,97.1,181.7,250.2,93.1,277.6,246.3,287.2,350.4,115.7,155.3,263,201.6,255.6,179.1,311.7,206.6,211.8,142.9,225,337.9,108,326.6,263,303.3,179.7,375.3,216.1,257.5
"BentonCounty",95.5,62.3,144.1,175.7,10.5,142.5,153.3,123.6,122.7,81.1,103.5,109,69.7,175.8,176.7,264.1,160.9,65.8,104,164.6,85.5,203.7,202.2,173.7,143.1,114.6,74.9,249.4,126.8,49.1,149.6,182.8,54.1,69.1,289.3,213.6,136.4,216.9,268,129.4,169.3,143.9,69.6,178.4,257.5,155.5,58.1,41.4,34.5,183.9,171.3,114,205.1,203.6,170.6,133.5,226.3,85.6,182.2,217.1,83.7,85.6,213.1,136.8,105.4,122.6,209.5,279.1,179.2,98.3,36.1,92.8,33.2,147.1,108.7,99.6,64.2,134.9,173.2,101.8,161.9,98.4,140.5,146.2,210.7,51.5,130.1
"BigStoneCounty",217,187.6,138.9,250.7,142.5,11.8,181.2,139.7,250.9,161.6,206.3,66.6,197.8,113.2,208,392.3,147.9,187.4,196.7,241,85,235.2,296.3,237.8,237.3,69.4,173.3,343.5,188.7,177.2,271.2,176,182.3,84.6,277,309.6,39.1,345,323,186.3,80.7,93.6,133.5,171,257.3,204.8,113.5,169.5,142.8,264.9,121.8,168.2,162.1,140.9,264.7,115.8,215.6,213.8,112,180,63.6,202.9,197.7,121.7,103.8,215.3,135.4,276.9,307.3,180.3,161.4,148.5,123,223.5,35.1,48.1,122.4,29.1,267.4,142.5,207.2,215.7,162.6,73.2,304.8,145.4,76.7
"BlueEarthCounty",216,107.5,265.2,296.7,153.3,181.2,14.2,50.7,219.6,66.4,233.1,136.2,141.8,279.9,297.8,361,67.6,200.1,84.8,70.5,189.5,52.7,123.7,57.1,87.5,196.8,87.4,172.5,247.9,144.7,270.1,82.3,160.8,120.8,446.1,347.2,153.3,313.7,389.1,35.8,137.4,112.6,66,299.5,378.6,55,94.7,148.4,155.6,84.3,104.8,26.4,104.5,307.6,92.1,237.5,347.3,182.4,129.4,346.7,165,100.3,334.1,78.5,91.6,52.1,131,400.1,276,63,125.8,41.7,137.2,53,177.6,155.5,183.8,207.8,110.3,222.9,36.7,112.5,39.9,250.3,133.8,98.5,128.9
"BrownCounty",219.5,125.8,226.8,286.4,123.6,139.7,50.7,12.8,241.6,79.7,222.8,94.3,163.8,234.4,257.6,382.9,46.5,189.8,109.6,110.5,144.1,87,165.3,107.3,124.3,161.8,104.9,212.5,224.4,163,273.6,68.3,163.4,78.9,400.7,337.7,111.8,335.7,378.8,60.6,95.9,71.1,69,261.1,340.2,58.4,73.9,150.6,145.3,134.4,75.6,40.2,90.5,262.2,132.1,192.1,308.9,204.4,93.6,301.3,128.2,125.1,295.7,37,49.6,86.1,117,368.3,298,87.8,122,46.8,102,93,135.7,113.6,138.4,166.3,147.1,181.6,76.7,137.3,26.3,204.8,173.8,103.8,87.4
"CarltonCounty",46.6,120.8,189.2,167.1,122.7,250.9,219.6,241.6,15.2,164.9,119.1,217.4,91.7,217.1,168.2,147.4,276.3,83.8,142.6,195.2,193.9,253.8,238,223.8,178.9,223,135.7,285.2,145.3,93.1,89,291,71.1,177.4,293.7,167.2,244.8,100.2,217.7,192.4,277.7,252.3,192.5,192.6,261.9,263.7,166.5,98.2,119.8,221.8,279.7,210.3,313.2,229.1,206.4,175.9,230.7,44.5,290.6,221.5,192.1,123.6,217.4,258.1,226.9,172.7,339.8,268.4,62.5,157.7,133.4,199.8,141.6,197.1,217.1,208,165.4,243.3,209,149,212,133.9,248.7,209.5,246.4,147.4,238.4
"CarverCounty",157.6,49.1,214.2,245.7,81.1,161.6,66.4,79.7,164.9,10,182,104.1,87.1,231.7,246.7,306.2,116.9,149.1,44.1,104.7,141.4,107.1,142.3,113.8,83.3,170.5,28.2,189.5,196.9,86.3,211.7,137.8,102.4,81.9,398,288.8,133.6,259,338.1,53.6,146.5,121.1,30.6,248.5,327.5,110.5,54.5,90,104.5,124,146,54.5,160.1,259.5,110.7,189.4,296.3,127.7,159.4,298.5,125.6,45.3,283.1,96.3,65,62.7,186.6,349.1,221.3,26.3,53.5,37.9,89.1,87.2,145.5,123.5,134.3,190.8,113.3,171.9,73.7,57.5,95.5,202.1,150.8,35.4,112.3
