"County","Metropolitan","Town","Rural"
"AitkinCounty",0,0,1
"AnokaCounty",0.8462,0.0188,0.135
"BeckerCounty",0,0.2453,0.7547
"BeltramiCounty",0,0.3291,0.6709
"BentonCounty",0.5999,0,0.4001
"BigStoneCounty",0,0,1
"BlueEarthCounty",0.6911,0.04,0.2689
"BrownCounty",0,0.6506,0.3494
"CarltonCounty",0,0.4483,0.5517
"CarverCounty",0.6094,0.2023,0.1883
"CassCounty",0,0,1
"ChippewaCounty",0,0.4966,0.5034
"ChisagoCounty",0,0.4441,0.5559
"ClayCounty",0.7208,0,0.2792
"ClearwaterCounty",0,0,1
"CookCounty",0,0,1
"CottonwoodCounty",0,0.3773,0.6227
"CrowWingCounty",0,0.3726,0.6274
"DakotaCounty",0.8922,0.0585,0.0493
"DodgeCounty",0,0.4824,0.5176
"DouglasCounty",0,0.4716,0.5284
"FaribaultCounty",0,0.2238,0.7762
"FillmoreCounty",0,0.0672,0.9328
"FreebornCounty",0,0.5717,0.4283
"GoodhueCounty",0,0.5296,0.4704
"GrantCounty",0,0,1
"HennepinCounty",0.9772,5e-04,0.0222
"HoustonCounty",0.2816,0.1445,0.5739
"HubbardCounty",0,0.1663,0.8337
"IsantiCounty",0,0.3774,0.6226
"ItascaCounty",0,0.2061,0.7939
"JacksonCounty",0,0.3087,0.6913
"KanabecCounty",0,0.226,0.774
"KandiyohiCounty",0,0.5547,0.4453
"KittsonCounty",0,0,1
"KoochichingCounty",0,0.53,0.47
"LacquiParleCounty",0,0,1
"LakeCounty",0,0.3302,0.6698
"LakeoftheWoodsCounty",0,0,1
"LeSueurCounty",0,0.3784,0.6216
"LincolnCounty",0,0,1
"LyonCounty",0,0.5207,0.4793
"McLeodCounty",0,0.5344,0.4656
"MahnomenCounty",0,0,1
"MarshallCounty",0,0,1
"MartinCounty",0,0.4596,0.5404
"MeekerCounty",0,0.3448,0.6552
"MilleLacsCounty",0,0.2918,0.7082
"MorrisonCounty",0,0.2718,0.7282
"MowerCounty",0,0.641,0.359
"MurrayCounty",0,0,1
"NicolletCounty",0.4077,0.3365,0.2557
"NoblesCounty",0,0.5901,0.4099
"NormanCounty",0,0,1
"OlmstedCounty",0.7465,0.0876,0.1659
"OtterTailCounty",0,0.2641,0.7359
"PenningtonCounty",0,0.6377,0.3623
"PineCounty",0,0.107,0.893
"PipestoneCounty",0,0.4271,0.5729
"PolkCounty",0.2632,0.252,0.4847
"PopeCounty",0,0,1
"RamseyCounty",0.9981,0,0.0019
"RedLakeCounty",0,0,1
"RedwoodCounty",0,0.3087,0.6913
"RenvilleCounty",0,0,1
"RiceCounty",0,0.7407,0.2593
"RockCounty",0,0.4769,0.5231
"RoseauCounty",0,0.1768,0.8232
"StLouisCounty",0.4661,0.1627,0.3711
"ScottCounty",0.6766,0.151,0.1724
"SherburneCounty",0.2919,0.2661,0.4419
"SibleyCounty",0,0,1
"StearnsCounty",0.536,0.0947,0.3693
"SteeleCounty",0,0.6943,0.3057
"StevensCounty",0,0.5267,0.4733
"SwiftCounty",0,0.3262,0.6738
"ToddCounty",0,0.2161,0.7839
"TraverseCounty",0,0,1
"WabashaCounty",0,0.3546,0.6454
"WadenaCounty",0,0.3301,0.6699
"WasecaCounty",0,0.4984,0.5016
"WashingtonCounty",0.775,0.0803,0.1447
"WatonwanCounty",0,0.409,0.591
"WilkinCounty",0,0.4986,0.5014
"WinonaCounty",0,0.6547,0.3453
"WrightCounty",0.2741,0.4008,0.3251
"YellowMedicineCounty",0,0.1918,0.8082
