Value,Area,Fwy,Art,Other
BusVmt,Duluth,,,
TruckVmt,Duluth,,,
BusVmt,Fargo,,,
TruckVmt,Fargo,,,
BusVmt,GrandForks,,,
TruckVmt,GrandForks,,,
BusVmt,LaCrosse,,,
TruckVmt,LaCrosse,,,
BusVmt,MinneapolisStPaul,,,
TruckVmt,MinneapolisStPaul,,,
BusVmt,Rochester,,,
TruckVmt,Rochester,,,
