"County","Density"
"AitkinCounty",8.9
"AnokaCounty",166.2
"BeckerCounty",18.7
"BeltramiCounty",12
"BentonCounty",38.7
"BigStoneCounty",10.6
"BlueEarthCounty",23.7
"BrownCounty",15
"CarltonCounty",23
"CarverCounty",54.4
"CassCounty",14.1
"ChippewaCounty",10.8
"ChisagoCounty",76
"ClayCounty",16
"ClearwaterCounty",8.7
"CookCounty",3.6
"CottonwoodCounty",11.4
"CrowWingCounty",40
"DakotaCounty",49.5
"DodgeCounty",24
"DouglasCounty",30.6
"FaribaultCounty",15.9
"FillmoreCounty",22.6
"FreebornCounty",19.2
"GoodhueCounty",29.2
"GrantCounty",11
"HennepinCounty",134.3
"HoustonCounty",19.9
"HubbardCounty",18.4
"IsantiCounty",55.3
"ItascaCounty",13.5
"JacksonCounty",10.1
"KanabecCounty",24.2
"KandiyohiCounty",24
"KittsonCounty",4.1
"KoochichingCounty",2
"LacquiParleCounty",9.5
"LakeCounty",3.5
"LakeoftheWoodsCounty",3.1
"LeSueurCounty",38.9
"LincolnCounty",11
"LyonCounty",17.5
"McLeodCounty",35.4
"MahnomenCounty",9.7
"MarshallCounty",5.3
"MartinCounty",16
"MeekerCounty",25.3
"MilleLacsCounty",32.5
"MorrisonCounty",21.6
"MowerCounty",20.1
"MurrayCounty",12.4
"NicolletCounty",19.1
"NoblesCounty",12.3
"NormanCounty",7.9
"OlmstedCounty",40.1
"OtterTailCounty",21.5
"PenningtonCounty",8.3
"PineCounty",18.9
"PipestoneCounty",11.9
"PolkCounty",7.8
"PopeCounty",16.4
"RamseyCounty",221.5
"RedLakeCounty",9.5
"RedwoodCounty",12.7
"RenvilleCounty",16
"RiceCounty",35.1
"RockCounty",10.5
"RoseauCounty",7.7
"StLouisCounty",12
"ScottCounty",74.7
"SherburneCounty",98.4
"SibleyCounty",25.9
"StearnsCounty",42.9
"SteeleCounty",26.8
"StevensCounty",8.2
"SwiftCounty",8.9
"ToddCounty",20.7
"TraverseCounty",6.2
"WabashaCounty",27
"WadenaCounty",17.4
"WasecaCounty",22.9
"WashingtonCounty",122.3
"WatonwanCounty",15.3
"WilkinCounty",4.4
"WinonaCounty",29
"WrightCounty",66.9
"YellowMedicineCounty",11.1
