"County","ChurchillCounty","ClarkCounty","DouglasCounty","ElkoCounty","EsmeraldaCounty","EurekaCounty","HumboldtCounty","LanderCounty","LincolnCounty","LyonCounty","MineralCounty","NyeCounty","PershingCounty","StoreyCounty","WashoeCounty","WhitePineCounty","CarsonCity"
"ChurchillCounty",36.5,398,86.9,284.9,172.4,215.4,166.9,161.4,375.3,52.8,89.1,238.3,84.6,76.3,82.3,253.7,68.8
"ClarkCounty",398,46.3,427.1,413.7,219.1,368.7,507.1,387.7,156.4,394.2,313.1,246.2,469.6,447.6,467.8,255.7,440.1
"DouglasCounty",86.9,427.1,14,349.6,208.7,299.2,231.6,245.2,412.2,69.6,125.4,274.6,149.3,42,66.8,337.4,18.7
"ElkoCounty",284.9,413.7,349.6,67.5,340,105.6,182.6,149.6,285.9,315.6,327.6,321.6,202.8,335.7,327.9,174.5,331.5
"EsmeraldaCounty",172.4,219.1,208.7,340,30.8,238.4,326.3,209.8,231.2,168.6,87.5,93.6,244,222,242.2,215,214.5
"EurekaCounty",215.4,368.7,299.2,105.6,238.4,33.3,190.6,157.6,240.9,265.1,251.4,245.8,210.8,288.6,335.9,119.2,281.1
"HumboldtCounty",166.9,507.1,231.6,182.6,326.3,190.6,50.6,138.8,421.9,197.6,243,336.6,84.8,217.7,209.9,300.3,213.5
"LanderCounty",161.4,387.7,245.2,149.6,209.8,157.6,138.8,38.2,322.3,211.2,197.4,217.2,159,234.6,240.6,200.7,227.1
"LincolnCounty",375.3,156.4,412.2,285.9,231.2,240.9,421.9,322.3,53.1,372.1,291,179.9,442.1,425.5,445.7,127.9,418
"LyonCounty",52.8,394.2,69.6,315.6,168.6,265.1,197.6,211.2,372.1,23.1,85.3,234.5,115.3,59,80.8,303.4,51.4
"MineralCounty",89.1,313.1,125.4,327.6,87.5,251.4,243,197.4,291,85.3,31.8,153.4,160.7,138.7,158.9,274.8,131.2
"NyeCounty",238.3,246.2,274.6,321.6,93.6,245.8,336.6,217.2,179.9,234.5,153.4,69.3,309.9,287.9,308.1,163.6,280.4
"PershingCounty",84.6,469.6,149.3,202.8,244,210.8,84.8,159,442.1,115.3,160.7,309.9,40.1,135.4,127.6,320.5,131.2
"StoreyCounty",76.3,447.6,42,335.7,222,288.6,217.7,234.6,425.5,59,138.7,287.9,135.4,8.4,41.8,326.9,23.9
"WashoeCounty",82.3,467.8,66.8,327.9,242.2,335.9,209.9,240.6,445.7,80.8,158.9,308.1,127.6,41.8,41.6,332.8,49.5
"WhitePineCounty",253.7,255.7,337.4,174.5,215,119.2,300.3,200.7,127.9,303.4,274.8,163.6,320.5,326.9,332.8,48.5,319.3
"CarsonCity",68.8,440.1,18.7,331.5,214.5,281.1,213.5,227.1,418,51.4,131.2,280.4,131.2,23.9,49.5,319.3,6.4
