"SCTG","Medium","Heavy","N_Medium","N_Heavy"
1,0.122549959181878,0.877450040818122,1,4
2,0.473499644401482,0.526500355598518,0,2
3,0.0352194321356526,0.964780567864347,4,18
4,0.329426802845101,0.670573197154899,3,3
5,0.856234964301667,0.143765035698333,9,1
6,1,0,16,0
7,0.263986498546082,0.736013501453918,27,17
8,0.233455388714992,0.766544611285008,2,6
9,0.134342821827482,0.865657178172518,1,0
10,0.511086890555729,0.488913109444271,2,2
11,0.384981539960694,0.615018460039306,9,5
12,0.0670594856800113,0.932940514319989,15,93
13,0.574043705293349,0.425956294706651,1,6
14,0.296984478905375,0.703015521094625,0,1
15,0.254762106060935,0.745237893939064,0,0
16,0.292247289852626,0.707752710147374,0,0
17,0.0512840369554983,0.948715963044502,0,0
18,0.419718071009584,0.580281928990416,9,3
19,0.359316786786954,0.640683213213046,12,5
20,0.153884141884506,0.846115858115494,0,2
21,0.48565728180227,0.51434271819773,0,0
22,0.634547071721447,0.365452928278553,3,2
23,0.220262195048898,0.779737804951102,1,6
24,0.143309869173441,0.856690130826559,1,2
25,0.172627570488467,0.827372429511533,2,0
26,0.272483371480781,0.727516628519219,11,9
27,0.0664638925860683,0.933536107413932,0,1
28,0.13006920545436,0.86993079454564,2,2
29,0.499509853805331,0.500490146194669,4,1
30,0.122154702334916,0.877845297665084,4,1
31,0.609358388074648,0.390641611925352,82,22
32,0.119171287165763,0.880828712834237,6,6
33,0.53930001647849,0.46069998352151,40,9
34,0.138465053641731,0.861534946358269,13,13
35,0.267488635666556,0.732511364333444,2,1
36,0.482883152327569,0.517116847672431,13,11
37,0,1,0,10
38,0.301345390186715,0.698654609813286,2,0
39,0.143887662582821,0.856112337417179,12,9
40,0.431091307914616,0.568908692085384,140,72
41,0.666098451257971,0.333901548742029,36,8
43,0.0535868259332946,0.946413174066705,5,18
99,0.941490232895824,0.0585097671041765,35,1
