"County","Density"
"ChurchillCounty",1.8
"ClarkCounty",3.4
"DouglasCounty",21.5
"ElkoCounty",1.1
"EsmeraldaCounty",0.2
"EurekaCounty",0.5
"HumboldtCounty",0.6
"LanderCounty",0.4
"LincolnCounty",0.5
"LyonCounty",9.7
"MineralCounty",0.4
"NyeCounty",0.9
"PershingCounty",1.1
"StoreyCounty",14.1
"WashoeCounty",2.9
"WhitePineCounty",0.6
"CarsonCity",21.5
