"County","FIPS","StateFIPS","CountyFIPS"
"ChurchillCounty",32001,32,1
"ClarkCounty",32003,32,3
"DouglasCounty",32005,32,5
"ElkoCounty",32007,32,7
"EsmeraldaCounty",32009,32,9
"EurekaCounty",32011,32,11
"HumboldtCounty",32013,32,13
"LanderCounty",32015,32,15
"LincolnCounty",32017,32,17
"LyonCounty",32019,32,19
"MineralCounty",32021,32,21
"NyeCounty",32023,32,23
"PershingCounty",32027,32,27
"StoreyCounty",32029,32,29
"WashoeCounty",32031,32,31
"WhitePineCounty",32033,32,33
"CarsonCity",32510,32,510
