"FAFZone","ChurchillCounty","ClarkCounty","DouglasCounty","ElkoCounty","EsmeraldaCounty","EurekaCounty","HumboldtCounty","LanderCounty","LincolnCounty","LyonCounty","MineralCounty","NyeCounty","PershingCounty","StoreyCounty","WashoeCounty","WhitePineCounty","CarsonCity"
"11",2297.26,1845.35,2322.95,2014.58,2063.21,2117.96,2195,2161.96,2000.6,2254.31,2157.23,2090.4,2215.19,2348.06,2340.26,2021.53,2343.86
"12",2213.6,1816.85,2287.1,2042.55,2034.65,2145.95,2222.95,2189.9,1972.05,2209.85,2128.75,2061.85,2243.15,2263.25,2283.4,2000.5,2302.8
"19",2290.90181818182,1848.50727272727,2325.92545454545,2053.06909090909,2066.35272727273,2156.45090909091,2233.46727272727,2200.43272727273,2003.97818181818,2258.86545454545,2160.39454545455,2093.53090909091,2253.66545454545,2343.90909090909,2354.78,2042.89272727273,2350.65454545455
"20",821.086206896552,942.934482758621,808.572413793103,719.406896551724,925.868965517241,779.762068965517,669.096551724138,753.527586206897,890.862068965517,820.144827586207,871.268965517241,910.206896551724,718.168965517241,792.18275862069,786.941379310345,816.865517241379,797.227586206896
"41",715.9,319.1,751.7,731.6,536.95,686.6,825,705.6,474.35,769.4,631,564.15,787.5,790.7,815.5,573.55,767.35
"42",836.7,439.9,870.6,852.45,657.8,807.4,945.85,826.45,595.15,888.3,751.8,684.95,908.35,909.6,934.4,694.4,886.3
"49",737.890909090909,341.590909090909,776.372727272727,732.972727272727,559.463636363636,683.545454545455,839.218181818182,728.081818181818,472.990909090909,754.945454545454,652.990909090909,583.681818181818,808.245454545455,790.818181818182,813.518181818182,570.545454545455,791.818181818182
"50",1866.03733333333,1466.72133333333,1933.75333333333,1675.10533333333,1684.572,1778.48933333333,1855.50933333333,1822.47866666667,1612.624,1866.268,1778.61333333333,1711.80133333333,1875.708,1917.49866666667,1929.372,1645.97066666667,1942.256
"61",471.18,263.02,430.28,664.94,378.24,585.86,625.1,546.6,413.62,447.98,386.28,441.08,542.8,469.3,525,512.86,445.96
"62",178.142857142857,572.257142857143,122.514285714286,426.2,330.342857142857,425.842857142857,308.2,336.442857142857,533.857142857143,174.442857142857,247.028571428571,396.242857142857,225.9,132.457142857143,132.842857142857,428.714285714286,116.9
"63",538.6,320,497.7,728,447.9,657.6,692.5,616.1,470.7,515.4,453.7,512.9,610.3,536.7,561.5,569.9,513.4
"64",295.283333333334,552.25,208.725,540.891666666666,427.125,548.891666666666,422.908333333334,453.591666666666,646.991666666667,274.241666666667,343.775,493.016666666666,340.591666666666,249.479166666667,245.775,545.85,221.270833333333
"65",361.35,410.25,257.5,606.95,444.85,614.95,488.95,519.65,560.9,318.9,379.95,510.75,406.65,315.5,311.8,611.85,268
"69",303.977419354839,548.732258064516,246.177419354838,546.345161290322,391.467741935484,526.774193548387,429.970967741936,450.603225806452,574.696774193549,287.33870967742,330.367741935483,454.845161290322,355.43870967742,264.787096774194,268.874193548387,517.648387096775,246.537096774193
"81",1016.6375,766.4875,1081.3375,733.954166666666,915.920833333333,837.3375,914.354166666667,881.316666666666,699.895833333333,1047.2875,977.7125,864.545833333333,934.545833333334,1067.41666666667,1059.625,696.925,1063.225
"89",995.718269230769,746.336538461538,1060.42403846154,713.041346153846,897.856730769231,816.422115384615,893.450961538462,860.411538461538,691.997115384615,1026.40096153846,964.231730769231,849.525961538462,913.645192307692,1046.50769230769,1038.70961538462,684.270192307692,1042.31442307692
"91",2773.33333333333,2648.96666666667,2838.06666666667,2490.7,2732,2594.06666666667,2671.1,2638.03333333333,2582.4,2804,2816.06666666667,2680.6,2691.3,2824.13333333333,2816.33333333333,2533.4,2819.93333333333
"92",2737.03333333333,2612.63333333333,2801.73333333333,2454.36666666667,2695.66666666667,2557.73333333333,2634.73333333333,2601.73333333333,2546.06666666667,2767.73333333333,2779.73333333333,2644.26666666667,2654.93333333333,2787.83333333333,2780.03333333333,2497.13333333333,2783.63333333333
"99",2797.65,2673.25,2862.35,2514.95,2756.25,2618.35,2695.35,2662.35,2606.65,2828.35,2840.35,2704.85,2715.55,2848.45,2840.65,2557.75,2844.25
"101",2635.475,2495.675,2700.175,2352.775,2594.075,2456.175,2533.175,2500.175,2429.075,2666.125,2678.175,2542.725,2553.375,2686.275,2678.475,2395.55,2682.075
"109",2668.2,2516.8,2732.9,2385.6,2626.9,2488.9,2565.9,2532.9,2450.3,2698.9,2710.9,2575.5,2586.1,2719,2711.2,2428.3,2714.8
"111",2573,2421.6,2637.7,2290.3,2531.6,2393.7,2470.7,2437.7,2355,2603.6,2615.7,2480.2,2490.9,2623.8,2616,2333.1,2619.6
"121",2724.51666666667,2224.5,2709.73333333333,2441.83333333333,2442.33333333333,2545.21666666667,2622.23333333333,2589.21666666667,2379.73333333333,2755.18333333333,2536.4,2469.53333333333,2642.43333333333,2775.31666666667,2767.51666666667,2453.9,2771.11666666667
"122",2955.7,2454.7,2925,2673,2672.52857142857,2776.38571428571,2853.41428571429,2820.38571428571,2609.92857142857,2986.34285714286,2766.58571428571,2699.72857142857,2873.61428571429,3006.47142857143,2998.68571428571,2685.07142857143,3002.27142857143
