Value,Area,Fwy,Art,Other
BusVmt,CarsonCity,,,
TruckVmt,CarsonCity,,,
BusVmt,LasVegasHenderson,,,
TruckVmt,LasVegasHenderson,,,
BusVmt,Reno,,,
TruckVmt,Reno,,,
