County,Region,Msa
ChurchillCounty,,NA
ClarkCounty,,LasVegasHenderson
DouglasCounty,,CarsonCity
ElkoCounty,,NA
EsmeraldaCounty,,NA
EurekaCounty,,NA
WhitePineCounty,,NA
HumboldtCounty,,NA
LanderCounty,,NA
LincolnCounty,,NA
LyonCounty,,CarsonCity
MineralCounty,,NA
NyeCounty,,NA
PershingCounty,,NA
StoreyCounty,,NA
CarsonCity,,CarsonCity
WashoeCounty,,Reno
