"County","Metropolitan","Town","Rural"
"AdamsCounty",0,0.7752,0.2248
"AntelopeCounty",0,0,1
"ArthurCounty",0,0,1
"BannerCounty",0,0,1
"BlaineCounty",0,0,1
"BooneCounty",0,0,1
"BoxButteCounty",0,0.7504,0.2496
"BoydCounty",0,0,1
"BrownCounty",0,0,1
"BuffaloCounty",0,0.6774,0.3226
"BurtCounty",0,0,1
"ButlerCounty",0,0.3429,0.6571
"CassCounty",0.0045,0.266,0.7296
"CedarCounty",0,0,1
"ChaseCounty",0,0,1
"CherryCounty",0,0.4749,0.5251
"CheyenneCounty",0,0.6374,0.3626
"ClayCounty",0,0,1
"ColfaxCounty",0,0.5949,0.4051
"CumingCounty",0,0.348,0.652
"CusterCounty",0,0.3233,0.6767
"DakotaCounty",0.7891,0,0.2109
"DawesCounty",0,0.6006,0.3994
"DawsonCounty",0,0.7335,0.2665
"DeuelCounty",0,0,1
"DixonCounty",0,0,1
"DodgeCounty",0,0.7487,0.2513
"DouglasCounty",0.9783,0,0.0217
"DundyCounty",0,0,1
"FillmoreCounty",0,0,1
"FranklinCounty",0,0,1
"FrontierCounty",0,0,1
"FurnasCounty",0,0,1
"GageCounty",0,0.556,0.444
"GardenCounty",0,0,1
"GarfieldCounty",0,0,1
"GosperCounty",0,0,1
"GrantCounty",0,0,1
"GreeleyCounty",0,0,1
"HallCounty",0.8538,0,0.1462
"HamiltonCounty",0,0.4895,0.5105
"HarlanCounty",0,0,1
"HayesCounty",0,0,1
"HitchcockCounty",0,0,1
"HoltCounty",0,0.3529,0.6471
"HookerCounty",0,0,1
"HowardCounty",0,0,1
"JeffersonCounty",0,0.5184,0.4816
"JohnsonCounty",0,0,1
"KearneyCounty",0,0.4545,0.5455
"KeithCounty",0,0.5287,0.4713
"KeyaPahaCounty",0,0,1
"KimballCounty",0,0,1
"KnoxCounty",0,0,1
"LancasterCounty",0.9065,0.011,0.0825
"LincolnCounty",0,0.6948,0.3052
"LoganCounty",0,0,1
"LoupCounty",0,0,1
"McPhersonCounty",0,0,1
"MadisonCounty",0,0.721,0.279
"MerrickCounty",0.0515,0.3596,0.5889
"MorrillCounty",0,0,1
"NanceCounty",0,0,1
"NemahaCounty",0,0.4793,0.5207
"NuckollsCounty",0,0,1
"OtoeCounty",0,0.4489,0.5511
"PawneeCounty",0,0,1
"PerkinsCounty",0,0,1
"PhelpsCounty",0,0.5812,0.4188
"PierceCounty",0,0,1
"PlatteCounty",0,0.6857,0.3143
"PolkCounty",0,0,1
"RedWillowCounty",0,0.6841,0.3159
"RichardsonCounty",0,0.4942,0.5058
"RockCounty",0,0,1
"SalineCounty",0,0.4893,0.5107
"SarpyCounty",0.9473,0,0.0527
"SaundersCounty",0,0.3351,0.6649
"ScottsBluffCounty",0,0.7018,0.2982
"SewardCounty",0,0.3962,0.6038
"SheridanCounty",0,0,1
"ShermanCounty",0,0,1
"SiouxCounty",0,0,1
"StantonCounty",0,0.2651,0.7349
"ThayerCounty",0,0,1
"ThomasCounty",0,0,1
"ThurstonCounty",0,0,1
"ValleyCounty",0,0,1
"WashingtonCounty",0,0.3877,0.6123
"WayneCounty",0,0.5792,0.4208
"WebsterCounty",0,0,1
"WheelerCounty",0,0,1
"YorkCounty",0,0.5586,0.4414
