"County","Density"
"AdamsCounty",12.7
"AntelopeCounty",7.8
"ArthurCounty",0.6
"BannerCounty",0.9
"BlaineCounty",0.7
"BooneCounty",8
"BoxButteCounty",2.6
"BoydCounty",3.9
"BrownCounty",2.6
"BuffaloCounty",15.6
"BurtCounty",14
"ButlerCounty",9.5
"CassCounty",33.2
"CedarCounty",12
"ChaseCounty",4.4
"CherryCounty",0.5
"CheyenneCounty",3
"ClayCounty",11.4
"ColfaxCounty",10.4
"CumingCounty",10.5
"CusterCounty",2.9
"DakotaCounty",17.5
"DawesCounty",2.6
"DawsonCounty",6.4
"DeuelCounty",4.4
"DixonCounty",12.6
"DodgeCounty",17.8
"DouglasCounty",70.3
"DundyCounty",2.2
"FillmoreCounty",10.2
"FranklinCounty",5.6
"FrontierCounty",2.8
"FurnasCounty",6.9
"GageCounty",11.7
"GardenCounty",1.2
"GarfieldCounty",3.6
"GosperCounty",4.5
"GrantCounty",0.8
"GreeleyCounty",4.5
"HallCounty",16.5
"HamiltonCounty",8.6
"HarlanCounty",6.2
"HayesCounty",1.4
"HitchcockCounty",4.1
"HoltCounty",2.8
"HookerCounty",1
"HowardCounty",11
"JeffersonCounty",6.4
"JohnsonCounty",13.9
"KearneyCounty",6.9
"KeithCounty",3.7
"KeyaPahaCounty",1.1
"KimballCounty",4
"KnoxCounty",7.9
"LancasterCounty",31.5
"LincolnCounty",4.3
"LoganCounty",1.3
"LoupCounty",1.1
"McPhersonCounty",0.6
"MadisonCounty",17.3
"MerrickCounty",9.6
"MorrillCounty",3.5
"NanceCounty",8.5
"NemahaCounty",9.3
"NuckollsCounty",7.8
"OtoeCounty",14.2
"PawneeCounty",6.4
"PerkinsCounty",3.4
"PhelpsCounty",7.2
"PierceCounty",12.7
"PlatteCounty",15.2
"PolkCounty",12.3
"RedWillowCounty",4.9
"RichardsonCounty",7.7
"RockCounty",1.5
"SalineCounty",12.7
"SarpyCounty",49.2
"SaundersCounty",18.5
"ScottsBluffCounty",15.2
"SewardCounty",17.8
"SheridanCounty",2.2
"ShermanCounty",5.6
"SiouxCounty",0.6
"StantonCounty",10.5
"ThayerCounty",9.1
"ThomasCounty",0.9
"ThurstonCounty",17.6
"ValleyCounty",7.5
"WashingtonCounty",32.1
"WayneCounty",9.2
"WebsterCounty",6.6
"WheelerCounty",1.4
"YorkCounty",10.6
