"SCTG","PctEmpty","N"
1,0.356184074408594,44
2,0.336876249581764,269
3,0.330684336028985,29
4,0.310719962965899,26
5,0.178070269160932,39
6,0.10633057516018,86
7,0.17478304144497,36
8,0.209453973305391,4
9,0.220797674677544,0
10,0.345868222703136,2
11,0.406653723247503,4
12,0.358386443824343,29
13,0.382289317879428,6
14,0.330631811974,0
15,0.394477968299597,0
16,0.411406611770122,0
17,0.405256894636644,0
18,0.30780628855648,8
19,0.307658966212607,8
20,0.319153846071907,1
21,0.163003296356002,0
22,0.446411504685057,24
23,0.329297413853261,9
24,0.145566877820713,11
25,0.430737531709114,1
26,0.350215897120515,10
27,0.207833893632727,1
28,0.216947168869503,1
29,0.142965266998763,1
30,0.150707615637309,3
31,0.40903228543693,44
32,0.217604044021483,5
33,0.201505304161449,22
34,0.279697130416354,27
35,0.159588441529491,5
36,0.338971179987267,14
37,0.179037995207116,2
38,0.253528170079209,1
39,0.198651658784435,3
40,0.184696507243844,150
41,0.191977099912528,30
43,0.101375244444969,205
99,0.377666020609811,5
