"FAFZone","AdamsCounty","AntelopeCounty","ArthurCounty","BannerCounty","BlaineCounty","BooneCounty","BoxButteCounty","BoydCounty","BrownCounty","BuffaloCounty","BurtCounty","ButlerCounty","CassCounty","CedarCounty","ChaseCounty","CherryCounty","CheyenneCounty","ClayCounty","ColfaxCounty","CumingCounty","CusterCounty","DakotaCounty","DawesCounty","DawsonCounty","DeuelCounty","DixonCounty","DodgeCounty","DouglasCounty","DundyCounty","FillmoreCounty","FranklinCounty","FrontierCounty","FurnasCounty","GageCounty","GardenCounty","GarfieldCounty","GosperCounty","GrantCounty","GreeleyCounty","HallCounty","HamiltonCounty","HarlanCounty","HayesCounty","HitchcockCounty","HoltCounty","HookerCounty","HowardCounty","JeffersonCounty","JohnsonCounty","KearneyCounty","KeithCounty","KeyaPahaCounty","KimballCounty","KnoxCounty","LancasterCounty","LincolnCounty","LoganCounty","LoupCounty","McPhersonCounty","MadisonCounty","MerrickCounty","MorrillCounty","NanceCounty","NemahaCounty","NuckollsCounty","OtoeCounty","PawneeCounty","PerkinsCounty","PhelpsCounty","PierceCounty","PlatteCounty","PolkCounty","RedWillowCounty","RichardsonCounty","RockCounty","SalineCounty","SarpyCounty","SaundersCounty","ScottsBluffCounty","SewardCounty","SheridanCounty","ShermanCounty","SiouxCounty","StantonCounty","ThayerCounty","ThomasCounty","ThurstonCounty","ValleyCounty","WashingtonCounty","WayneCounty","WebsterCounty","WheelerCounty","YorkCounty"
"11",1045.36,1078.64,1232.09,1337.36,1158.01,1053.11,1333.57,1146.9,1195.65,1069.73,980.47,983.72,914.27,1067.88,1215.66,1289.21,1281.33,1024.66,1004.86,1002.16,1108.65,1019.36,1382.56,1107.76,1239.57,1036.64,970.57,933.06,1191.23,970.05,1039.75,1156.51,1112.81,919.96,1263.16,1118.05,1113.97,1258.44,1079.75,1029.46,1005.5,1089.83,1188.51,1162.51,1119.66,1203.5,1056.37,937.27,894.15,1066.59,1212,1206.67,1313.21,1102.21,931.65,1158.8,1180.42,1131.81,1196.92,1047.47,1024.01,1296.07,1043.03,869.06,981.64,895.27,886.85,1223.39,1091.26,1061.53,1019.07,1005.26,1149.85,859.11,1180.23,946.7,924.16,957.97,1332.01,958.92,1320.07,1070.05,1373.73,1027.64,960.34,1176.01,1011.11,1095.33,956.26,1039.17,1020.15,1102.22,983.06
"12",1167.6,1200.85,1354.35,1459.6,1280.25,1175.35,1455.85,1269.15,1317.9,1191.95,1102.75,1105.95,1036.55,1190.15,1305.65,1411.45,1403.55,1137.45,1127.1,1124.45,1230.9,1141.6,1504.8,1230,1361.85,1158.85,1092.85,1055.25,1281.2,1092.25,1148.55,1278.75,1202.75,1042.2,1385.4,1240.25,1236.25,1380.65,1202,1151.7,1127.75,1179.75,1278.45,1252.45,1241.9,1325.75,1178.6,1059.55,1016.35,1188.85,1334.25,1328.95,1435.45,1224.45,1053.9,1281.05,1302.65,1254.05,1319.15,1169.75,1146.25,1418.35,1165.25,991.3,1108.75,1017.55,1009.1,1323.35,1213.5,1183.75,1141.35,1127.5,1239.85,981.35,1302.45,1068.95,1046.45,1080.25,1454.25,1081.15,1442.35,1192.25,1495.95,1149.85,1089.05,1298.25,1133.35,1217.55,1078.5,1161.45,1130.2,1224.45,1105.25
"19",1083.83636363636,1117.10181818182,1270.56727272727,1375.83636363636,1196.48181818182,1091.57636363636,1372.04545454545,1185.37636363636,1234.11454545455,1108.19636363636,1018.94545454545,1022.18545454545,952.756363636364,1106.36,1255.38363636364,1327.67454545455,1319.79636363636,1063.15090909091,1043.35090909091,1040.64909090909,1147.11454545455,1057.82181818182,1421.03636363636,1146.25090909091,1278.04545454545,1075.09272727273,1009.04727272727,971.514545454546,1230.94727272727,1008.50545454545,1082.47272727273,1194.98181818182,1152.52,958.434545454546,1301.63272727273,1156.50545454545,1152.44727272727,1296.89454545455,1118.21272727273,1067.93272727273,1043.96909090909,1129.53636363636,1228.22727272727,1202.22727272727,1158.13272727273,1241.96909090909,1094.84909090909,975.756363636364,932.614545454545,1105.06727272727,1250.46909090909,1245.15818181818,1351.67454545455,1140.67818181818,970.114545454545,1197.27636363636,1218.88909090909,1170.28727272727,1235.38909090909,1085.94727272727,1062.47818181818,1334.54545454545,1081.48727272727,907.538181818182,1020.88545454545,933.756363636364,925.314545454546,1261.86909090909,1129.73272727273,1099.98727272727,1057.54727272727,1043.73454545455,1189.57272727273,897.576363636364,1218.69636363636,985.167272727273,962.647272727273,996.445454545455,1370.48181818182,997.389090909091,1358.55636363636,1108.50727272727,1412.19636363636,1066.09272727273,999.618181818182,1214.48181818182,1049.57636363636,1133.79636363636,994.721818181818,1077.65818181818,1063.07454545455,1140.68727272727,1021.51454545455
"20",965.513793103448,690.989655172414,820.965517241379,744.720689655172,674.789655172414,713.903448275862,752.444827586207,644.427586206897,640.58275862069,941.272413793104,757.941379310345,785.765517241379,805.355172413793,685.78275862069,866.958620689655,823.493103448276,775.755172413793,986.389655172414,773.858620689655,753.796551724138,901.520689655172,724.31724137931,731.286206896552,908.262068965517,818.679310344828,730.168965517241,766.975862068966,785.179310344828,895.1,1002.06896551724,962.61724137931,906.827586206897,936.272413793104,839.489655172414,783.88275862069,691.61724137931,919.686206896552,801.941379310345,708.610344827586,962.696551724138,975.913793103448,953.144827586207,893.355172413793,899.662068965517,668.206896551724,819.889655172414,724.562068965517,1034.15862068966,824.372413793103,948.068965517241,808.320689655172,624.803448275862,769.631034482759,682.258620689655,810.58448275862,874.496551724138,894.613793103448,680.037931034483,844.786206896552,714.524137931034,743.365517241379,752.820689655172,728.651724137931,825.672413793103,995.248275862069,813.934482758621,835.88275862069,855.179310344828,935.206896551724,703.210344827586,730.796551724138,750.893103448276,921.589655172414,842.803448275862,650.924137931034,1019.19655172414,792.08275862069,781.665517241379,728.258620689655,1008.61379310345,746.827586206897,722.558620689655,716.18275862069,718.065517241379,1018.94482758621,858.248275862069,738.148275862069,706.024137931034,778.037931034483,745.110344827586,978.765517241379,692.4,990.362068965517
"41",1210.65,1319,1097.7,1034,1211.7,1319.8,1096.4,1343.6,1260.2,1214.6,1402.7,1327.8,1308.2,1415.6,1056,1214.1,1022,1169.35,1344.1,1386.6,1186.95,1427.45,1148.35,1164.2,1046.75,1415.7,1366.05,1382.95,1053.7,1189.85,1164.65,1134.1,1123.25,1213.15,1087.5,1246.2,1150.75,1124,1257.55,1247.3,1267.5,1142.9,1106.65,1080.65,1308.6,1165.25,1268.2,1183.95,1242.25,1182.75,1064.9,1289.7,1007.4,1355.3,1335.05,1112.7,1143.4,1233.2,1134.05,1366.3,1279.9,1058.9,1298.9,1257.35,1143.95,1262.95,1219.65,1061.7,1165.2,1353.3,1329.6,1301.3,1108.35,1248.05,1281.6,1214.35,1379.2,1361.8,1055.25,1317.4,1144.45,1248.5,1084.85,1370.2,1163.75,1176.5,1409.6,1229.6,1398.1,1391.6,1191.15,1275.4,1289.55
"42",1226.95,1380.45,1159.1,1095.85,1273.1,1381.2,1157.75,1405,1321.65,1276.025,1464.05,1389.2,1296.95,1477.025,1117.35,1275.55,1083.4,1185.55,1405.45,1447.95,1248.35,1488.85,1210.2,1225.65,1108.15,1477.15,1427.45,1444.35,1069.95,1206.1,1180.9,1167.55,1139.55,1229.4,1148.85,1307.65,1167,1185.4,1318.95,1308.75,1328.9,1159.15,1122.95,1096.95,1369.975,1226.65,1329.6,1200.2,1258.55,1199,1126.3,1351.15,1069.25,1416.7,1396.45,1174.1,1204.8,1294.6,1195.45,1427.65,1341.3,1120.25,1360.3,1273.55,1160.2,1279.2,1235.9,1123.1,1181.45,1414.65,1390.95,1362.65,1124.55,1264.325,1343.025,1230.55,1440.55,1423.2,1117.1,1378.8,1205.85,1309.85,1146.75,1431.65,1180.05,1237.9,1471.05,1291.025,1459.5,1453.025,1207.35,1336.8,1350.95
"49",1162.27727272727,1269.88636363637,1048.52272727272,984.822727272727,1162.5409090909,1270.63181818182,1047.21363636364,1294.44090909091,1211.09545454545,1165.47727272728,1353.52272727272,1278.6590909091,1258.44090909091,1366.46818181819,1006.82272727273,1164.99545454546,972.872727272727,1140.89545454546,1294.92272727273,1337.42272727273,1137.79545454545,1378.30454545454,1087.75,1115.09545454545,997.609090909091,1366.56818181818,1316.90454545455,1333.79545454545,993.227272727271,1150.23181818182,1104.19545454546,1088.40454545454,1062.85909090909,1168.76818181818,1038.31363636363,1197.09545454545,1099.61818181818,1074.86818181818,1208.39545454546,1198.16818181819,1218.32272727272,1082.47272727273,1047.46818181819,1021.31363636363,1259.42272727273,1116.10454545454,1219.02272727272,1140.49545454546,1206.37727272727,1134.68636363637,1015.72272727273,1240.56818181818,958.204545454545,1306.13181818182,1285.89545454546,1063.5409090909,1094.25909090909,1184.05909090909,1084.90454545455,1317.11363636363,1230.74090909091,1009.71363636364,1249.75909090909,1222.59545454545,1089.70454545455,1232.66818181819,1171.97727272728,1012.55,1116.59090909091,1304.11363636363,1280.42272727273,1252.10909090909,1049.19090909091,1205.23181818182,1232.46818181819,1175.01363636363,1330.02272727272,1312.6590909091,1006.03181818181,1268.25909090909,1095.29545454545,1199.31363636363,1035.68636363637,1321.06818181818,1120.06818181818,1127.3409090909,1360.49545454546,1180.47727272728,1348.92272727273,1342.46818181819,1139.35909090909,1226.25909090909,1240.39545454546
"50",692.229333333333,737.52,887.406666666667,992.677333333333,815.150666666667,710.252,988.882666666667,806.213333333333,852.794666666667,724.122666666667,641.996,645.233333333333,575.805333333333,729.406666666667,845.224,946.346666666667,936.633333333333,669.918666666667,666.393333333333,663.696,765.794666666667,680.878666666667,1037.876,763.085333333333,894.881333333333,698.144,632.093333333333,594.568,820.793333333333,636.413333333333,687.808,805.501333333333,742.36,580.614666666667,918.476,775.18,760.845333333333,913.733333333333,736.894666666667,686.609333333333,662.641333333333,719.388,818.073333333333,792.073333333333,778.546666666667,860.641333333333,713.517333333333,598.578666666667,555.672,706.092,867.304,865.364,968.513333333333,763.085333333333,593.170666666667,814.116,835.725333333333,788.961333333333,852.225333333333,708.145333333333,681.149333333333,951.381333333333,700.161333333333,530.586666666667,637.998666666667,556.805333333333,546.405333333333,859.970666666667,735.06,722.813333333333,679.090666666667,662.410666666667,779.412,520.628,837.369333333333,608.145333333333,585.696,619.496,987.314666666667,620.54,978.421333333333,727.18,1029.03333333333,689.144,617.868,833.150666666667,672.626666666667,752.469333333333,617.778666666667,700.705333333333,669.468,759.358666666667,640.193333333333
"61",1416.42,1483.84,1262.52,1198.38,1376.52,1484.62,1261.2,1508.42,1425.04,1379.42,1567.5,1492.62,1545.64,1580.42,1220.82,1378.96,1186.82,1448.3,1508.9,1551.4,1351.76,1592.26,1249.92,1329.02,1211.58,1580.52,1530.86,1547.76,1221.28,1472.22,1412.02,1326.86,1350.52,1539.62,1252.28,1411.02,1346.5,1288.82,1422.36,1412.12,1432.32,1370.16,1281.2,1254.34,1473.4,1330.06,1433,1521.22,1544.96,1389.82,1229.72,1454.52,1171.76,1520.12,1499.86,1277.52,1308.22,1398.02,1298.86,1531.1,1444.72,1223.7,1463.72,1566.58,1461.82,1535.22,1568.72,1226.52,1370.18,1518.1,1494.4,1466.08,1283.3,1591.72,1446.42,1498.38,1544,1526.62,1219.62,1482.22,1309.25,1413.28,1249.22,1535.02,1498,1341.32,1574.46,1394.42,1562.92,1556.42,1436.64,1440.22,1454.36
"62",1424.94285714286,1492.35714285714,1271,1152.58571428571,1385,1493.1,1228.68571428571,1516.9,1433.57142857143,1387.94285714286,1575.98571428571,1501.11428571429,1554.15714285714,1588.94285714286,1274.5,1352.77142857143,1174.11428571429,1456.78571428571,1517.38571428571,1559.88571428571,1360.25714285714,1600.77142857143,1214.8,1337.54285714286,1200.8,1589.04285714286,1539.37142857143,1556.25714285714,1317.47142857143,1480.71428571429,1420.5,1335.37142857143,1380.28571428571,1548.11428571429,1233.38571428571,1419.54285714286,1354.98571428571,1297.34285714286,1430.87142857143,1420.61428571429,1440.8,1406.07142857143,1314.78571428571,1324.41428571429,1481.9,1338.57142857143,1441.5,1529.68571428571,1553.47142857143,1398.3,1238.2,1463.04285714286,1125.97142857143,1528.6,1508.37142857143,1286,1316.7,1406.51428571429,1307.37142857143,1539.58571428571,1453.2,1191.08571428571,1472.2,1575.08571428571,1470.3,1543.68571428571,1577.18571428571,1256.51428571429,1378.67142857143,1526.58571428571,1502.88571428571,1474.58571428571,1357.88571428571,1600.21428571429,1454.94285714286,1506.88571428571,1552.48571428571,1535.11428571429,1173.8,1490.7,1276.75714285714,1421.77142857143,1203.21428571429,1543.54285714286,1506.48571428571,1349.8,1582.97142857143,1402.94285714286,1571.4,1564.94285714286,1445.15714285714,1448.7,1462.87142857143
